codigo_entidad,nombre_entidad,sigla,tipo,grupo_eta,departamento,fuente
1731,Gobierno Autónomo Municipal de Pampa Grande,PAG,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1732,Gobierno Autónomo Municipal de Mairana,MAY,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1733,Gobierno Autónomo Municipal de Quirusillas,QRS,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1734,Gobierno Autónomo Municipal de Montero,MTR,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1735,Gobierno Autónomo Municipal de General Agustín Saavedra,SAA,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1736,Gobierno Autónomo Municipal de Mineros,MIN,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1737,Gobierno Autónomo Municipal de Concepción,CON,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1738,Gobierno Autónomo Municipal de San Javier,SJA,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1739,Gobierno Autónomo Municipal de San Julián,JUL,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1740,Gobierno Autónomo Municipal de San Matías,MAT,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1741,Gobierno Autónomo Municipal de Comarapa,CMP,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1742,Gobierno Autónomo Municipal de Saipina,SAI,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1743,Gobierno Autónomo Municipal de Puerto Suárez,SUA,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1744,Gobierno Autónomo Municipal de Puerto Quijarro,PQO,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1745,Gobierno Autónomo Municipal de Ascención de Guarayos,ADG,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1746,Gobierno Autónomo Municipal de Urubicha,URU,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1747,Gobierno Autónomo Municipal de El Puente,PUE,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1748,Gobierno Autónomo Municipal de Okinawa Uno,OKI,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1749,Gobierno Autónomo Municipal de San Antonio de Lomerio,ANL,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1750,Gobierno Autónomo Municipal de San Ramón,SRA,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1751,Gobierno Autónomo Municipal de El Carmen Rivero Tórrez,CRT,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1752,Gobierno Autónomo Municipal de San Juan,SJU,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1753,Gobierno Autónomo Municipal de Fernández Alonso,FAL,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1754,Gobierno Autónomo Municipal de San Pedro,PDR,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1755,Gobierno Autónomo Municipal de Cuatro Cañadas,CCA,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
