codigo_entidad,nombre_entidad,sigla,tipo,grupo_eta,departamento,fuente
1704,Gobierno Autónomo Municipal de La Guardia,LGU,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1705,Gobierno Autónomo Municipal de El Torno,TOR,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1706,Gobierno Autónomo Municipal de Warnes,WAR,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1707,Gobierno Autónomo Municipal de San Ignacio (San Ignacio de Velasco),ING,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1708,Gobierno Autónomo Municipal de San Miguel (San Miguel de Velasco),MIG,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1709,Gobierno Autónomo Municipal de San Rafael,RAF,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1710,Gobierno Autónomo Municipal de Buena Vista,BUE,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1711,Gobierno Autónomo Municipal de San Carlos,CRL,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1712,Gobierno Autónomo Municipal de Yapacaní,YAP,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1713,Gobierno Autónomo Municipal de San José,JOS,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1714,Gobierno Autónomo Municipal de Pailón,PAI,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1715,Gobierno Autónomo Municipal de Roboré,ROB,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1716,Gobierno Autónomo Municipal de Portachuelo,PCH,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1717,Gobierno Autónomo Municipal de Santa Rosa del Sara,SRS,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1718,Gobierno Autónomo Municipal de Lagunillas,LAG,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1720,Gobierno Autónomo Municipal de Cabezas,CAB,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1721,Gobierno Autónomo Municipal de Cuevo,CUE,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1723,Gobierno Autónomo Municipal de Camiri,CMR,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1724,Gobierno Autónomo Municipal de Boyuibe,BOY,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1725,Gobierno Autónomo Municipal de Vallegrande,GRA,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1726,Gobierno Autónomo Municipal de Trigal,TRG,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1727,Gobierno Autónomo Municipal de Moro Moro,MOR,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1728,Gobierno Autónomo Municipal de Postrer Valle,POS,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1729,Gobierno Autónomo Municipal de Pucara,PCR,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1730,Gobierno Autónomo Municipal de Samaipata,SAM,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
