codigo_entidad,nombre_entidad,sigla,tipo,grupo_eta,departamento,fuente
1756,Gobierno Autónomo Municipal de Colpa Bélgica,CBE,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1801,Gobierno Autónomo Municipal de Trinidad,TRI,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1802,Gobierno Autónomo Municipal de San Javier,JAV,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1803,Gobierno Autónomo Municipal de Riberalta,RIB,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1805,Gobierno Autónomo Municipal de Puerto Guayaramerín,PGU,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1806,Gobierno Autónomo Municipal de Reyes,REY,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1807,Gobierno Autónomo Municipal de Puerto Rurrenabaque,RUR,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1808,Gobierno Autónomo Municipal de San Borja,BOR,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1809,Gobierno Autónomo Municipal de Santa Rosa,ROS,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1810,Gobierno Autónomo Municipal de Santa Ana,ANA,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1811,Gobierno Autónomo Municipal de San Ignacio,IGN,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1812,Gobierno Autónomo Municipal de Loreto,LOR,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1813,Gobierno Autónomo Municipal de San Andrés,SAD,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1814,Gobierno Autónomo Municipal de San Joaquín,JOA,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1815,Gobierno Autónomo Municipal de San Ramón,RAM,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1816,Gobierno Autónomo Municipal de Puerto Síles,SIL,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1817,Gobierno Autónomo Municipal de Magdalena,MAG,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1818,Gobierno Autónomo Municipal de Baures,BAU,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1819,Gobierno Autónomo Municipal de Huacaraje,HUA,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1820,Gobierno Autónomo Municipal de Exaltación,EXA,municipal,GAM,Beni,Clasificadores Presupuestarios 2026
1901,Gobierno Autónomo Municipal de Cobija,CBJ,municipal,GAM,Pando,Clasificadores Presupuestarios 2026
1902,Gobierno Autónomo Municipal de Porvenir,PRV,municipal,GAM,Pando,Clasificadores Presupuestarios 2026
1903,Gobierno Autónomo Municipal de Bolpebra,BOP,municipal,GAM,Pando,Clasificadores Presupuestarios 2026
1904,Gobierno Autónomo Municipal de Bella Flor,FLO,municipal,GAM,Pando,Clasificadores Presupuestarios 2026
1905,Gobierno Autónomo Municipal de Puerto Rico,PRI,municipal,GAM,Pando,Clasificadores Presupuestarios 2026
