codigo_entidad,nombre_entidad,sigla,tipo,grupo_eta,departamento,fuente
1531,Gobierno Autónomo Municipal de Tomave,TOM,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1532,Gobierno Autónomo Municipal de Porco,PRC,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1533,Gobierno Autónomo Municipal de Arampampa,ARP,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1534,Gobierno Autónomo Municipal de Acasio,ACA,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1535,Gobierno Autónomo Municipal de Llica,LLI,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1536,Gobierno Autónomo Municipal de Tahua,TAH,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1537,Gobierno Autónomo Municipal de Villazón,VLZ,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1538,Gobierno Autónomo Municipal de San Agustín,AGU,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1539,Gobierno Autónomo Municipal de Ckochas,CKO,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1540,Gobierno Autónomo Municipal de Chuquihuta Ayllu Jucumani,JUC,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1541,Gobierno Autónomo Municipal de San Pedro de Macha,SPM,municipal,GAM,Potosí,Clasificadores Presupuestarios 2026
1601,Gobierno Autónomo Municipal de Tarija,TRJ,municipal,GAM,Tarija,Clasificadores Presupuestarios 2026
1602,Gobierno Autónomo Municipal de Padcaya,PCY,municipal,GAM,Tarija,Clasificadores Presupuestarios 2026
1603,Gobierno Autónomo Municipal de Bermejo,BERver,municipal,GAM,Tarija,Clasificadores Presupuestarios 2026
1604,Gobierno Autónomo Municipal de Yacuiba,YCB,municipal,GAM,Tarija,Clasificadores Presupuestarios 2026
1605,Gobierno Autónomo Municipal de Caraparí,CRY,municipal,GAM,Tarija,Clasificadores Presupuestarios 2026
1606,Gobierno Autónomo Municipal de Villamontes,MON,municipal,GAM,Tarija,Clasificadores Presupuestarios 2026
1607,Gobierno Autónomo Municipal de Uriondo (Concepción),ORI,municipal,GAM,Tarija,Clasificadores Presupuestarios 2026
1608,Gobierno Autónomo Municipal de Yunchara,YUN,municipal,GAM,Tarija,Clasificadores Presupuestarios 2026
1609,Gobierno Autónomo Municipal de San Lorenzo,SLR,municipal,GAM,Tarija,Clasificadores Presupuestarios 2026
1610,Gobierno Autónomo Municipal de El Puente,TMY,municipal,GAM,Tarija,Clasificadores Presupuestarios 2026
1611,Gobierno Autónomo Municipal de Entre Ríos,RIO,municipal,GAM,Tarija,Clasificadores Presupuestarios 2026
1701,Gobierno Autónomo Municipal de Santa Cruz de La Sierra,SCZ,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1702,Gobierno Autónomo Municipal de Cotoca,CTC,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
1703,Gobierno Autónomo Municipal de Porongo (Ayacucho),PRG,municipal,GAM,Santa Cruz,Clasificadores Presupuestarios 2026
