codigo,nivel,padre,nombre,label
24130,4,24100,Mantenimiento y Reparación de Muebles y Enseres,24130 - Mantenimiento y Reparación de Muebles y Enseres
24200,3,24000,Mantenimiento y Reparación de Vías de Comunicación,24200 - Mantenimiento y Reparación de Vías de Comunicación
24300,3,24000,"Otros Gastos por Concepto de Instalación, Mantenimiento y Reparación","24300 - Otros Gastos por Concepto de Instalación, Mantenimiento y Reparación"
25000,2,20000,Servicios Profesionales y Comerciales,25000 - Servicios Profesionales y Comerciales
25100,3,25000,"Médicos, Sanitarios y Sociales","25100 - Médicos, Sanitarios y Sociales"
25120,4,25100,Gastos Especializados por Atención Médica y Otros,25120 - Gastos Especializados por Atención Médica y Otros
25130,4,25100,Gastos por Afiliación de Estudiantes Universitarios al Seguro Social,25130 - Gastos por Afiliación de Estudiantes Universitarios al Seguro Social
25200,3,25000,"Estudios, Investigaciones, Auditorías Externas y Revalorizaciones","25200 - Estudios, Investigaciones, Auditorías Externas y Revalorizaciones"
25210,4,25200,Consultorías por Producto,25210 - Consultorías por Producto
25220,4,25200,Consultores Individuales de Línea,25220 - Consultores Individuales de Línea
25230,4,25200,Auditorías Externas,25230 - Auditorías Externas
25300,3,25000,Comisiones y Gastos Bancarios,25300 - Comisiones y Gastos Bancarios
25400,3,25000,"Lavandería, Limpieza e Higiene","25400 - Lavandería, Limpieza e Higiene"
25500,3,25000,Publicidad,25500 - Publicidad
25600,3,25000,"Servicios de Imprenta, Fotocopiado y Fotográficos","25600 - Servicios de Imprenta, Fotocopiado y Fotográficos"
25700,3,25000,Capacitación del Personal,25700 - Capacitación del Personal
25800,3,25000,Estudios e Investigaciones para Proyectos de Inversión No Capitalizables,25800 - Estudios e Investigaciones para Proyectos de Inversión No Capitalizables
25810,4,25800,Consultorías por Producto,25810 - Consultorías por Producto
25820,4,25800,Consultores Individuales de Línea,25820 - Consultores Individuales de Línea
25900,3,25000,Servicios Manuales,25900 - Servicios Manuales
26000,2,20000,Otros Servicios No Personales,26000 - Otros Servicios No Personales
26200,3,26000,Gastos Judiciales,26200 - Gastos Judiciales
26300,3,26000,Derechos sobre Bienes Intangibles,26300 - Derechos sobre Bienes Intangibles
26500,3,26000,Conjueces y Jueces Ciudadanos,26500 - Conjueces y Jueces Ciudadanos
26600,3,26000,"Servicio de Seguridad de los Batallones de Seguridad Física de la Policía Boliviana, las","26600 - Servicio de Seguridad de los Batallones de Seguridad Física de la Policía Boliviana, las"
26610,4,26600,Servicios Públicos,26610 - Servicios Públicos
26620,4,26600,Servicios Privados,26620 - Servicios Privados
26630,4,26600,Servicios por Traslado de Valores,26630 - Servicios por Traslado de Valores
26640,4,26600,Compensación Económica,26640 - Compensación Económica
26700,3,26000,Servicios de Laboratorios Especializados,26700 - Servicios de Laboratorios Especializados
26900,3,26000,Otros Servicios No Personales,26900 - Otros Servicios No Personales
26910,4,26900,Gastos de Representación,26910 - Gastos de Representación
26920,4,26900,Fallas de Caja,26920 - Fallas de Caja
26930,4,26900,Pago por Trabajos Dirigidos y Pasantías,26930 - Pago por Trabajos Dirigidos y Pasantías
26940,4,26900,Compensación Costo de Vida,26940 - Compensación Costo de Vida
26950,4,26900,Aguinaldo “Esfuerzo por Bolivia”,26950 - Aguinaldo “Esfuerzo por Bolivia”
26990,4,26900,Otros,26990 - Otros
27000,2,20000,Gastos por Servicios Especializados por la Actividad Extractiva de Recursos Naturales del,27000 - Gastos por Servicios Especializados por la Actividad Extractiva de Recursos Naturales del
27100,3,27000,"Servicios por la Extracción, Transformación y Conversión de los Recursos Naturales de","27100 - Servicios por la Extracción, Transformación y Conversión de los Recursos Naturales de"
27110,4,27100,Pago por Costos Incurridos,27110 - Pago por Costos Incurridos
27120,4,27100,Pago por Utilidades,27120 - Pago por Utilidades
30000,1,,MATERIALES Y SUMINISTROS,30000 - MATERIALES Y SUMINISTROS
31000,2,30000,Alimentos y Productos Agroforestales,31000 - Alimentos y Productos Agroforestales
