codigo_entidad,nombre_entidad,departamento_sigep,tipo,grupo_eta,presupuesto_total,key,depto_key,nivel,departamento_pop,provincia,municipio,area,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024,presupuesto_per_capita
1208,Gobierno Autónomo Municipal de Tiahuanacu,La Paz,municipal,GAM,13479705.0,tiahuanacu,la paz,Municipio/TIOC,La Paz,Ingavi,Tiahuanacu,Tiahuanacu,11309,12189,13648.0,6520,7128,987.6688892145369
1209,Gobierno Autónomo Municipal de Desaguadero,La Paz,municipal,GAM,13436897.0,desaguadero,la paz,Municipio/TIOC,La Paz,Ingavi,Desaguadero,Desaguadero,4981,6987,7897.0,3912,3985,1701.5191845004433
1210,Gobierno Autónomo Municipal de Caranavi,La Paz,municipal,GAM,87897286.0,caranavi,la paz,Municipio/TIOC,La Paz,Caranavi,Caranavi,Caranavi,43060,50330,59676.0,31048,28628,1472.9084724177224
1212,Gobierno Autónomo Municipal de Umala,La Paz,municipal,GAM,14643089.0,umala,la paz,Municipio/TIOC,La Paz,Aroma,Umala,Umala,9583,8903,9102.0,4634,4468,1608.777081960009
1213,Gobierno Autónomo Municipal de Ayo Ayo,La Paz,municipal,GAM,11357460.0,ayo ayo,la paz,Municipio/TIOC,La Paz,Aroma,Ayo Ayo,Ayo Ayo,6981,7798,11258.0,5778,5480,1008.834606502043
1214,Gobierno Autónomo Municipal de Calamarca,La Paz,municipal,GAM,37537262.0,calamarca,la paz,Municipio/TIOC,La Paz,Aroma,Calamarca,Calamarca,12112,12413,15327.0,7744,7583,2449.093886605337
1215,Gobierno Autónomo Municipal de Patacamaya,La Paz,municipal,GAM,28743849.0,patacamaya,la paz,Municipio/TIOC,La Paz,Aroma,Patacamaya,Patacamaya,20039,22858,25148.0,12564,12584,1142.987474153014
1216,Gobierno Autónomo Municipal de Colquencha,La Paz,municipal,GAM,12947346.0,colquencha,la paz,Municipio/TIOC,La Paz,Aroma,Colquencha,Colquencha,8020,9879,12490.0,6312,6178,1036.616973578863
1217,Gobierno Autónomo Municipal de Collana,La Paz,municipal,GAM,8833532.0,collana,la paz,Municipio/TIOC,La Paz,Aroma,Collana,Collana,2927,5042,5526.0,2729,2797,1598.539992761491
1218,Gobierno Autónomo Municipal de Inquisivi,La Paz,municipal,GAM,23286166.0,inquisivi,la paz,Municipio/TIOC,La Paz,Inquisivi,Inquisivi,Inquisivi,16143,14717,18679.0,10079,8600,1246.6494994378713
1219,Gobierno Autónomo Municipal de Quime,La Paz,municipal,GAM,12239928.0,quime,la paz,Municipio/TIOC,La Paz,Inquisivi,Quime,Quime,7338,8266,10887.0,6084,4803,1124.2700468448609
1220,Gobierno Autónomo Municipal de Cajuata,La Paz,municipal,GAM,16790899.0,cajuata,la paz,Municipio/TIOC,La Paz,Inquisivi,Cajuata,Cajuata,7757,10458,15565.0,8016,7549,1078.759974301317
1221,Gobierno Autónomo Municipal de Colquiri,La Paz,municipal,GAM,29951096.0,colquiri,la paz,Municipio/TIOC,La Paz,Inquisivi,Colquiri,Colquiri,18351,19620,23505.0,12386,11119,1274.2436077430334
1222,Gobierno Autónomo Municipal de Ichoca,La Paz,municipal,GAM,9486150.0,ichoca,la paz,Municipio/TIOC,La Paz,Inquisivi,Ichoca,Ichoca,6839,7913,9552.0,5128,4424,993.1061557788945
1223,Gobierno Autónomo Municipal de Villa Libertad Licoma,La Paz,municipal,GAM,7475587.0,villa libertad licoma,la paz,Municipio/TIOC,La Paz,Inquisivi,Villa Libertad Licoma,Villa Libertad Licoma,2739,5488,7877.0,3957,3920,949.0398628919639
1224,Gobierno Autónomo Municipal de Achacachi,La Paz,municipal,GAM,45067967.0,achacachi,la paz,Municipio/TIOC,La Paz,Omasuyos,Achacachi,Achacachi,45875,46058,47257.0,23143,24114,953.6781217597393
1226,Gobierno Autónomo Municipal de Sorata,La Paz,municipal,GAM,38465729.0,sorata,la paz,Municipio/TIOC,La Paz,Larecaja,Sorata,Sorata,18932,23512,30083.0,15291,14792,1278.6533590399893
1227,Gobierno Autónomo Municipal de Guanay,La Paz,municipal,GAM,20610091.0,guanay,la paz,Municipio/TIOC,La Paz,Larecaja,Guanay,Guanay,11528,14788,16386.0,8758,7628,1257.786586110094
1228,Gobierno Autónomo Municipal de Tacacoma,La Paz,municipal,GAM,10632316.0,tacacoma,la paz,Municipio/TIOC,La Paz,Larecaja,Tacacoma,Tacacoma,6269,8182,9761.0,5161,4600,1089.265034320254
1229,Gobierno Autónomo Municipal de Tipuani,La Paz,municipal,GAM,13374478.0,tipuani,la paz,Municipio/TIOC,La Paz,Larecaja,Tipuani,Tipuani,9321,9985,7716.0,4240,3476,1733.34344219803
1230,Gobierno Autónomo Municipal de Quiabaya,La Paz,municipal,GAM,4281427.0,quiabaya,la paz,Municipio/TIOC,La Paz,Larecaja,Quiabaya,Quiabaya,2580,2684,4224.0,2181,2043,1013.5954071969697
1231,Gobierno Autónomo Municipal de Combaya,La Paz,municipal,GAM,3478989.0,combaya,la paz,Municipio/TIOC,La Paz,Larecaja,Combaya,Combaya,2691,3731,3529.0,1852,1677,985.8285633323887
1232,Gobierno Autónomo Municipal de Copacabana,La Paz,municipal,GAM,19251842.0,copacabana,la paz,Municipio/TIOC,La Paz,Manco Kapac,Copacabana,Copacabana,14586,14931,17463.0,8481,8982,1102.4361220866977
1233,Gobierno Autónomo Municipal de San Pedro de Tiquina,La Paz,municipal,GAM,8560323.0,san pedro de tiquina,la paz,Municipio/TIOC,La Paz,Manco Kapac,San Pedro de Tiquina,San Pedro de Tiquina,6093,6052,9164.0,4625,4539,934.1251636839808
1234,Gobierno Autónomo Municipal de Tito Yupanqui,La Paz,municipal,GAM,6950684.0,tito yupanqui,la paz,Municipio/TIOC,La Paz,Manco Kapac,Tito Yupanqui,Tito Yupanqui,2213,6261,7525.0,3986,3539,923.6789368770765
1235,Gobierno Autónomo Municipal de Chuma,La Paz,municipal,GAM,16437519.0,chuma,la paz,Municipio/TIOC,La Paz,Muñecas,Chuma,Chuma,12843,11473,17830.0,9271,8559,921.9023555804823
1236,Gobierno Autónomo Municipal de Ayata,La Paz,municipal,GAM,9509993.0,ayata,la paz,Municipio/TIOC,La Paz,Muñecas,Ayata,Ayata,8143,8410,9029.0,4772,4257,1053.2720124044745
1237,Gobierno Autónomo Municipal de Aucapata,La Paz,municipal,GAM,6443660.0,aucapata,la paz,Municipio/TIOC,La Paz,Muñecas,Aucapata,Aucapata,4146,5495,6721.0,3653,3068,958.7353072459456
1238,Gobierno Autónomo Municipal de Corocoro,La Paz,municipal,GAM,15484722.0,corocoro,la paz,Municipio/TIOC,La Paz,Pacajes,Corocoro,Corocoro,11813,10647,13551.0,6965,6586,1142.6995793668364
1239,Gobierno Autónomo Municipal de Caquiaviri,La Paz,municipal,GAM,14233739.0,caquiaviri,la paz,Municipio/TIOC,La Paz,Pacajes,Caquiaviri,Caquiaviri,11901,14687,15570.0,7851,7719,914.1771997430957
1240,Gobierno Autónomo Municipal de Calacoto,La Paz,municipal,GAM,11257213.0,calacoto,la paz,Municipio/TIOC,La Paz,Pacajes,Calacoto,Calacoto,8818,9879,12219.0,6262,5957,921.2875849087487
1241,Gobierno Autónomo Municipal de Comanche,La Paz,municipal,GAM,5349775.0,comanche,la paz,Municipio/TIOC,La Paz,Pacajes,Comanche,Comanche,3862,3880,5238.0,2547,2691,1021.3392516227568
1242,Gobierno Autónomo Municipal de Charaña,La Paz,municipal,GAM,5100585.0,charana,la paz,Municipio/TIOC,La Paz,Pacajes,Charaña,Charaña,2766,3246,4221.0,2185,2036,1208.3830845771145
1243,Gobierno Autónomo Municipal de Waldo Ballivián,La Paz,municipal,GAM,6363941.0,waldo ballivian,la paz,Municipio/TIOC,La Paz,Pacajes,Waldo Ballivián,Waldo Ballivián,1657,5069,6442.0,3546,2896,987.8828003725552
1244,Gobierno Autónomo Municipal de Nazacara de Pacajes,La Paz,municipal,GAM,3711909.0,nazacara de pacajes,la paz,Municipio/TIOC,La Paz,Pacajes,Nazacara de Pacajes,Nazacara de Pacajes,267,619,4022.0,2050,1972,922.9012928891099
1245,Gobierno Autónomo Municipal de Santiago de Callapa,La Paz,municipal,GAM,7949954.0,santiago de callapa,la paz,Municipio/TIOC,La Paz,Pacajes,Santiago de Callapa,Santiago de Callapa,8099,7289,8037.0,4177,3860,989.1693417942018
1246,Gobierno Autónomo Municipal de Puerto Acosta,La Paz,municipal,GAM,17894764.0,puerto acosta,la paz,Municipio/TIOC,La Paz,Camacho,Puerto Acosta,Puerto Acosta,13083,11290,14012.0,7156,6856,1277.1027690550957
1247,Gobierno Autónomo Municipal de Mocomoco,La Paz,municipal,GAM,18856701.0,mocomoco,la paz,Municipio/TIOC,La Paz,Camacho,Mocomoco,Mocomoco,17233,15665,17811.0,9298,8513,1058.710965133906
1249,Gobierno Autónomo Municipal de Apolo,La Paz,municipal,GAM,18833316.0,apolo,la paz,Municipio/TIOC,La Paz,Franz Tamayo,Apolo,Apolo,13271,20308,19156.0,10226,8930,983.1549384005011
1250,Gobierno Autónomo Municipal de Pelechuco,La Paz,municipal,GAM,11659479.0,pelechuco,la paz,Municipio/TIOC,La Paz,Franz Tamayo,Pelechuco,Pelechuco,5115,6780,9060.0,5280,3780,1286.9182119205298
1251,Gobierno Autónomo Municipal de Luribay,La Paz,municipal,GAM,10677161.0,luribay,la paz,Municipio/TIOC,La Paz,Loayza,Luribay,Luribay,9004,11139,10703.0,5464,5239,997.5858170606372
1252,Gobierno Autónomo Municipal de Sapahaqui,La Paz,municipal,GAM,20042207.0,sapahaqui,la paz,Municipio/TIOC,La Paz,Loayza,Sapahaqui,Sapahaqui,11790,12484,16497.0,8322,8175,1214.9001030490392
1253,Gobierno Autónomo Municipal de Yaco,La Paz,municipal,GAM,15412548.0,yaco,la paz,Municipio/TIOC,La Paz,Loayza,Yaco,Yaco,7866,7315,12296.0,6560,5736,1253.4603122966819
1254,Gobierno Autónomo Municipal de Malla,La Paz,municipal,GAM,7739622.0,malla,la paz,Municipio/TIOC,La Paz,Loayza,Malla,Malla,3733,5180,5297.0,2884,2413,1461.1330942042666
1255,Gobierno Autónomo Municipal de Cairoma,La Paz,municipal,GAM,15730198.0,cairoma,la paz,Municipio/TIOC,La Paz,Loayza,Cairoma,Cairoma,11338,11355,13598.0,7105,6493,1156.8023238711576
1256,Gobierno Autónomo Municipal de Chulumani (Villa de la Libertad),La Paz,municipal,GAM,29064222.0,chulumani,la paz,Municipio/TIOC,La Paz,Sur Yungas,Chulumani,Chulumani,13204,17823,18303.0,9123,9180,1587.9485330273726
1257,Gobierno Autónomo Municipal de Irupana (Villa de Lanza),La Paz,municipal,GAM,26478359.0,irupana,la paz,Municipio/TIOC,La Paz,Sur Yungas,Irupana,Irupana,11383,17276,23279.0,12803,10476,1137.4354138923493
1258,Gobierno Autónomo Municipal de Yanacachi,La Paz,municipal,GAM,8132544.0,yanacachi,la paz,Municipio/TIOC,La Paz,Sur Yungas,Yanacachi,Yanacachi,4250,6420,7615.0,3934,3681,1067.9637557452397
1259,Gobierno Autónomo Municipal de Palos Blancos,La Paz,municipal,GAM,47454535.0,palos blancos,la paz,Municipio/TIOC,La Paz,Sur Yungas,Palos Blancos,Palos Blancos,16786,24731,27137.0,14341,12796,1748.702325238604
1260,Gobierno Autónomo Municipal de La Asunta,La Paz,municipal,GAM,58639357.0,la asunta,la paz,Municipio/TIOC,La Paz,Sur Yungas,La Asunta,La Asunta,18016,40178,45587.0,23906,21681,1286.3175247329282
1261,Gobierno Autónomo Municipal de Pucarani,La Paz,municipal,GAM,65742628.0,pucarani,la paz,Municipio/TIOC,La Paz,Los Andes,Pucarani,Pucarani,24570,30124,49850.0,24339,25511,1318.8089869608827
1262,Gobierno Autónomo Municipal de Laja,La Paz,municipal,GAM,52102316.0,laja,la paz,Municipio/TIOC,La Paz,Los Andes,Laja,Laja,16311,24531,38652.0,18939,19713,1347.9849943081858
1263,Gobierno Autónomo Municipal de Batallas,La Paz,municipal,GAM,30560704.0,batallas,la paz,Municipio/TIOC,La Paz,Los Andes,Batallas,Batallas,20925,17426,20607.0,9862,10745,1483.025379725336
1264,Gobierno Autónomo Municipal de Puerto Pérez,La Paz,municipal,GAM,7948356.0,puerto perez,la paz,Municipio/TIOC,La Paz,Los Andes,Puerto Pérez,Puerto Pérez,7830,6498,7900.0,3858,4042,1006.1210126582279
1265,Gobierno Autónomo Municipal de Coroico,La Paz,municipal,GAM,27925251.0,coroico,la paz,Municipio/TIOC,La Paz,Nor Yungas,Coroico,Coroico,12237,19397,27711.0,14271,13440,1007.7316228212624
1266,Gobierno Autónomo Municipal de Coripata,La Paz,municipal,GAM,27291772.0,coripata,la paz,Municipio/TIOC,La Paz,Nor Yungas,Coripata,Coripata,11444,16930,23530.0,12072,11458,1159.8713132171695
1267,Gobierno Autónomo Municipal de Ixiamas,La Paz,municipal,GAM,23227708.0,ixiamas,la paz,Municipio/TIOC,La Paz,Abel Iturralde,Ixiamas,Ixiamas,5625,9362,12595.0,7090,5505,1844.2007145692735
1268,Gobierno Autónomo Municipal de San Buenaventura,La Paz,municipal,GAM,10276537.0,san buenaventura,la paz,Municipio/TIOC,La Paz,Abel Iturralde,San Buenaventura,San Buenaventura,6203,8711,10105.0,5235,4870,1016.9754576942108
1270,Gobierno Autónomo Municipal de Curva,La Paz,municipal,GAM,9161783.0,curva,la paz,Municipio/TIOC,La Paz,Bautista Saavedra,Curva,Curva,2213,3285,6611.0,3553,3058,1385.8392073816367
1271,Gobierno Autónomo Municipal de San Pedro de Curahuara,La Paz,municipal,GAM,10385954.0,san pedro de curahuara,la paz,Municipio/TIOC,La Paz,Gualberto Villarroel,San Pedro de Curahuara,San Pedro de Curahuara,8103,8858,9217.0,4896,4321,1126.8258652489965
1272,Gobierno Autónomo Municipal de Papel Pampa,La Paz,municipal,GAM,7269599.0,papel pampa,la paz,Municipio/TIOC,La Paz,Gualberto Villarroel,Papel Pampa,Papel Pampa,6053,7003,6649.0,3558,3091,1093.3371935629418
1273,Gobierno Autónomo Municipal de Chacarilla,La Paz,municipal,GAM,2174255.0,chacarilla,la paz,Municipio/TIOC,La Paz,Gualberto Villarroel,Chacarilla,Chacarilla,1566,2004,2052.0,1090,962,1059.5784600389863
1274,Gobierno Autónomo Municipal de Santiago de Machaca,La Paz,municipal,GAM,11705478.0,santiago de machaca,la paz,Municipio/TIOC,La Paz,General José Manuel Pando,Santiago de Machaca,Santiago de Machaca,4402,4593,6805.0,3408,3397,1720.1290227773695
1275,Gobierno Autónomo Municipal de Catacora,La Paz,municipal,GAM,4890386.0,catacora,la paz,Municipio/TIOC,La Paz,General José Manuel Pando,Catacora,Catacora,1735,2881,5351.0,2774,2577,913.9200149504766
