nivel,departamento,provincia,municipio,area,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024
Municipio/TIOC,Potosí,Sur Chichas,Atocha,Atocha,9536,11234,9610,4996,4614
Municipio/TIOC,Potosí,Sur Chichas,Tupiza,Tupiza,38337,44814,45590,22111,23479
Municipio/TIOC,Potosí,Sur Lípez,Mojinete,Mojinete,716,1180,1025,516,509
Municipio/TIOC,Potosí,Sur Lípez,San Antonio de Esmoruco,San Antonio de Esmoruco,1666,2284,1936,968,968
Municipio/TIOC,Potosí,Sur Lípez,San Pablo,San Pablo,2523,3371,3150,1650,1500
Municipio/TIOC,Potosí,Tomás Frías,Potosí,Potosí,145057,191302,218702,104539,114163
Municipio/TIOC,Potosí,Tomás Frías,Tinguipaya,Tinguipaya,21794,27200,28942,16216,12726
Municipio/TIOC,Potosí,Tomás Frías,Urmiri,Urmiri,2025,2759,3121,1852,1269
Municipio/TIOC,Potosí,Tomás Frías,Yocalla,Yocalla,8046,8979,12253,6276,5977
Municipio/TIOC,Santa Cruz,Andrés Ibáñez,Cotoca,Cotoca,36425,55633,106603,54479,52124
Municipio/TIOC,Santa Cruz,Andrés Ibáñez,El Torno,El Torno,37961,49652,55697,28264,27433
Municipio/TIOC,Santa Cruz,Andrés Ibáñez,La Guardia,La Guardia,39552,89284,147726,73823,73903
Municipio/TIOC,Santa Cruz,Andrés Ibáñez,Porongo,Porongo,11085,15317,23126,11983,11143
Municipio/TIOC,Santa Cruz,Andrés Ibáñez,Santa Cruz de la Sierra,Santa Cruz de la Sierra,1131778,1444425,1610982,799830,811152
Municipio/TIOC,Santa Cruz,Chiquitos,Pailón,Pailón,28520,37866,54495,28647,25848
Municipio/TIOC,Santa Cruz,Chiquitos,Roboré,Roboré,15240,15641,18763,10024,8739
Municipio/TIOC,Santa Cruz,Chiquitos,San José,San José,16599,28922,40974,21959,19015
Municipio/TIOC,Santa Cruz,Cordillera,Boyuibe,Boyuibe,4031,5087,5612,2980,2632
Municipio/TIOC,Santa Cruz,Cordillera,Cabezas,Cabezas,22296,26434,32961,17494,15467
Municipio/TIOC,Santa Cruz,Cordillera,Camiri,Camiri,30897,33838,32285,15739,16546
Municipio/TIOC,Santa Cruz,Cordillera,Charagua (Autonomía Guaraní Charagua Iyambae),Charagua (Autonomía Guaraní Charagua Iyambae),24427,32186,38420,19960,18460
Municipio/TIOC,Santa Cruz,Cordillera,Cuevo,Cuevo,3406,5052,5335,2859,2476
Municipio/TIOC,Santa Cruz,Cordillera,Gutiérrez (Autonomía Indígena Kereimba Iyaambae),Gutiérrez (Autonomía Indígena Kereimba Iyaambae),11393,12273,14389,7204,7185
Municipio/TIOC,Santa Cruz,Cordillera,Lagunillas,Lagunillas,5283,5366,5946,3083,2863
Municipio/TIOC,Santa Cruz,Florida,Mairana,Mairana,7747,10177,12735,6635,6100
Municipio/TIOC,Santa Cruz,Florida,Pampagrande,Pampagrande,7933,9198,9692,4942,4750
Municipio/TIOC,Santa Cruz,Florida,Quirusillas,Quirusillas,2028,2995,3086,1560,1526
Municipio/TIOC,Santa Cruz,Florida,Samaipata,Samaipata,9739,10472,11843,6247,5596
Municipio/TIOC,Santa Cruz,Germán Busch,El Carmen Rivero Tórrez,El Carmen Rivero Tórrez,4894,6342,8816,4690,4126
Municipio/TIOC,Santa Cruz,Germán Busch,Puerto Quijarro,Puerto Quijarro,12903,16659,17974,9381,8593
Municipio/TIOC,Santa Cruz,Germán Busch,Puerto Suárez,Puerto Suárez,15209,19829,17417,9424,7993
Municipio/TIOC,Santa Cruz,Guarayos,Ascención de Guarayos,Ascención de Guarayos,16984,27070,34079,18178,15901
Municipio/TIOC,Santa Cruz,Guarayos,El Puente,El Puente,8633,14205,17290,9824,7466
Municipio/TIOC,Santa Cruz,Guarayos,Urubichá,Urubichá,5960,7026,6555,3351,3204
Municipio/TIOC,Santa Cruz,Ichilo,Buena Vista,Buena Vista,13273,12879,13651,7381,6270
Municipio/TIOC,Santa Cruz,Ichilo,San Carlos,San Carlos,16502,20093,18942,9807,9135
Municipio/TIOC,Santa Cruz,Ichilo,San Juan,San Juan,9131,9191,10200,5485,4715
Municipio/TIOC,Santa Cruz,Ichilo,Yapacaní,Yapacaní,31538,50558,57794,31127,26667
Municipio/TIOC,Santa Cruz,Manuel María Caballero,Comarapa,Comarapa,14660,15919,17195,8813,8382
Municipio/TIOC,Santa Cruz,Manuel María Caballero,Saipina,Saipina,5350,7390,6048,3111,2937
Municipio/TIOC,Santa Cruz,Obispo Santisteban,Fernández Alonso,Fernández Alonso,11363,15117,14610,8283,6327
Municipio/TIOC,Santa Cruz,Obispo Santisteban,General Saavedra,General Saavedra,16592,14209,16598,8578,8020
Municipio/TIOC,Santa Cruz,Obispo Santisteban,Mineros,Mineros,19846,23251,23110,11768,11342
Municipio/TIOC,Santa Cruz,Obispo Santisteban,Montero,Montero,80341,109518,126886,63754,63132
Municipio/TIOC,Santa Cruz,Obispo Santisteban,San Pedro,San Pedro,14644,19103,15246,8358,6888
Municipio/TIOC,Santa Cruz,Sara,Colpa Bélgica,Colpa Bélgica,6273,6069,6007,3111,2896
Municipio/TIOC,Santa Cruz,Sara,Portachuelo,Portachuelo,16408,17885,20743,10641,10102
Municipio/TIOC,Santa Cruz,Sara,Santa Rosa,Santa Rosa,15052,19217,17999,9776,8223
Municipio/TIOC,Santa Cruz,Valle Grande,Moromoro,Moromoro,3366,2767,2793,1443,1350
Municipio/TIOC,Santa Cruz,Valle Grande,Postrervalle,Postrervalle,2545,2390,1806,993,813
Municipio/TIOC,Santa Cruz,Valle Grande,Pucará,Pucará,2548,2076,2015,1097,918
Municipio/TIOC,Santa Cruz,Valle Grande,Trigal,Trigal,2133,2135,2359,1197,1162
Municipio/TIOC,Santa Cruz,Valle Grande,Vallegrande,Vallegrande,16837,17208,17249,8787,8462
Municipio/TIOC,Santa Cruz,Velasco,San Ignacio,San Ignacio,41412,52362,67103,35121,31982
Municipio/TIOC,Santa Cruz,Velasco,San Miguel,San Miguel,10273,11327,15239,8164,7075
Municipio/TIOC,Santa Cruz,Velasco,San Rafael,San Rafael,5017,6139,8842,4934,3908
Municipio/TIOC,Santa Cruz,Warnes,Okinawa Uno,Okinawa Uno,11661,12482,10665,5502,5163
Municipio/TIOC,Santa Cruz,Warnes,Warnes,Warnes,45318,96406,151248,76819,74429
Municipio/TIOC,Santa Cruz,Ángel Sandoval,San Matías,San Matías,13073,14470,15378,8051,7327
Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,Concepción,Concepción,14522,18800,30118,16297,13821
Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,Cuatro Cañadas,Cuatro Cañadas,17574,22845,25258,13007,12251
Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Antonio de Lomerio,San Antonio de Lomerio,6293,6481,6364,3271,3093
Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Javier,San Javier,11316,13620,14888,7733,7155
Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Julián,San Julián,38027,47416,44909,22834,22075
Municipio/TIOC,Santa Cruz,Ñuflo de Chávez,San Ramón,San Ramón,5660,7490,8541,4523,4018
Municipio/TIOC,Tarija,Arce,Bermejo,Bermejo,33310,34505,36970,18312,18658
Municipio/TIOC,Tarija,Arce,Padcaya,Padcaya,19260,18681,17817,9173,8644
Municipio/TIOC,Tarija,Avilez,Uriondo,Uriondo,12331,14781,15923,7813,8110
Municipio/TIOC,Tarija,Avilez,Yunchará,Yunchará,5173,5490,4754,2338,2416
Municipio/TIOC,Tarija,Cercado,Tarija,Tarija,153457,205375,238749,116148,122601
Municipio/TIOC,Tarija,Gran Chaco,Caraparí,Caraparí,9035,15366,15559,8061,7498
Municipio/TIOC,Tarija,Gran Chaco,Villa Montes,Villa Montes,23765,39867,46071,23557,22514
Municipio/TIOC,Tarija,Gran Chaco,Yacuiba,Yacuiba,83518,92245,97634,48721,48913
Municipio/TIOC,Tarija,Méndez,El Puente,El Puente,10663,11354,9523,4691,4832
Municipio/TIOC,Tarija,Méndez,San Lorenzo,San Lorenzo,21375,23863,30346,14954,15392
Municipio/TIOC,Tarija,O'Connor,Entre Ríos,Entre Ríos,19339,21991,20864,10728,10136
