;;;;;;;;;;;;;No Pobre;;;Pobre;;
N°;NIVEL;DEPARTAMENTO;PROVINCIA;MUNICIPIO / TIOC;ÁREA;Inadecuados Materiales de la Vivienda;Insuficientes Espacios en la Vivienda;Inadecuados Servicios de Agua y Saneamiento;Inadecuados Insumos Energéticos;Insuficiencia en educación;Inadecuada atención en salud;Total Población No Pobre;Necesidades Básicas Satisfechas;Umbral;Total Población Pobre;Moderada;Indigente;Marginal
167;Provincia;LA PAZ;Pacajes;;Urbana;1.325;2.349;1.861;680;725;519;66,7;25,9;40,8;33,3;30,3;2,9;0
168;Provincia;LA PAZ;Pacajes;;Rural;43.673;41.456;49.885;43.863;22.863;16.145;23,4;3,8;19,6;76,6;63,9;12,4;0,2
169;Municipio;LA PAZ;Pacajes;Corocoro;Corocoro;7.930;7.861;10.046;7.208;4.578;2.971;32,4;10,2;22,2;67,6;56,2;11,1;0,3
170;Municipio;LA PAZ;Pacajes;Corocoro;Urbana;383;987;752;225;397;222;83,7;43,2;40,5;16,3;15,4;1;0
171;Municipio;LA PAZ;Pacajes;Corocoro;Rural;7.547;6.874;9.294;6.983;4.181;2.749;22,3;3,7;18,6;77,7;64,2;13,1;0,4
172;Municipio;LA PAZ;Pacajes;Caquiaviri;Caquiaviri;10.584;10.636;11.807;10.561;5.052;4.049;24,8;4,1;20,8;75,2;66,3;8,6;0,2
173;Municipio;LA PAZ;Pacajes;Caquiaviri;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
174;Municipio;LA PAZ;Pacajes;Caquiaviri;Rural;10.584;10.636;11.807;10.561;5.052;4.049;24,8;4,1;20,8;75,2;66,3;8,6;0,2
175;Municipio;LA PAZ;Pacajes;Calacoto;Calacoto;8.065;7.669;10.065;9.980;4.094;3.013;19;2,6;16,3;81;66;14,8;0,2
176;Municipio;LA PAZ;Pacajes;Calacoto;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
177;Municipio;LA PAZ;Pacajes;Calacoto;Rural;8.065;7.669;10.065;9.980;4.094;3.013;19;2,6;16,3;81;66;14,8;0,2
178;Municipio;LA PAZ;Pacajes;Comanche;Comanche;3.881;3.159;3.324;3.267;2.222;1.413;27,3;5;22,3;72,7;63,8;8,8;0
179;Municipio;LA PAZ;Pacajes;Comanche;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
180;Municipio;LA PAZ;Pacajes;Comanche;Rural;3.881;3.159;3.324;3.267;2.222;1.413;27,3;5;22,3;72,7;63,8;8,8;0
181;Municipio;LA PAZ;Pacajes;Charaña;Charaña;2.458;2.292;2.699;2.646;1.328;1.230;30,8;10,9;19,9;69,2;51,2;17,7;0,3
182;Municipio;LA PAZ;Pacajes;Charaña;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
183;Municipio;LA PAZ;Pacajes;Charaña;Rural;2.458;2.292;2.699;2.646;1.328;1.230;30,8;10,9;19,9;69,2;51,2;17,7;0,3
184;Municipio;LA PAZ;Pacajes;Waldo Ballivián;Waldo Ballivián;3.423;4.370;3.995;1.852;1.147;782;44,1;2,7;41,4;55,9;52,2;3,6;0,1
185;Municipio;LA PAZ;Pacajes;Waldo Ballivián;Urbana;942;1.362;1.109;455;328;297;45,4;4,1;41,3;54,6;49,2;5,4;0
186;Municipio;LA PAZ;Pacajes;Waldo Ballivián;Rural;2.481;3.008;2.886;1.397;819;485;43,6;2,2;41,4;56,4;53,5;2,8;0,1
187;Municipio;LA PAZ;Pacajes;Nazacara de Pacajes;Nazacara de Pacajes;2.807;2.834;2.775;2.537;1.467;937;26,3;4,9;21,4;73,7;64,6;9,1;0,1
188;Municipio;LA PAZ;Pacajes;Nazacara de Pacajes;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
189;Municipio;LA PAZ;Pacajes;Nazacara de Pacajes;Rural;2.807;2.834;2.775;2.537;1.467;937;26,3;4,9;21,4;73,7;64,6;9,1;0,1
190;Municipio;LA PAZ;Pacajes;Santiago de Callapa;Santiago de Callapa;5.850;4.984;7.035;6.492;3.700;2.269;10,2;1,1;9,1;89,8;67,2;22,2;0,5
191;Municipio;LA PAZ;Pacajes;Santiago de Callapa;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
192;Municipio;LA PAZ;Pacajes;Santiago de Callapa;Rural;5.850;4.984;7.035;6.492;3.700;2.269;10,2;1,1;9,1;89,8;67,2;22,2;0,5
193;Provincia;LA PAZ;Camacho;;Camacho;44.279;31.930;41.529;42.783;32.121;20.218;25,8;5,6;20,1;74,2;58,1;15,7;0,5
194;Provincia;LA PAZ;Camacho;;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
195;Provincia;LA PAZ;Camacho;;Rural;44.279;31.930;41.529;42.783;32.121;20.218;25,8;5,6;20,1;74,2;58,1;15,7;0,5
196;Municipio;LA PAZ;Camacho;Puerto Acosta;Puerto Acosta;9.597;7.248;10.640;9.595;7.153;5.307;23,9;5,4;18,5;76,1;55;20,5;0,6
197;Municipio;LA PAZ;Camacho;Puerto Acosta;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
198;Municipio;LA PAZ;Camacho;Puerto Acosta;Rural;9.597;7.248;10.640;9.595;7.153;5.307;23,9;5,4;18,5;76,1;55;20,5;0,6
199;Municipio;LA PAZ;Camacho;Mocomoco;Mocomoco;13.391;8.736;9.877;13.038;9.758;5.274;23;4;19;77;62,1;14,6;0,4
200;Municipio;LA PAZ;Camacho;Mocomoco;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
201;Municipio;LA PAZ;Camacho;Mocomoco;Rural;13.391;8.736;9.877;13.038;9.758;5.274;23;4;19;77;62,1;14,6;0,4
202;Municipio;LA PAZ;Camacho;Puerto Mayor de Carabuco;Puerto Mayor de Carabuco;11.218;8.445;10.773;11.197;8.089;5.111;31,1;7,1;23,9;68,9;56,2;12,5;0,3
203;Municipio;LA PAZ;Camacho;Puerto Mayor de Carabuco;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
204;Municipio;LA PAZ;Camacho;Puerto Mayor de Carabuco;Rural;11.218;8.445;10.773;11.197;8.089;5.111;31,1;7,1;23,9;68,9;56,2;12,5;0,3
205;Municipio;LA PAZ;Camacho;Humanata;Humanata;4.587;3.154;4.249;4.025;3.197;2.104;13,9;1,5;12,4;86,1;63,3;22;0,8
206;Municipio;LA PAZ;Camacho;Humanata;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
207;Municipio;LA PAZ;Camacho;Humanata;Rural;4.587;3.154;4.249;4.025;3.197;2.104;13,9;1,5;12,4;86,1;63,3;22;0,8
208;Municipio;LA PAZ;Camacho;Escoma;Escoma;5.486;4.347;5.990;4.928;3.924;2.422;31,5;8,9;22,6;68,5;55,9;12,1;0,6
209;Municipio;LA PAZ;Camacho;Escoma;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
210;Municipio;LA PAZ;Camacho;Escoma;Rural;5.486;4.347;5.990;4.928;3.924;2.422;31,5;8,9;22,6;68,5;55,9;12,1;0,6
211;Provincia;LA PAZ;Muñecas;;Muñecas;23.264;19.660;18.325;24.631;16.366;6.868;28,4;5,5;23;71,6;60,1;11,1;0,3
212;Provincia;LA PAZ;Muñecas;;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
213;Provincia;LA PAZ;Muñecas;;Rural;23.264;19.660;18.325;24.631;16.366;6.868;28,4;5,5;23;71,6;60,1;11,1;0,3
214;Municipio;LA PAZ;Muñecas;Chuma;Chuma;11.639;10.580;9.254;13.971;8.478;3.604;29,8;6,2;23,6;70,2;59,5;10,4;0,3
215;Municipio;LA PAZ;Muñecas;Chuma;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
216;Municipio;LA PAZ;Muñecas;Chuma;Rural;11.639;10.580;9.254;13.971;8.478;3.604;29,8;6,2;23,6;70,2;59,5;10,4;0,3
217;Municipio;LA PAZ;Muñecas;Ayata;Ayata;7.255;5.017;5.235;7.013;4.537;1.950;24;3,2;20,8;76;63,6;12,1;0,4
218;Municipio;LA PAZ;Muñecas;Ayata;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
219;Municipio;LA PAZ;Muñecas;Ayata;Rural;7.255;5.017;5.235;7.013;4.537;1.950;24;3,2;20,8;76;63,6;12,1;0,4
220;Municipio;LA PAZ;Muñecas;Aucapata;Aucapata;4.370;4.063;3.836;3.647;3.351;1.314;30,9;6,5;24,4;69,1;57,2;11,5;0,3
221;Municipio;LA PAZ;Muñecas;Aucapata;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
222;Municipio;LA PAZ;Muñecas;Aucapata;Rural;4.370;4.063;3.836;3.647;3.351;1.314;30,9;6,5;24,4;69,1;57,2;11,5;0,3
223;Provincia;LA PAZ;Larecaja;;Larecaja;41.291;66.166;50.612;37.282;38.297;21.252;49;9,1;39,8;51;43,2;7,5;0,3
224;Provincia;LA PAZ;Larecaja;;Urbana;3.186;15.101;7.006;1.065;6.689;4.378;71,7;14,8;56,9;28,3;26,8;1,4;0,1
225;Provincia;LA PAZ;Larecaja;;Rural;38.105;51.065;43.606;36.217;31.608;16.874;42,2;7,5;34,7;57,8;48,1;9,4;0,3
226;Municipio;LA PAZ;Larecaja;Sorata;Sorata;15.437;17.809;16.600;15.984;12.693;7.458;38,8;8,5;30,3;61,2;51,2;9,7;0,3
227;Municipio;LA PAZ;Larecaja;Sorata;Urbana;704;1.684;919;442;1.106;379;79;29,5;49,5;21;19,1;1,8;0,1
228;Municipio;LA PAZ;Larecaja;Sorata;Rural;14.733;16.125;15.681;15.542;11.587;7.079;32,7;5,3;27,4;67,3;56,1;10,9;0,3
229;Municipio;LA PAZ;Larecaja;Guanay;Guanay;4.318;10.536;5.729;3.277;5.379;3.032;61,9;11;50,9;38,1;30,7;7;0,3
230;Municipio;LA PAZ;Larecaja;Guanay;Urbana;416;3.173;805;103;1.173;733;79,1;16,2;62,9;20,9;20,3;0,5;0
231;Municipio;LA PAZ;Larecaja;Guanay;Rural;3.902;7.363;4.924;3.174;4.206;2.299;55,2;9;46,2;44,8;34,8;9,6;0,4
232;Municipio;LA PAZ;Larecaja;Tacacoma;Tacacoma;5.293;5.458;6.069;4.979;3.558;1.583;37,9;6,2;31,7;62,1;52,8;9;0,3
233;Municipio;LA PAZ;Larecaja;Tacacoma;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
234;Municipio;LA PAZ;Larecaja;Tacacoma;Rural;5.293;5.458;6.069;4.979;3.558;1.583;37,9;6,2;31,7;62,1;52,8;9;0,3
235;Municipio;LA PAZ;Larecaja;Quiabaya;Quiabaya;3.165;2.927;2.679;3.277;1.997;829;22,2;5;17,2;77,8;63,5;14;0,3
236;Municipio;LA PAZ;Larecaja;Quiabaya;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
237;Municipio;LA PAZ;Larecaja;Quiabaya;Rural;3.165;2.927;2.679;3.277;1.997;829;22,2;5;17,2;77,8;63,5;14;0,3
238;Municipio;LA PAZ;Larecaja;Combaya;Combaya;2.042;1.842;2.040;2.475;1.592;945;37,1;12,2;24,9;62,9;51,2;11,5;0,2
239;Municipio;LA PAZ;Larecaja;Combaya;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
240;Municipio;LA PAZ;Larecaja;Combaya;Rural;2.042;1.842;2.040;2.475;1.592;945;37,1;12,2;24,9;62,9;51,2;11,5;0,2
241;Municipio;LA PAZ;Larecaja;Tipuani;Tipuani;1.339;4.751;3.535;481;2.182;1.122;64,9;12,9;52;35,1;33;2;0,1
242;Municipio;LA PAZ;Larecaja;Tipuani;Urbana;347;1.435;1.245;107;550;412;68,4;11,9;56,4;31,6;29,9;1,5;0,2
243;Municipio;LA PAZ;Larecaja;Tipuani;Rural;992;3.316;2.290;374;1.632;710;63,4;13,3;50,1;36,6;34,4;2,2;0
244;Municipio;LA PAZ;Larecaja;Mapiri;Mapiri;3.712;13.677;6.861;1.473;6.184;3.846;63,9;10;53,9;36,1;33,3;2,7;0,1
245;Municipio;LA PAZ;Larecaja;Mapiri;Urbana;1.083;6.786;2.434;161;2.944;2.210;70,7;11,7;59;29,3;27,9;1,3;0
246;Municipio;LA PAZ;Larecaja;Mapiri;Rural;2.629;6.891;4.427;1.312;3.240;1.636;57,1;8,3;48,8;42,9;38,8;4,1;0,1
247;Municipio;LA PAZ;Larecaja;Teoponte;Teoponte;5.985;9.166;7.099;5.336;4.712;2.437;43,3;7,6;35,7;56,7;46,4;9,9;0,5
248;Municipio;LA PAZ;Larecaja;Teoponte;Urbana;636;2.023;1.603;252;916;644;56,5;6,2;50,3;43,5;41;2,5;0,1
249;Municipio;LA PAZ;Larecaja;Teoponte;Rural;5.349;7.143;5.496;5.084;3.796;1.793;39,4;8;31,5;60,6;47,9;12;0,6
250;Provincia;LA PAZ;Franz Tamayo;;Franz Tamayo;14.489;17.634;16.103;12.241;11.099;7.139;36,6;6,2;30,3;63,4;52,7;10,3;0,4
251;Provincia;LA PAZ;Franz Tamayo;;Urbana;1.131;3.216;1.850;560;1.538;1.119;63,4;16,2;47,3;36,6;34,7;1,8;0
252;Provincia;LA PAZ;Franz Tamayo;;Rural;13.358;14.418;14.253;11.681;9.561;6.020;30,1;3,8;26,3;69,9;57,1;12,3;0,5
253;Municipio;LA PAZ;Franz Tamayo;Apolo;Apolo;9.992;13.108;10.830;10.208;7.582;5.692;33,2;5,7;27,5;66,8;53,6;12,7;0,5
254;Municipio;LA PAZ;Franz Tamayo;Apolo;Urbana;1.131;3.216;1.850;560;1.538;1.119;63,4;16,2;47,3;36,6;34,7;1,8;0
255;Municipio;LA PAZ;Franz Tamayo;Apolo;Rural;8.861;9.892;8.980;9.648;6.044;4.573;21,3;1,6;19,7;78,7;61,1;16,9;0,7
256;Municipio;LA PAZ;Franz Tamayo;Pelechuco;Pelechuco;4.497;4.526;5.273;2.033;3.517;1.447;43,9;7,3;36,6;56,1;50,8;5,1;0,2
257;Municipio;LA PAZ;Franz Tamayo;Pelechuco;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
258;Municipio;LA PAZ;Franz Tamayo;Pelechuco;Rural;4.497;4.526;5.273;2.033;3.517;1.447;43,9;7,3;36,6;56,1;50,8;5,1;0,2
259;Provincia;LA PAZ;Ingavi;;Ingavi;49.939;95.361;59.345;35.450;53.450;39.665;62,2;19,1;43,1;37,8;34;3,8;0,1
260;Provincia;LA PAZ;Ingavi;;Urbana;9.476;49.949;18.210;4.855;20.371;20.523;79,3;29,4;49,9;20,7;19,3;1,3;0
261;Provincia;LA PAZ;Ingavi;;Rural;40.463;45.412;41.135;30.595;33.079;19.142;41,5;6,7;34,8;58,5;51,8;6,7;0,1
262;Municipio;LA PAZ;Ingavi;Viacha;Viacha;18.533;58.637;28.206;11.557;28.794;25.216;72,5;25,5;47;27,5;25;2,5;0
263;Municipio;LA PAZ;Ingavi;Viacha;Urbana;9.083;47.059;17.281;4.740;18.941;19.433;79,3;29,9;49,4;20,7;19,3;1,4;0
264;Municipio;LA PAZ;Ingavi;Viacha;Rural;9.450;11.578;10.925;6.817;9.853;5.783;44;6,9;37;56;48,7;7,2;0,1
265;Municipio;LA PAZ;Ingavi;Puerto Mayor de Guaqui;Puerto Mayor de Guaqui;2.753;4.115;2.796;1.675;3.594;2.122;55,4;14;41,4;44,6;40,7;3,9;0
266;Municipio;LA PAZ;Ingavi;Puerto Mayor de Guaqui;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
267;Municipio;LA PAZ;Ingavi;Puerto Mayor de Guaqui;Rural;2.753;4.115;2.796;1.675;3.594;2.122;55,4;14;41,4;44,6;40,7;3,9;0
268;Municipio;LA PAZ;Ingavi;Tiahuanacu;Tiahuanacu;6.064;8.037;7.324;5.281;5.638;3.228;41,8;6,9;34,9;58,2;49,2;9;0
269;Municipio;LA PAZ;Ingavi;Tiahuanacu;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
270;Municipio;LA PAZ;Ingavi;Tiahuanacu;Rural;6.064;8.037;7.324;5.281;5.638;3.228;41,8;6,9;34,9;58,2;49,2;9;0
271;Municipio;LA PAZ;Ingavi;Desaguadero;Desaguadero;2.061;4.507;2.336;908;2.993;2.014;64,7;13,6;51,1;35,3;33,3;2;0
272;Municipio;LA PAZ;Ingavi;Desaguadero;Urbana;393;2.890;929;115;1.430;1.090;79,6;18,8;60,8;20,4;20;0,4;0
273;Municipio;LA PAZ;Ingavi;Desaguadero;Rural;1.668;1.617;1.407;793;1.563;924;40,6;5,2;35,4;59,4;54,9;4,5;0
274;Municipio;LA PAZ;Ingavi;La (Marka) San Andrés de Machaca;La (Marka) San Andrés de Machaca;5.352;4.951;6.635;5.111;2.922;1.667;25,3;3,1;22,2;74,7;65,9;8,6;0,3
275;Municipio;LA PAZ;Ingavi;La (Marka) San Andrés de Machaca;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
276;Municipio;LA PAZ;Ingavi;La (Marka) San Andrés de Machaca;Rural;5.352;4.951;6.635;5.111;2.922;1.667;25,3;3,1;22,2;74,7;65,9;8,6;0,3
277;Municipio;LA PAZ;Ingavi;Jesús de Machaka;Jesús de Machaka;11.623;10.264;8.055;9.551;5.866;3.443;39,2;5;34,2;60,8;55,6;5,2;0,1
278;Municipio;LA PAZ;Ingavi;Jesús de Machaka;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
279;Municipio;LA PAZ;Ingavi;Jesús de Machaka;Rural;11.623;10.264;8.055;9.551;5.866;3.443;39,2;5;34,2;60,8;55,6;5,2;0,1
280;Municipio;LA PAZ;Ingavi;Taraco;Taraco;3.553;4.850;3.993;1.367;3.643;1.975;40,8;5,8;35;59,2;52,8;6,3;0,1
281;Municipio;LA PAZ;Ingavi;Taraco;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
282;Municipio;LA PAZ;Ingavi;Taraco;Rural;3.553;4.850;3.993;1.367;3.643;1.975;40,8;5,8;35;59,2;52,8;6,3;0,1
283;Provincia;LA PAZ;Loayza;;Loayza;28.523;36.103;39.672;28.408;24.989;12.871;34,2;4,7;29,6;65,8;55,5;9,9;0,4
284;Provincia;LA PAZ;Loayza;;Urbana;1.095;1.804;1.016;685;1.137;281;48,1;6,8;41,3;51,9;46,6;5,3;0
285;Provincia;LA PAZ;Loayza;;Rural;27.428;34.299;38.656;27.723;23.852;12.590;33,7;4,6;29,1;66,3;55,9;10;0,4
286;Municipio;LA PAZ;Loayza;Luribay;Luribay;3.805;5.405;5.117;5.085;4.758;1.812;46;6,1;39,9;54;46,2;7,3;0,5
287;Municipio;LA PAZ;Loayza;Luribay;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
288;Municipio;LA PAZ;Loayza;Luribay;Rural;3.805;5.405;5.117;5.085;4.758;1.812;46;6,1;39,9;54;46,2;7,3;0,5
289;Municipio;LA PAZ;Loayza;Sapahaqui;Sapahaqui;7.253;9.354;11.974;8.761;7.476;4.409;29,7;4,1;25,6;70,3;58,9;11,1;0,3
290;Municipio;LA PAZ;Loayza;Sapahaqui;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
291;Municipio;LA PAZ;Loayza;Sapahaqui;Rural;7.253;9.354;11.974;8.761;7.476;4.409;29,7;4,1;25,6;70,3;58,9;11,1;0,3
292;Municipio;LA PAZ;Loayza;Yaco;Yaco;8.379;8.523;8.788;6.524;5.191;2.728;27,2;2,9;24,4;72,8;60,6;11,8;0,4
293;Municipio;LA PAZ;Loayza;Yaco;Urbana;1.095;1.804;1.016;685;1.137;281;48,1;6,8;41,3;51,9;46,6;5,3;0
294;Municipio;LA PAZ;Loayza;Yaco;Rural;7.284;6.719;7.772;5.839;4.054;2.447;22,6;2;20,6;77,4;63,7;13,2;0,5
295;Municipio;LA PAZ;Loayza;Malla;Malla;3.251;3.859;3.692;2.740;2.108;1.306;29,5;3,6;25,9;70,5;58,7;11,7;0,2
296;Municipio;LA PAZ;Loayza;Malla;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
297;Municipio;LA PAZ;Loayza;Malla;Rural;3.251;3.859;3.692;2.740;2.108;1.306;29,5;3,6;25,9;70,5;58,7;11,7;0,2
298;Municipio;LA PAZ;Loayza;Cairoma;Cairoma;5.835;8.962;10.101;5.298;5.456;2.616;38,7;6,3;32,5;61,3;53,1;7,9;0,3
299;Municipio;LA PAZ;Loayza;Cairoma;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
300;Municipio;LA PAZ;Loayza;Cairoma;Rural;5.835;8.962;10.101;5.298;5.456;2.616;38,7;6,3;32,5;61,3;53,1;7,9;0,3
301;Provincia;LA PAZ;Inquisivi;;Inquisivi;45.701;55.654;53.053;43.168;36.964;17.598;38,3;9,9;28,5;61,7;49,7;11,7;0,3
302;Provincia;LA PAZ;Inquisivi;;Urbana;3.366;11.141;6.640;1.961;5.433;2.719;72,1;23,9;48,2;27,9;25,2;2,6;0,1
303;Provincia;LA PAZ;Inquisivi;;Rural;42.335;44.513;46.413;41.207;31.531;14.879;29;6;23;71;56,4;14,3;0,3
304;Municipio;LA PAZ;Inquisivi;Inquisivi;Inquisivi;13.538;11.791;13.838;14.240;9.022;4.750;20,2;3,9;16,3;79,8;63,6;15,8;0,4
305;Municipio;LA PAZ;Inquisivi;Inquisivi;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
306;Municipio;LA PAZ;Inquisivi;Inquisivi;Rural;13.538;11.791;13.838;14.240;9.022;4.750;20,2;3,9;16,3;79,8;63,6;15,8;0,4
307;Municipio;LA PAZ;Inquisivi;Quime;Quime;3.324;5.922;5.083;3.261;3.947;1.552;58,8;18,3;40,4;41,2;32,9;8,1;0,2
308;Municipio;LA PAZ;Inquisivi;Quime;Urbana;705;2.514;1.165;505;1.445;668;75,6;22,9;52,7;24,4;21,3;2,9;0,1
309;Municipio;LA PAZ;Inquisivi;Quime;Rural;2.619;3.408;3.918;2.756;2.502;884;45,7;14,8;30,9;54,3;41,9;12,2;0,3
310;Municipio;LA PAZ;Inquisivi;Cajuata;Cajuata;5.095;9.922;7.060;3.085;6.564;2.231;55;10,8;44,1;45;41,3;3,8;0
311;Municipio;LA PAZ;Inquisivi;Cajuata;Urbana;355;1.450;1.558;79;842;531;45,9;3,7;42,2;54,1;51;3;0
312;Municipio;LA PAZ;Inquisivi;Cajuata;Rural;4.740;8.472;5.502;3.006;5.722;1.700;56,4;11,9;44,4;43,6;39,7;3,9;0
313;Municipio;LA PAZ;Inquisivi;Colquiri;Colquiri;13.223;15.198;15.857;12.642;10.616;5.211;36,5;15,4;21,1;63,5;50,6;12,5;0,4
314;Municipio;LA PAZ;Inquisivi;Colquiri;Urbana;394;2.982;1.995;50;1.311;621;87,2;48,6;38,6;12,8;12,4;0,4;0
315;Municipio;LA PAZ;Inquisivi;Colquiri;Rural;12.829;12.216;13.862;12.592;9.305;4.590;17,5;3;14,5;82,5;64,9;17,1;0,5
316;Municipio;LA PAZ;Inquisivi;Ichoca;Ichoca;7.183;6.599;7.811;6.492;3.778;3.130;18,5;2,1;16,4;81,5;58,3;22,7;0,5
317;Municipio;LA PAZ;Inquisivi;Ichoca;Urbana;1.189;1.581;1.244;835;655;566;39,4;2,8;36,6;60,6;52,7;7,5;0,4
318;Municipio;LA PAZ;Inquisivi;Ichoca;Rural;5.994;5.018;6.567;5.657;3.123;2.564;12,7;1,9;10,8;87,3;59,8;26,9;0,5
319;Municipio;LA PAZ;Inquisivi;Villa Libertad Licoma;Villa Libertad Licoma;3.338;6.222;3.404;3.448;3.037;724;51,5;4,6;46,9;48,5;41,5;6,9;0
320;Municipio;LA PAZ;Inquisivi;Villa Libertad Licoma;Urbana;723;2.614;678;492;1.180;333;76;6,1;69,8;24;21;3,1;0
321;Municipio;LA PAZ;Inquisivi;Villa Libertad Licoma;Rural;2.615;3.608;2.726;2.956;1.857;391;31,8;3,4;28,4;68,2;58,2;10;0
322;Provincia;LA PAZ;Sur Yungas;;Sur Yungas;57.866;73.811;63.530;43.876;46.454;19.182;46,1;10,2;36;53,9;47;6,7;0,1
323;Provincia;LA PAZ;Sur Yungas;;Urbana;2.838;9.000;5.124;1.899;4.485;2.920;67,8;19,7;48,1;32,2;29,8;2,4;0
324;Provincia;LA PAZ;Sur Yungas;;Rural;55.028;64.811;58.406;41.977;41.969;16.262;42,8;8,7;34,1;57,2;49,6;7,4;0,2
325;Municipio;LA PAZ;Sur Yungas;Chulumani;Chulumani;5.027;10.107;7.542;3.592;6.680;2.567;62,9;13,9;49;37,1;34,9;2,2;0
326;Municipio;LA PAZ;Sur Yungas;Chulumani;Urbana;201;1.398;323;70;593;399;83,3;31,5;51,8;16,7;16,1;0,6;0
327;Municipio;LA PAZ;Sur Yungas;Chulumani;Rural;4.826;8.709;7.219;3.522;6.087;2.168;59,6;11,1;48,6;40,4;38;2,4;0
328;Municipio;LA PAZ;Sur Yungas;Irupana;Irupana;10.104;13.243;12.727;7.827;8.560;3.508;45,2;9,3;35,9;54,8;48,8;5,9;0,1
329;Municipio;LA PAZ;Sur Yungas;Irupana;Urbana;399;1.319;715;227;977;316;74,4;23,4;51;25,6;23;2,5;0
330;Municipio;LA PAZ;Sur Yungas;Irupana;Rural;9.705;11.924;12.012;7.600;7.583;3.192;41,1;7,4;33,8;58,9;52,4;6,4;0,1
331;Municipio;LA PAZ;Sur Yungas;Yanacachi;Yanacachi;1.989;4.526;2.560;2.121;2.544;882;66;21,8;44,2;34;30,5;3,5;0
332;Municipio;LA PAZ;Sur Yungas;Yanacachi;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
333;Municipio;LA PAZ;Sur Yungas;Yanacachi;Rural;1.989;4.526;2.560;2.121;2.544;882;66;21,8;44,2;34;30,5;3,5;0
334;Municipio;LA PAZ;Sur Yungas;Palos Blancos;Palos Blancos;13.591;17.654;13.101;11.120;9.276;3.944;45,1;9,7;35,4;54,9;47,4;7,3;0,3
335;Municipio;LA PAZ;Sur Yungas;Palos Blancos;Urbana;1.923;4.817;3.666;1.495;2.053;1.750;55,8;13,5;42,4;44,2;40,8;3,4;0
336;Municipio;LA PAZ;Sur Yungas;Palos Blancos;Rural;11.668;12.837;9.435;9.625;7.223;2.194;40,8;8,2;32,7;59,2;50;8,8;0,4
337;Municipio;LA PAZ;Sur Yungas;La Asunta;La Asunta;27.155;28.281;27.600;19.216;19.394;8.281;37,1;7,4;29,7;62,9;53,5;9,2;0,2
338;Municipio;LA PAZ;Sur Yungas;La Asunta;Urbana;315;1.466;420;107;862;455;79,8;22,2;57,6;20,2;19,1;1,1;0
339;Municipio;LA PAZ;Sur Yungas;La Asunta;Rural;26.840;26.815;27.180;19.109;18.532;7.826;34,3;6,4;27,9;65,7;55,8;9,8;0,2
340;Provincia;LA PAZ;Los Andes;;Los Andes;44.484;64.987;61.279;33.749;44.318;35.700;43,6;8,9;34,7;56,4;48,1;8,2;0,2
341;Provincia;LA PAZ;Los Andes;;Urbana;5.961;15.930;12.760;4.632;8.070;8.519;60;14,9;45,1;40;35,5;4,4;0,1
342;Provincia;LA PAZ;Los Andes;;Rural;38.523;49.057;48.519;29.117;36.248;27.181;37,9;6,8;31,1;62,1;52,4;9,5;0,2
343;Municipio;LA PAZ;Los Andes;Pucarani;Pucarani;18.168;25.797;28.294;12.862;18.355;14.770;43,9;8,2;35,7;56,1;47,7;8,2;0,2
344;Municipio;LA PAZ;Los Andes;Pucarani;Urbana;3.971;8.278;9.681;3.244;4.947;5.045;48,9;9;39,9;51,1;44,6;6,5;0,1
345;Municipio;LA PAZ;Los Andes;Pucarani;Rural;14.197;17.519;18.613;9.618;13.408;9.725;41,6;7,9;33,7;58,4;49,2;9;0,2
