;;;;;;;;;;;;;No Pobre;;;Pobre;;
N°;NIVEL;DEPARTAMENTO;PROVINCIA;MUNICIPIO / TIOC;ÁREA;Inadecuados Materiales de la Vivienda;Insuficientes Espacios en la Vivienda;Inadecuados Servicios de Agua y Saneamiento;Inadecuados Insumos Energéticos;Insuficiencia en educación;Inadecuada atención en salud;Total Población No Pobre;Necesidades Básicas Satisfechas;Umbral;Total Población Pobre;Moderada;Indigente;Marginal
39;Municipio;CHUQUISACA;Zudáñez;Mojocoya;Rural;3.247;4.027;4.248;4.538;3.891;513;30,7;3,7;27;69,3;62,6;6,7;0
40;Municipio;CHUQUISACA;Zudáñez;Icla;Icla;3.806;5.050;4.142;6.598;6.372;1.068;38,8;6,1;32,6;61,2;50,8;10;0,4
41;Municipio;CHUQUISACA;Zudáñez;Icla;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
42;Municipio;CHUQUISACA;Zudáñez;Icla;Rural;3.806;5.050;4.142;6.598;6.372;1.068;38,8;6,1;32,6;61,2;50,8;10;0,4
43;Provincia;CHUQUISACA;Tomina;;Tomina;13.614;19.574;15.530;21.106;22.073;2.160;44,5;13,7;30,8;55,5;49,7;5,7;0,1
44;Provincia;CHUQUISACA;Tomina;;Urbana;549;3.389;765;448;2.642;336;84,9;30,1;54,8;15,1;14,9;0,2;0
45;Provincia;CHUQUISACA;Tomina;;Rural;13.065;16.185;14.765;20.658;19.431;1.824;35,6;10,1;25,4;64,4;57,5;6,9;0,1
46;Municipio;CHUQUISACA;Tomina;Padilla;Padilla;3.270;4.643;3.978;4.511;5.785;632;50,5;17,2;33,3;49,5;44;5,4;0
47;Municipio;CHUQUISACA;Tomina;Padilla;Urbana;275;2.096;492;178;1.745;225;87;34,1;52,9;13;12,7;0,3;0
48;Municipio;CHUQUISACA;Tomina;Padilla;Rural;2.995;2.547;3.486;4.333;4.040;407;19,9;3;17;80,1;70,3;9,7;0,1
49;Municipio;CHUQUISACA;Tomina;Tomina;Tomina;3.373;4.979;3.321;5.622;5.952;571;44,1;8,2;35,9;55,9;53,2;2,7;0
50;Municipio;CHUQUISACA;Tomina;Tomina;Urbana;274;1.293;273;270;897;111;80,5;21,7;58,8;19,5;19,4;0,1;0
51;Municipio;CHUQUISACA;Tomina;Tomina;Rural;3.099;3.686;3.048;5.352;5.055;460;32,8;4,1;28,8;67,2;63,6;3,5;0
52;Municipio;CHUQUISACA;Tomina;Sopachuy;Sopachuy;3.427;3.794;3.888;4.617;5.106;574;35,2;13,5;21,7;64,8;53,8;10,9;0,1
53;Municipio;CHUQUISACA;Tomina;Sopachuy;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
54;Municipio;CHUQUISACA;Tomina;Sopachuy;Rural;3.427;3.794;3.888;4.617;5.106;574;35,2;13,5;21,7;64,8;53,8;10,9;0,1
55;Municipio;CHUQUISACA;Tomina;Alcalá;Alcalá;1.442;2.026;1.413;2.064;1.942;140;58,2;24,7;33,4;41,8;38,9;2,9;0
56;Municipio;CHUQUISACA;Tomina;Alcalá;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
57;Municipio;CHUQUISACA;Tomina;Alcalá;Rural;1.442;2.026;1.413;2.064;1.942;140;58,2;24,7;33,4;41,8;38,9;2,9;0
58;Municipio;CHUQUISACA;Tomina;El Villar;El Villar;2.102;4.132;2.930;4.292;3.288;243;38;9,6;28,4;62;55,8;6;0,2
59;Municipio;CHUQUISACA;Tomina;El Villar;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
60;Municipio;CHUQUISACA;Tomina;El Villar;Rural;2.102;4.132;2.930;4.292;3.288;243;38;9,6;28,4;62;55,8;6;0,2
61;Provincia;CHUQUISACA;Hernando Siles;;Hernando Siles;7.809;19.429;9.778;11.747;15.355;2.033;60,1;19,3;40,7;39,9;35,9;3,9;0,1
62;Provincia;CHUQUISACA;Hernando Siles;;Urbana;793;7.872;1.132;309;4.191;844;87;33,3;53,7;13;12,5;0,4;0,1
63;Provincia;CHUQUISACA;Hernando Siles;;Rural;7.016;11.557;8.646;11.438;11.164;1.189;40,9;9,4;31,4;59,1;52,7;6,4;0,1
64;Municipio;CHUQUISACA;Hernando Siles;Monteagudo;Monteagudo;4.918;15.147;6.417;7.728;11.686;1.600;64;20;44;36;32,3;3,7;0,1
65;Municipio;CHUQUISACA;Hernando Siles;Monteagudo;Urbana;793;7.872;1.132;309;4.191;844;87;33,3;53,7;13;12,5;0,4;0,1
66;Municipio;CHUQUISACA;Hernando Siles;Monteagudo;Rural;4.125;7.275;5.285;7.419;7.495;756;37,7;4,8;32,8;62,3;54,9;7,4;0,1
67;Municipio;CHUQUISACA;Hernando Siles;Huacareta;Huacareta;2.891;4.282;3.361;4.019;3.669;433;46,1;17;29,2;53,9;49;4,9;0
68;Municipio;CHUQUISACA;Hernando Siles;Huacareta;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
69;Municipio;CHUQUISACA;Hernando Siles;Huacareta;Rural;2.891;4.282;3.361;4.019;3.669;433;46,1;17;29,2;53,9;49;4,9;0
70;Provincia;CHUQUISACA;Yamparáez;;Yamparáez;8.432;10.672;10.943;10.869;15.127;4.190;40,4;8,2;32,3;59,6;50,6;8,7;0,3
71;Provincia;CHUQUISACA;Yamparáez;;Urbana;859;1.533;883;239;1.878;668;55,1;10,8;44,3;44,9;40,8;4,1;0
72;Provincia;CHUQUISACA;Yamparáez;;Rural;7.573;9.139;10.060;10.630;13.249;3.522;38,2;7,8;30,4;61,8;52,1;9,5;0,3
73;Municipio;CHUQUISACA;Yamparáez;Tarabuco;Tarabuco;5.512;6.002;6.644;7.045;9.555;3.107;38,5;7,5;31,1;61,5;51,8;9,3;0,3
74;Municipio;CHUQUISACA;Yamparáez;Tarabuco;Urbana;859;1.533;883;239;1.878;668;55,1;10,8;44,3;44,9;40,8;4,1;0
75;Municipio;CHUQUISACA;Yamparáez;Tarabuco;Rural;4.653;4.469;5.761;6.806;7.677;2.439;33,9;6,5;27,4;66,1;54,9;10,8;0,4
76;Municipio;CHUQUISACA;Yamparáez;Yamparáez;Yamparáez;2.920;4.670;4.299;3.824;5.572;1.083;43,4;9,3;34,1;56,6;48,6;7,8;0,2
77;Municipio;CHUQUISACA;Yamparáez;Yamparáez;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
78;Municipio;CHUQUISACA;Yamparáez;Yamparáez;Rural;2.920;4.670;4.299;3.824;5.572;1.083;43,4;9,3;34,1;56,6;48,6;7,8;0,2
79;Provincia;CHUQUISACA;Nor Cinti;;Nor Cinti;39.960;43.401;41.984;37.822;44.855;9.795;36,7;10;26,7;63,3;47,8;14,8;0,7
80;Provincia;CHUQUISACA;Nor Cinti;;Urbana;1.826;7.752;1.896;742;4.506;1.154;82,7;32,3;50,4;17,3;16;1,2;0
81;Provincia;CHUQUISACA;Nor Cinti;;Rural;38.134;35.649;40.088;37.080;40.349;8.641;25,9;4,7;21,1;74,1;55,3;18;0,9
82;Municipio;CHUQUISACA;Nor Cinti;Camargo;Camargo;4.940;7.849;5.619;5.597;7.253;1.440;55,8;19,6;36,2;44,2;38,7;5,3;0,2
83;Municipio;CHUQUISACA;Nor Cinti;Camargo;Urbana;232;2.750;450;70;1.156;389;92,6;43,9;48,6;7,4;7,3;0,1;0
84;Municipio;CHUQUISACA;Nor Cinti;Camargo;Rural;4.708;5.099;5.169;5.527;6.097;1.051;34,6;5,5;29;65,4;56,8;8,4;0,2
85;Municipio;CHUQUISACA;Nor Cinti;San Lucas;San Lucas;16.482;14.530;16.731;14.848;16.364;3.981;34,5;9,4;25,2;65,5;51;14,1;0,4
86;Municipio;CHUQUISACA;Nor Cinti;San Lucas;Urbana;587;1.542;690;271;875;282;75,9;32,3;43,6;24,1;23,3;0,9;0
87;Municipio;CHUQUISACA;Nor Cinti;San Lucas;Rural;15.895;12.988;16.041;14.577;15.489;3.699;29,6;6,6;23;70,4;54,3;15,7;0,4
88;Municipio;CHUQUISACA;Nor Cinti;Incahuasi;Incahuasi;9.824;11.690;10.792;10.127;11.266;2.196;26,9;5,1;21,9;73,1;48,7;23;1,4
89;Municipio;CHUQUISACA;Nor Cinti;Incahuasi;Urbana;558;1.873;560;330;1.299;174;72;20,2;51,8;28;23,8;4,1;0,1
90;Municipio;CHUQUISACA;Nor Cinti;Incahuasi;Rural;9.266;9.817;10.232;9.797;9.967;2.022;17,2;1,8;15,4;82,8;54;27,1;1,7
91;Municipio;CHUQUISACA;Nor Cinti;Villa Charcas;Villa Charcas;8.714;9.332;8.842;7.250;9.972;2.178;32,5;7,1;25,5;67,5;50;16,2;1,3
92;Municipio;CHUQUISACA;Nor Cinti;Villa Charcas;Urbana;449;1.587;196;71;1.176;309;82,1;22,3;59,8;17,9;17,2;0,7;0
93;Municipio;CHUQUISACA;Nor Cinti;Villa Charcas;Rural;8.265;7.745;8.646;7.179;8.796;1.869;21,3;3,6;17,7;78,7;57,4;19,7;1,5
94;Provincia;CHUQUISACA;Belisario Boeto;;Belisario Boeto;3.461;4.147;3.374;4.922;5.847;997;52,8;17,4;35,3;47,2;43;4,1;0,1
95;Provincia;CHUQUISACA;Belisario Boeto;;Urbana;306;1.655;236;210;1.319;291;85,5;39,4;46,1;14,5;14,2;0,3;0
96;Provincia;CHUQUISACA;Belisario Boeto;;Rural;3.155;2.492;3.138;4.712;4.528;706;33,1;4,2;28,9;66,9;60,4;6,4;0,1
97;Municipio;CHUQUISACA;Belisario Boeto;Villa Serrano;Villa Serrano;3.461;4.147;3.374;4.922;5.847;997;52,8;17,4;35,3;47,2;43;4,1;0,1
98;Municipio;CHUQUISACA;Belisario Boeto;Villa Serrano;Urbana;306;1.655;236;210;1.319;291;85,5;39,4;46,1;14,5;14,2;0,3;0
99;Municipio;CHUQUISACA;Belisario Boeto;Villa Serrano;Rural;3.155;2.492;3.138;4.712;4.528;706;33,1;4,2;28,9;66,9;60,4;6,4;0,1
100;Provincia;CHUQUISACA;Sud Cinti;;Sud Cinti;13.311;15.898;11.930;13.165;16.115;3.150;40,5;9,9;30,6;59,5;48,5;10,7;0,3
101;Provincia;CHUQUISACA;Sud Cinti;;Urbana;1.233;3.507;1.245;442;2.453;493;75,9;26,8;49;24,1;21,6;2,5;0,1
102;Provincia;CHUQUISACA;Sud Cinti;;Rural;12.078;12.391;10.685;12.723;13.662;2.657;30,1;5;25,1;69,9;56,3;13,2;0,4
103;Municipio;CHUQUISACA;Sud Cinti;Villa Abecia;Villa Abecia;2.140;3.694;2.136;2.584;2.747;505;50,9;11,7;39,2;49,1;43,1;5,9;0,1
104;Municipio;CHUQUISACA;Sud Cinti;Villa Abecia;Urbana;325;1.676;464;167;789;138;80,4;23,4;57;19,6;18,5;1,1;0
105;Municipio;CHUQUISACA;Sud Cinti;Villa Abecia;Rural;1.815;2.018;1.672;2.417;1.958;367;28;2,6;25,4;72;62,2;9,7;0,1
106;Municipio;CHUQUISACA;Sud Cinti;Culpina;Culpina;9.424;8.694;7.874;7.642;10.603;2.186;34,3;8,6;25,7;65,7;50,7;14,6;0,5
107;Municipio;CHUQUISACA;Sud Cinti;Culpina;Urbana;908;1.831;781;275;1.664;355;72,8;29,2;43,6;27,2;23,7;3,4;0,1
108;Municipio;CHUQUISACA;Sud Cinti;Culpina;Rural;8.516;6.863;7.093;7.367;8.939;1.831;22,9;2,5;20,4;77,1;58,6;17,9;0,6
109;Municipio;CHUQUISACA;Sud Cinti;Las Carreras;Las Carreras;1.747;3.510;1.920;2.939;2.765;459;47,8;11,9;35,8;52,2;47,6;4,5;0,1
110;Municipio;CHUQUISACA;Sud Cinti;Las Carreras;Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
111;Municipio;CHUQUISACA;Sud Cinti;Las Carreras;Rural;1.747;3.510;1.920;2.939;2.765;459;47,8;11,9;35,8;52,2;47,6;4,5;0,1
112;Provincia;CHUQUISACA;Luis Calvo;;Luis Calvo;6.410;14.233;6.838;10.406;9.177;1.623;51,6;14,4;37,2;48,4;42,2;6,1;0,1
113;Provincia;CHUQUISACA;Luis Calvo;;Urbana;325;2.881;607;92;972;288;86,6;32,3;54,3;13,4;12,2;1,2;0
114;Provincia;CHUQUISACA;Luis Calvo;;Rural;6.085;11.352;6.231;10.314;8.205;1.335;42,8;9,9;33;57,2;49,8;7,4;0,1
115;Municipio;CHUQUISACA;Luis Calvo;Villa Vaca Guzmán;Villa Vaca Guzmán;3.031;8.250;4.135;5.562;5.122;861;50,4;14,3;36,2;49,6;41,7;7,8;0,1
116;Municipio;CHUQUISACA;Luis Calvo;Villa Vaca Guzmán;Urbana;325;2.881;607;92;972;288;86,6;32,3;54,3;13,4;12,2;1,2;0
117;Municipio;CHUQUISACA;Luis Calvo;Villa Vaca Guzmán;Rural;2.706;5.369;3.528;5.470;4.150;573;29,3;3,7;25,6;70,7;59;11,6;0,1
118;Municipio;CHUQUISACA;Luis Calvo;Huacaya (Autonomía Guaraní Chaqueño de Huacaya);Huacaya (Autonomía Guaraní Chaqueño de Huacaya);784;1.836;805;1.690;1.103;154;54,6;12,9;41,7;45,4;43,8;1,5;0,2
119;Municipio;CHUQUISACA;Luis Calvo;Huacaya (Autonomía Guaraní Chaqueño de Huacaya);Urbana;0;0;0;0;0;0;0;0;0;0;0;0;0
