codigo_entidad,nombre_entidad_sigep,departamento,key_sigep,municipio_ine_sugerido,poblacion_2024,score_aprox,municipio_ine_final
1201,Gobierno Autónomo Municipal de La Paz,La Paz,la paz,Collana,5526,0.4615,
1201,Gobierno Autónomo Municipal de La Paz,La Paz,la paz,Ayo Ayo,11258,0.4615,
1201,Gobierno Autónomo Municipal de La Paz,La Paz,la paz,Mecapaca,20446,0.4286,
1201,Gobierno Autónomo Municipal de La Paz,La Paz,la paz,Aucapata,6721,0.4286,
1204,Gobierno Autónomo Municipal Ecológico Productivo de Achocalla,La Paz,ecologico productivo de achocalla,Santiago de Machaca,6805,0.4615,
1204,Gobierno Autónomo Municipal Ecológico Productivo de Achocalla,La Paz,ecologico productivo de achocalla,Santiago de Callapa,8037,0.4615,
1204,Gobierno Autónomo Municipal Ecológico Productivo de Achocalla,La Paz,ecologico productivo de achocalla,Jesús de Machaka,17016,0.449,
1204,Gobierno Autónomo Municipal Ecológico Productivo de Achocalla,La Paz,ecologico productivo de achocalla,Achocalla,46188,0.4286,
1204,Gobierno Autónomo Municipal Ecológico Productivo de Achocalla,La Paz,ecologico productivo de achocalla,La (Marka) San Andrés de Machaca,7936,0.3509,
1204,Gobierno Autónomo Municipal Ecológico Productivo de Achocalla,La Paz,ecologico productivo de achocalla,Santiago de Huata,9287,0.36,
1204,Gobierno Autónomo Municipal Ecológico Productivo de Achocalla,La Paz,ecologico productivo de achocalla,San Pedro de Curahuara,9217,0.4364,
1204,Gobierno Autónomo Municipal Ecológico Productivo de Achocalla,La Paz,ecologico productivo de achocalla,Puerto Mayor de Carabuco,17336,0.386,
1205,Gobierno Autónomo Municipal de El Alto de La Paz,La Paz,el alto de la paz,Nuestra Señora de La Paz,757431,0.6341,
1205,Gobierno Autónomo Municipal de El Alto de La Paz,La Paz,el alto de la paz,Santiago de Callapa,8037,0.6111,
1205,Gobierno Autónomo Municipal de El Alto de La Paz,La Paz,el alto de la paz,El Alto,885825,0.5833,
1205,Gobierno Autónomo Municipal de El Alto de La Paz,La Paz,el alto de la paz,Santiago de Huata,9287,0.5294,
1205,Gobierno Autónomo Municipal de El Alto de La Paz,La Paz,el alto de la paz,Santiago de Machaca,6805,0.5,
1205,Gobierno Autónomo Municipal de El Alto de La Paz,La Paz,el alto de la paz,Alto Beni,10585,0.4615,
1205,Gobierno Autónomo Municipal de El Alto de La Paz,La Paz,el alto de la paz,Puerto Mayor de Carabuco,17336,0.439,
1205,Gobierno Autónomo Municipal de El Alto de La Paz,La Paz,el alto de la paz,La (Marka) San Andrés de Machaca,7936,0.439,
