codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,presupuesto_total,provincia_ine,municipio_ine,poblacion_2001,poblacion_2012,poblacion_2024,hombres_2024,mujeres_2024,presupuesto_per_capita
1205,Gobierno Autónomo Municipal de El Alto de La Paz,La Paz,municipal,GAM,1490573041.0,Murillo,El Alto,649958.0,848452.0,885825.0,427374.0,458451.0,1682.694709451641
1206,Gobierno Autónomo Municipal de Viacha,La Paz,municipal,GAM,185661872.0,Ingavi,Viacha,46596.0,80724.0,113554.0,56294.0,57260.0,1635.0095285062614
1207,Gobierno Autónomo Municipal de Guaqui,La Paz,municipal,GAM,8793424.0,Ingavi,Puerto Mayor de Guaqui,7552.0,7278.0,8592.0,4311.0,4281.0,1023.4432029795158
1208,Gobierno Autónomo Municipal de Tiahuanacu,La Paz,municipal,GAM,13479705.0,Ingavi,Tiahuanacu,11309.0,12189.0,13648.0,6520.0,7128.0,987.6688892145369
1209,Gobierno Autónomo Municipal de Desaguadero,La Paz,municipal,GAM,13436897.0,Ingavi,Desaguadero,4981.0,6987.0,7897.0,3912.0,3985.0,1701.5191845004433
1210,Gobierno Autónomo Municipal de Caranavi,La Paz,municipal,GAM,87897286.0,Caranavi,Caranavi,43060.0,50330.0,59676.0,31048.0,28628.0,1472.9084724177224
1211,Gobierno Autónomo Municipal de Sica Sica (Villa Aroma),La Paz,municipal,GAM,38535569.0,Aroma,Sicasica,26818.0,31312.0,33885.0,17417.0,16468.0,1137.2456544193597
1212,Gobierno Autónomo Municipal de Umala,La Paz,municipal,GAM,14643089.0,Aroma,Umala,9583.0,8903.0,9102.0,4634.0,4468.0,1608.777081960009
1213,Gobierno Autónomo Municipal de Ayo Ayo,La Paz,municipal,GAM,11357460.0,Aroma,Ayo Ayo,6981.0,7798.0,11258.0,5778.0,5480.0,1008.834606502043
1214,Gobierno Autónomo Municipal de Calamarca,La Paz,municipal,GAM,37537262.0,Aroma,Calamarca,12112.0,12413.0,15327.0,7744.0,7583.0,2449.093886605337
1215,Gobierno Autónomo Municipal de Patacamaya,La Paz,municipal,GAM,28743849.0,Aroma,Patacamaya,20039.0,22858.0,25148.0,12564.0,12584.0,1142.987474153014
1216,Gobierno Autónomo Municipal de Colquencha,La Paz,municipal,GAM,12947346.0,Aroma,Colquencha,8020.0,9879.0,12490.0,6312.0,6178.0,1036.616973578863
1217,Gobierno Autónomo Municipal de Collana,La Paz,municipal,GAM,8833532.0,Aroma,Collana,2927.0,5042.0,5526.0,2729.0,2797.0,1598.539992761491
1218,Gobierno Autónomo Municipal de Inquisivi,La Paz,municipal,GAM,23286166.0,Inquisivi,Inquisivi,16143.0,14717.0,18679.0,10079.0,8600.0,1246.6494994378713
1219,Gobierno Autónomo Municipal de Quime,La Paz,municipal,GAM,12239928.0,Inquisivi,Quime,7338.0,8266.0,10887.0,6084.0,4803.0,1124.2700468448609
1220,Gobierno Autónomo Municipal de Cajuata,La Paz,municipal,GAM,16790899.0,Inquisivi,Cajuata,7757.0,10458.0,15565.0,8016.0,7549.0,1078.759974301317
