DEPARTAMEN,PROVINCIA,MUNICIPIO,CAPITAL,F_LEY_PROV,LEY_MUN,F_LEY_MUN,X,Y,MUN_ALTERN,PIB_USD2017,POB_ESTIMADA,POP_WORLDPOP_PONDERADOR,CELDAS_INTERSECTADAS,PIBPC_USD2017
La Paz,Loayza,Cairoma,Cairoma,1899-05-29,1029,1988-11-17,-67.5768864023,-16.8457777308,Cairoma,23654670.944852814,11778.13884117773,14163.377506309906,5,2008.353888829478
La Paz,Ingavi,Viacha,Viacha,1909-12-16,MDS,1842-11-18,-68.3106596029,-16.7338602031,Viacha,305025154.9576876,72830.41718425034,85749.32893096452,4,4188.156085746679
La Paz,Inquisivi,Ichoca,Ichoca,1919-11-12,620,1984-03-30,-67.1934845421,-17.1849177344,Ichoca,19536214.60476649,9038.418655319574,6098.65321243598,4,2161.4637858436026
La Paz,Inquisivi,Villa Libertad Licoma,Villa Libertad Licoma,1919-11-12,1088,1889-02-21,-67.2031454103,-16.8118939613,Licoma (Villa Libertad),7118557.135051419,4971.470558218771,6360.1285393436265,3,1431.881583464899
La Paz,Inquisivi,Quime,Quime,1919-11-12,CSL,1945-11-03,-67.3409054041,-16.8489241803,Quime,26058696.699415114,13708.1639442858,9765.055919559847,6,1900.9618505677115
Pando,Madre de Dios,Sena,Sena,1938-09-24,CSL,1938-09-24,-67.359219645,-11.855492707,Sena,26647391.96809131,12593.949832951042,5045.3083952475135,17,2115.8883687443777
Pando,Madre de Dios,San Lorenzo,San Lorenzo,1938-09-24,CSL,1938-09-24,-66.8211472307,-11.5962354718,San Lorenzo,21885825.931879535,11025.031576367137,4839.08605258161,15,1985.1032425878225
Beni,General José Ballivián,Santa Rosa,Santa Rosa,1937-12-03,CSL,1945-12-07,-66.6614463291,-13.318801947,Santa Rosa,59099220.9478341,21555.641765847504,6165.0274061363525,19,2741.705470419822
La Paz,Los Andes,Laja,Laja,1917-11-24,43,1960-12-13,-68.4595793711,-16.5885072349,Laja,105991844.67604303,28608.2335393114,29696.02387252453,7,3704.9419542243522
La Paz,Aroma,Ayo Ayo,Ayo Ayo,1945-11-23,4156,2009-12-31,-68.019652221,-17.0767369376,Ayo Ayo,13026509.47368035,6129.638062519749,10348.275246554895,4,2125.1678061274406
La Paz,Aroma,Patacamaya,Patacamaya,1945-11-23,167,1962-01-15,-67.9150822665,-17.2163830119,Patacamaya,52097211.01352076,23068.408660865596,26241.073717599385,5,2258.379057672109
La Paz,Aroma,Umala,Umala,1945-11-23,4098,2009-08-25,-67.9970240895,-17.4039687711,Umala,27378196.53478408,13199.515566463162,10079.907673661379,4,2074.1819195505614
La Paz,Aroma,Sica Sica,Villa Aroma,1945-11-23,ML,1945-11-23,-67.6205313636,-17.3736123091,Sica Sica,72044207.40857479,32634.526496675287,23906.291498287213,9,2207.606947075345
Oruro,Tomás Barrón,Eucaliptus,Eucaliptus,1980-03-07,502,1980-03-07,-67.4409067265,-17.6351230437,Eucaliptus,17759636.483423565,7679.059116826733,4011.25373625875,2,2312.7360023193173
Oruro,Cercado,Caracollo,Caracollo,1868-10-07,1669,1995-10-31,-67.292685652,-17.6908060831,Caracollo,41552901.31782763,14319.560621507484,17308.61955933956,9,2901.827955210903
La Paz,Murillo,Palca,Palca,1912-10-17,MDS,1838-01-08,-67.8261284626,-16.6663930464,Palca,36639569.073414564,12840.220278390272,14604.164346391462,6,2853.5000396432392
La Paz,Murillo,Achocalla,Achocalla,1912-10-17,ML,1947-10-24,-68.1206779308,-16.6664699952,Achocalla,68467095.03237857,15640.007545320348,20563.715052861662,2,4377.689386273003
La Paz,Murillo,El Alto,El Alto,1912-10-17,2337,2002-03-12,-68.2033818127,-16.468718633,El Alto,4487134021.949349,1126531.9976922157,1194682.19368357,4,3983.1394324720254
La Paz,Sud Yungas,Yanacachi,Yanacachi,1899-07-01,821,1986-04-03,-67.7894846154,-16.4257032731,Yanacachi,19369813.89576436,8371.528779249265,6682.093940896681,4,2313.7725983546566
Cochabamba,Tapacarí,Tapacarí,Tapacarí,1851-12-25,ML,1905-09-14,-66.6513626435,-17.5708159996,Tapacarí,71228923.82498047,29556.528061293935,25972.61988962935,7,2409.921885184446
Chuquisaca,Azurduy,Tarvita,Villa Orías,1917-12-05,ML,1945-10-31,-64.5617629444,-19.772154883,Tarvita (Villa Arias),26745655.89834368,14946.981537640471,11723.417859588953,7,1789.3683638392815
Potosí,José María Linares,Puna,Villa Talavera,2006-08-15,CSL,1910-12-13,-65.4000632169,-19.8768182671,Puna,46576730.668230474,23284.22921654519,24944.216336085155,9,2000.3552720196644
Chuquisaca,Nor Cinti,San Lucas,San Lucas,1984-10-03,ML,1928-09-24,-64.8992918917,-20.160734333,San Lucas,80806301.6621779,44058.31768847782,27223.644408202585,13,1834.0759679825553
Chuquisaca,Nor Cinti,Camargo,Camargo,1984-10-03,ML,1886-11-05,-65.1559833808,-20.6025515415,Camargo,33345115.3876319,13718.1803722683,13454.130060024647,8,2430.724373258717
La Paz,Ingavi,Desaguadero,Desaguadero,1909-12-16,114,1961-11-09,-68.9781485761,-16.6141431529,Desaguadero,12203059.717218943,5063.756610367513,7954.797869204984,2,2409.882752309709
La Paz,Ingavi,Jesús de Machaca,Jesús de Machaca,1909-12-16,2351,2002-05-07,-68.7396077148,-16.7606970156,Jesús de Machaca,32857176.989157125,18136.968640299307,17263.690123189135,5,1811.6134862884617
La Paz,Ingavi,Puerto Mayor de Guaqui,Guaqui,1909-12-16,1669,1995-10-31,-68.820993435,-16.6067317543,Guaqui,13406674.989299677,6423.380407259974,8250.290825198486,2,2087.168148121337
La Paz,Manco Kapac,Tito Yupanqui,Tito Yupanqui,1961-11-18,706,1985-02-06,-68.9594209403,-16.1798875634,Tito Yupanqui,10118854.866757102,4678.582348000595,7127.925433948054,1,2162.80362599184
La Paz,Los Andes,Pucarani,Pucarani,1917-11-24,ML,2015-11-12,-68.416188211,-16.36050877,Pucarani,54386260.87692574,19024.6571254735,37547.47773466887,7,2858.7248915043
La Paz,Larecaja,Quiabaya,Quiabaya,1826-10-18,736,1985-04-15,-68.7141967695,-15.6024110098,Quiabaya,4419942.187252984,2577.838867813973,3015.5466176323607,2,1714.5921114150665
La Paz,Omasuyos,Huatajata,Huatajata,1863-09-07,33,2010-08-08,-68.6902691496,-16.1974228951,Huatajata,4617159.147470896,2363.7983581577364,2750.9010316078784,1,1953.2796152161438
La Paz,Franz Tamayo,Apolo,Apolo,1967-11-20,CSL,1882-12-02,-68.2352996866,-14.6572570721,Apolo,37843726.490917906,19766.942015170203,23484.19060923677,34,1914.4957506262028
La Paz,Muñecas,Aucapata,Aucapata,1826-10-18,1427,1993-02-11,-68.6994878574,-15.4381070956,Aucapata,8162674.893730904,5034.758015433506,6410.058865905026,3,1621.2645908123302
La Paz,Omasuyos,Chua Cocani,Chua Cocani,1863-09-07,34,2010-08-08,-68.7516521198,-16.1577002915,Chua Cocani,13122499.883863952,6487.168704633502,8324.329924942984,2,2022.8393127021843
La Paz,Omasuyos,Villa Ancoraimes,Villa Ancoraimes,1863-09-07,MDS,1980-04-30,-68.8687597163,-15.8542598217,Ancoraimes,34727633.92563488,16210.908783510165,15030.16328864163,1,2142.2385622797437
Potosí,Nor Lipez,"Colcha ""K""",Villa Martín,1885-12-04,CSL,1949-12-26,-67.3142741258,-21.2043825838,"Colcha""K"" (V.Martin)",48635921.64560965,14265.818341465643,25813.36954199779,46,3409.262650165843
La Paz,Camacho,Puerto Mayor de Carabuco,Carabuco,1908-11-05,1669,1995-10-31,-69.0009652982,-15.7121416226,Puerto Carabuco,20309157.055771,9788.643535275187,15142.432503772588,4,2074.767252743774
Oruro,Sabaya,Sabaya,Sabaya,2001-12-20,CSL,1959-12-26,-68.6095685982,-18.9077880213,Sabaya,22189374.363040317,8392.405732539864,6083.104871875385,13,2643.9825563968484
La Paz,Larecaja,Tipuani,Tipuani,1826-10-18,831,1986-04-03,-68.0559593421,-15.5844232153,Tipuani,12191050.46615747,6595.304464442013,11257.080330105498,2,1848.4439242925653
La Paz,Murillo,Nuestra Señora de La Paz,Nuestra Señora de La Paz,1912-10-17,1669,1995-10-31,-67.9716521773,-16.1676083591,Nuestra Señora de La Paz,2741834974.278835,698897.5334339994,673828.1933638334,10,3923.0857788365065
La Paz,Larecaja,Sorata,Sorata,1826-10-18,CSL,1826-10-18,-68.4941240537,-15.7193382576,Sorata,60028276.07164423,30169.060552569405,26208.837339382906,9,1989.7297089196836
La Paz,Sud Yungas,La Asunta,La Asunta,1899-07-01,1010,1988-09-20,-67.1559185053,-16.1080348591,La Asunta,60211402.010847576,36235.02421869353,46653.979685274026,11,1661.690679367194
La Paz,Muñecas,Chuma,Chuma,1826-10-18,CSL,1900-11-24,-68.8655100242,-15.5934191385,Chuma,19311005.985303767,12952.336611827535,13770.909289723008,4,1490.928360190219
La Paz,Larecaja,Guanay,Guanay,1826-10-18,CSL,1947-11-02,-68.0422654701,-15.7361562486,Guanay,38380085.62768979,20193.868211561865,16706.46471955029,14,1900.5811677881275
La Paz,Larecaja,Teoponte,Teoponte,1826-10-18,2292,2001-12-11,-67.6872246554,-15.407193739,Teoponte,24014438.016509175,12709.108528846744,11080.763941963029,7,1889.54543601559
La Paz,Larecaja,Mapiri,Mapiri,1826-10-18,2281,2001-11-27,-68.2577515335,-15.3800525753,Mapiri,22937849.891048092,11605.226424843415,15835.241962472734,6,1976.5103283073242
La Paz,Camacho,Humanata,Humanata,1908-11-05,4006,2009-02-06,-69.1721881859,-15.4132338292,Humanata,8951771.809032107,4823.209444282325,3492.8898788207734,3,1855.9782469417717
Chuquisaca,Hernando Siles,Huacareta,San Pablo de Huacareta,1957-12-24,ML,1957-12-24,-64.0099337398,-20.5945483139,San Pablo de Huacareta,24044252.63475693,12715.702274811125,6932.401968689861,10,1890.9103182123754
Chuquisaca,Hernando Siles,Monteagudo,Monteagudo,1957-12-24,ML,1893-10-18,-64.0750637645,-20.0146701049,Monteagudo,37982235.140659966,19460.08835025985,20365.473752453618,14,1951.8017830660458
Potosí,Tomás Frías,Potosí,Potosí,1993-11-10,1669,1995-10-31,-65.7220285692,-19.5374253864,Potosí,666079120.3915318,242769.16714482842,371954.0583301825,6,2743.672634483151
La Paz,Manco Kapac,San Pedro de Tiquina,San Pedro de Tiquina,1961-11-18,121,1961-11-18,-68.8656729274,-16.2318753126,San Pedro de Tiquina,9639369.64706093,4520.005577884112,6876.208568026297,2,2132.601272490747
Santa Cruz,Cordillera,Lagunillas,Lagunillas,1894-09-06,MR,1864-03-17,-63.6447957378,-19.7731960479,Lagunillas,6481788.738850536,2610.0446919681494,4492.88626694151,4,2483.4014370699647
La Paz,Bautista Saavedra,Curva,Curva,1948-11-17,546,1983-05-13,-68.9654822172,-14.9852162421,Curva,7761350.117298748,3543.0338439179914,3739.308200933825,3,2190.594405588861
La Paz,Franz Tamayo,Pelechuco,Pelechuco,1967-11-20,CSL,1882-12-02,-69.090617431,-14.8011714883,Pelechuco,22302291.0748248,10059.39320079184,7723.695590026742,11,2217.0612709590914
La Paz,Sud Yungas,Palos Blancos,Palos Blancos,1899-07-01,786,1986-02-07,-67.2315776229,-15.4177206453,Palos Blancos,75491922.28684725,39136.84217960902,30089.074751226115,13,1928.922163428399
Beni,General José Ballivián,Puerto Menor de Rurrenabaque,Rurrenabaque,1937-12-03,1669,1995-10-30,-67.3057075228,-14.6886206364,Rurrenabaque,30188707.17887194,12600.494199202016,21614.20569412892,10,2395.8351713525476
La Paz,Abel Iturralde,San Buenaventura,San Buenaventura,1938-09-24,CSDS,1939-04-03,-67.7449566171,-14.2591504495,San Buenaventura,13666580.35652582,5096.200567469594,10118.386638997414,13,2681.719484072751
Beni,Yacuma,Santa Ana,Santa Ana de Yacuma,1894-10-22,CSD,1986-12-18,-65.9964437658,-14.3502342184,Santa Ana de Yacuma,42582528.136056595,15905.336769265883,36651.423350400764,46,2677.247816490088
Beni,General José Ballivián,San Borja,San Borja,1937-12-03,CSL,1945-12-07,-66.8085064451,-15.0036972474,San Borja,91951214.2270428,47632.54814702444,77647.27126776057,19,1930.4282009692756
Beni,General José Ballivián,Reyes,Reyes,1937-12-03,CSDS,1856-07-09,-67.0580571325,-13.4029031906,Reyes,33473672.09213074,14891.757235530586,8149.316605861328,33,2247.7986689351296
Pando,Madre de Dios,Puerto Gonzalo Moreno,Puerto Gonzalo Moreno,1938-09-24,CSL,1958-09-18,-66.3251035522,-11.1671180412,Puerto Gonzalo Moreno,23031960.42002866,9534.545534089892,5325.601310246333,8,2415.6327470124297
Beni,Mamoré,Puerto Siles,Puerto Siles,1941-11-27,CSL,1945-12-03,-64.9863357204,-12.424185602,Puerto Siles,3089194.004124635,1254.82072207229,1998.2529541868134,9,2461.8608457652385
La Paz,Camacho,Mocomoco,Mocomoco,1908-11-05,2648,2004-04-01,-69.0347466236,-15.4510663688,Mocomoco,38946323.72355628,21124.44548581234,20333.537293105393,4,1843.6613519494995
Beni,Yacuma,Exaltación,Exaltación,1894-10-22,1669,1995-10-31,-65.7831816945,-12.8039581394,Exaltación,29065326.145503964,9497.099457047154,12588.229654835028,47,3060.442430550367
Beni,Vaca Diez,Riberalta,Riberalta,1900-01-19,CSL,1900-01-19,-66.1008077671,-11.5278757457,Riberalta,256687160.01309088,105432.42897185903,55526.76044897155,34,2434.6129792912507
Pando,Nicolás Suárez,Bella Flor,Bella Flor,1951-09-08,CSL,1938-09-24,-67.9315356405,-10.9321845211,Bella Flor,22328906.487328082,9502.15286822543,2329.7695150249783,20,2349.878685070882
Pando,Manuripi,San Pedro,San Pedro,1938-09-24,CSL,1938-09-24,-66.5899771036,-11.0253770554,San Pedro (Conquista),3951340.2445150716,1792.4486535476178,1430.962109967717,12,2204.4370625036154
Pando,Manuripi,Puerto Rico,Puerto Rico,1938-09-24,CSL,1938-09-24,-67.5379692708,-11.3276852924,Puerto Rico,23070375.64731833,8742.520309573943,3887.983392117072,15,2638.8701233045963
Pando,Abuná,Santa Rosa,Santa Rosa,1938-09-24,ML,1945-12-03,-67.2788428097,-10.7316108589,Santa Rosa del Abuna,12460845.174200375,5168.3542972737105,1601.5880810941453,12,2410.988964276971
Pando,Abuná,Ingavi,Ingavi,1938-09-24,CSL,1938-09-24,-66.7473248683,-10.5045770983,Ingavi,3233372.302933252,1547.7033184722352,1202.1302670029108,19,2089.1421917509165
Beni,Vaca Diez,Guayaramerín,Guayaramerín,1900-01-19,1669,1995-10-30,-65.4349889568,-11.3089109596,Guayaramerín,220763271.08055344,78111.08023882212,26212.85987451933,18,2826.2734352869893
Pando,Federico Román,Villa Nueva,Loma Alta,1963-10-19,CSL,1963-10-19,-66.105491901,-10.6509481126,Villa Nueva (Loma Alta),7587314.073342424,2965.393199802695,2084.686448617358,7,2558.6199070825587
Pando,Federico Román,Santos Mercado,Santos Mercado,1963-10-19,CSL,1963-10-19,-66.1364085683,-10.153428419,Santos Mercado,7395624.53863937,3414.3903501210993,1365.5969854338618,16,2166.016120089218
Pando,Federico Román,Nueva Esperanza,Nueva Esperanza,1963-10-19,CSL,1995-10-31,-65.5377979823,-10.1113030749,Nuevo Manoa (Nueva Esperanza),10343100.341952557,2505.4428872949047,1274.334158766418,13,4128.252292000905
La Paz,Omasuyos,Santiago de Huata,Santiago de Huata,1863-09-07,4000,2009-01-20,-68.8350934722,-16.0862586579,Santiago de Huata,12502716.033601338,5780.791137645573,8807.165314932307,1,2162.80362599184
La Paz,Los Andes,Puerto Pérez,Puerto Pérez,1917-11-24,758,2015-11-12,-68.6493357723,-16.3270299779,Puerto Pérez,9562071.475264236,3967.896110735597,5006.624335783625,2,2409.859333109291
Potosí,Rafael Bustillo,Chuquihuta Ayllu Jucumani,Chuquihuta Ayllu Jucumani,2009-06-17,4039,2009-06-17,-66.3533150921,-18.6322384682,Chuquihuta,25654435.002721153,13947.988252899737,16113.729279637468,1,1839.2928455031993
La Paz,Caranavi,Alto Beni,Alto Beni,1992-12-16,4131,2009-12-23,-67.3894131675,-15.6057054827,Alto Beni,19878912.710731,10141.772228697504,11210.348494670005,7,1960.1024616270668
La Paz,Caranavi,Caranavi,Caranavi,1992-12-16,1401,1992-12-16,-67.4879858296,-15.844679091,Caranavi,102744526.17163439,52271.5658817149,56774.72932971144,7,1965.5911285331404
Chuquisaca,Tomina,Alcalá,Alcalá,1917-12-05,ML,1957-09-20,-64.3738832136,-19.4321348702,Villa Alcala,10803181.876584815,4962.455897754011,4070.1692438322934,2,2176.9829494050105
Chuquisaca,Tomina,Sopachuy,Villa de Sopachui,1917-12-05,ML,1932-04-01,-64.5352218162,-19.4622942159,Sopachuy,13737027.888893018,7008.849521790771,6183.064695920868,4,1959.9547466647832
La Paz,Omasuyos,Huarina,Huarina,1863-09-07,3098,2005-07-15,-68.5931256425,-16.1645624962,Huarina,14551096.288606485,7430.653040051498,8653.877961399168,2,1958.252687909869
Cochabamba,Bolivar,Bolivar,Bolivar,1985-01-31,704,1985-01-31,-66.6445215579,-18.0155672478,Bolivar,19414215.634757474,9387.82978160818,7609.785650119982,6,2068.0195621774183
Chuquisaca,Tomina,Tomina,Villa de Tomina,1917-12-05,ML,1932-04-01,-64.4949701995,-19.1608600057,Tomina,18643250.484731473,8575.642181091936,7244.851658864631,6,2173.9771892345475
Chuquisaca,Zudáñez,Zudañez,Villa Zudáñez,1917-12-05,ML,1917-12-05,-64.6879862089,-19.1279911384,Zudañez,19820823.17492391,10140.785337325604,9168.365106636047,5,1954.5649094817732
Chuquisaca,Tomina,Padilla,Padilla,1917-12-05,ML,1827-01-03,-64.1608587629,-19.3747358802,Padilla,26559594.655858655,11664.659400133405,8893.955178241435,9,2276.9284335515963
Chuquisaca,Zudáñez,Mojocoya,Villa de Mojocoya,1917-12-05,ML,1941-01-14,-64.6441709128,-18.7802819496,Villa Mojocoya,22985295.883161616,12207.483038574468,6844.213437749277,8,1882.8857521677728
Santa Cruz,Vallegrande,Pucará,Pucará,1984-10-18,658,1984-10-18,-64.1910807869,-18.7623656332,Pucará,5109570.318502388,2339.7598396547955,1737.2483458890347,4,2183.801188440026
Chuquisaca,Belisario Boeto,Villa Serrano,Villa Serrano,1943-10-15,ML,1943-10-15,-64.3000593172,-18.9518465875,Villa Serrano,26857564.288688175,12178.43308110099,9437.18254840147,7,2205.3382491682682
La Paz,Los Andes,Batallas,Batallas,1917-11-24,654,1984-10-18,-68.4336080149,-16.1643723187,Batallas,46316712.36694524,19697.94043869493,19759.488442936563,6,2351.3479752411063
Chuquisaca,Azurduy,Azurduy,Villa Azurduy,1917-12-05,ML,1917-12-05,-64.4329027862,-20.1813721151,Villa Azurduy,22683668.87309517,13508.203438124043,9224.536926355446,6,1679.251351003148
Potosí,José María Linares,"Caiza ""D""","Caiza ""D""",2006-08-15,666,1984-11-01,-65.6536114845,-20.0113212108,"Caiza ""D""",23189017.862373114,10138.684367121663,17172.203300846362,7,2287.182145404571
La Paz,Manco Kapac,Copacabana,Copacabana,1961-11-18,121,1961-11-18,-69.0641664312,-16.1363528164,Copacabana,29860512.759788174,12920.824440374381,17039.3831433545,3,2311.0377280943044
Potosí,Cornelio Saavedra,Chaquí,Chaquí,1925-11-06,ML,1929-01-04,-65.5460617741,-19.6250138307,Chaquí,29436666.646064326,13727.39502357072,19055.509575791453,3,2144.373830251107
Chuquisaca,Tomina,El Villar,El Villar,1917-12-05,204,1962-11-26,-64.2752432187,-19.6912768467,El Villar,11916521.06947702,6587.83208538396,3750.2736190631113,4,1808.8683674733472
Potosí,Nor Chichas,Vitichi,Vitiche,1863-08-26,CSL,1911-01-16,-65.4324371794,-20.3496376912,Vitichi,24662939.87210551,11341.979473093517,8916.798412442775,7,2174.4828520112555
Chuquisaca,Luis Calvo,Villa Vaca Guzmán,Villa Vaca Guzmán,1947-11-14,ML,1947-11-14,-63.8012914588,-19.9031853746,Villa Vaca Guzman (Muyupampa),13933784.82741738,6546.583981634278,8315.771656425837,20,2128.405419758928
Potosí,Nor Chichas,Cotagaita,Cotagaita,1863-08-26,CSL,1911-01-16,-65.7699421027,-20.6725072154,Cotagaita,84732536.2515115,32216.05745139842,61220.656771781476,17,2630.1336338048236
Chuquisaca,Sur Cinti,Villa Abecia,Villa Abecia,1944-03-23,ML,1947-11-20,-65.2893878064,-20.9860157745,Villa Abecia,20307961.540756438,4658.6290600631655,2972.2039014204493,4,4359.214111904648
Potosí,Sur Chichas,Tupiza,Tupiza,1863-08-26,MDS,1863-02-05,-65.7969192073,-21.4911500216,Tupiza,134912846.54972956,56434.704306959524,86897.68358318765,21,2390.6007519045706
Chuquisaca,Sur Cinti,Las Carreras,Las Carreras,1944-03-23,1445,1993-02-15,-65.320277535,-21.2956792225,Las Carreras,52580690.58835822,10076.265107029078,4308.584109913041,5,5218.27185270052
La Paz,Larecaja,Tacacoma,Tacacoma,1826-10-18,652,1984-10-17,-68.5230229401,-15.3924830872,Tacacoma,13833334.86407792,8070.212126873681,9347.672817628132,5,1714.1228317918844
Santa Cruz,Ichilo,Yapacaní,Yapacaní,1926-04-08,1144,1990-03-13,-64.3620574515,-16.7507586691,Yapacaní,138652030.868469,55528.99429744534,53385.684082191015,26,2496.9303446370504
Santa Cruz,Cordillera,Boyuibe,Boyuibe,1894-09-06,1265,1991-09-30,-63.0673573921,-20.3454200492,Boyuibe,16741173.988908134,7994.4351672803905,4325.365400839306,6,2094.103415514129
Cochabamba,Ayopaya,Cocapata,Cocapata,1826-02-15,4007,2009-02-06,-66.5521991724,-16.4891607663,Cocapata,60703091.09623661,32259.213532844027,17619.963257204276,20,1881.7287977102435
Santa Cruz,Vallegrande,Vallegrande,Vallegrande,1984-10-18,658,1984-10-18,-63.9404133016,-18.7837902986,Vallegrande,34547180.57337556,15610.145010353644,14686.935585351748,12,2213.123616113858
Tarija,Gran Chaco,Villa Montes,Villa Montes,1876-08-12,MDS,1937-08-24,-62.9133898058,-21.4028222086,Villa Montes,188134856.50731546,72263.35343899866,42670.49289649791,24,2603.461471880489
Chuquisaca,Zudáñez,Presto,Presto,1917-12-05,ML,1926-10-28,-64.893029054,-18.7556524932,Presto,25953227.765402608,12546.692289774392,10151.073197561855,7,2068.5314635917707
Santa Cruz,Vallegrande,Trigal,Trigal,1984-10-18,658,1984-10-18,-64.1326643091,-18.2870823247,Trigal,6229377.430279347,2857.5026833606435,3024.911260437002,2,2180.0075522424772
Santa Cruz,Florida,Quirusillas,Quirusillas,1924-12-15,24,1943-09-24,-63.9374563818,-18.3705717191,Quirusillas,6711792.200211518,3266.758982916721,3995.7364313029393,2,2054.5722030031443
Santa Cruz,Andrés Ibáñez,La Guardia,La Guardia,1944-12-06,1522,1993-12-13,-63.2339492265,-18.0537226226,La Guardia,264235225.395966,79268.39244594339,117779.29750616629,8,3333.4248020250902
Santa Cruz,Vallegrande,Moromoro,Moromoro,1984-10-18,658,1984-10-18,-64.3442093121,-18.3207853576,Moromoro,9628988.788585884,3734.08871383177,2898.091907368769,5,2578.6716723998256
Santa Cruz,Andrés Ibáñez,El Torno,El Torno,1944-12-06,1522,1993-12-13,-63.4688591396,-18.0488023313,El Torno,55581893.50989151,20509.349604239447,66913.86151586988,6,2710.0758718551606
Santa Cruz,Florida,Samaipata,Samaipata,1924-12-15,ML,1924-12-15,-63.7500244308,-18.175267861,Samaipata,26380039.744419858,12437.998575869828,14776.305844702307,6,2120.9232002645585
Santa Cruz,Ñuflo De Chávez,Cuatro Cañadas,Cuatro Cañadas,1915-09-16,2322,2003-01-28,-62.2426278351,-17.2373486962,Cuatro Cañadas,79323344.7279125,27055.30182255014,30355.81791674259,12,2931.896500293256
Santa Cruz,Ñuflo De Chávez,San Ramón,San Ramón,1915-09-16,1966,1999-03-24,-62.4345709129,-16.5769120247,San Ramón,16109017.60762941,6942.021922547511,9894.36136583738,4,2320.508028836344
Santa Cruz,Andrés Ibáñez,Cotoca,Cotoca,1944-12-06,1522,1993-12-13,-62.9082845307,-17.7547826004,Cotoca,157950878.80624047,49468.11096977952,65408.13091518233,6,3192.9838376632974
Santa Cruz,Manuel María Caballero,Saipina,Saipina,1960-11-04,23,1960-11-04,-64.6399376625,-18.0237514668,Saipina,12361003.218315804,6632.1736634827685,7817.649455246428,5,1863.7936588386383
Cochabamba,Campero,Omereque,Omereque,1899-07-08,520,1980-05-09,-64.8934476661,-18.0705641641,Omereque,16828847.39560489,7621.33919721289,5972.032687288745,6,2208.1220846015053
Santa Cruz,Cordillera,Cuevo,Cuevo,1894-09-06,CSL,1926-09-27,-63.5309318494,-20.32724302,Cuevo,7935222.122510651,3487.307189129713,4496.643552821479,4,2275.458309851663
Chuquisaca,Luis Calvo,Huacaya,Villa de Huacaya,1947-11-14,ML,1947-11-14,-63.5948645769,-20.7163605271,Huacaya,4840260.263830605,2201.472835331957,1964.4031029185571,6,2198.6463726229667
Chuquisaca,Luis Calvo,Macharetí,Villa de Macharetí,1947-11-14,ML,1950-01-04,-62.882725528,-20.7344252332,Macharetí,39816102.806199744,15630.44725607344,6513.5929480651575,25,2547.342513870076
Santa Cruz,Andrés Ibáñez,Porongo,Porongo (Ayacucho),1944-12-06,1522,1993-12-13,-63.3648655158,-17.7503118828,Porongo (Ayacucho),57524404.84967665,16226.292101753716,21351.3548267582,6,3545.1355423004798
Santa Cruz,Ñuflo De Chávez,San Javier,San Javier,1915-09-16,CSL,1915-09-16,-62.4908696082,-16.233748337,San Javier,33953789.209359296,15170.613311235547,16444.528853743337,8,2238.1289742724307
Cochabamba,Chapare,Villa Tunari,Villa Tunari,1854-06-10,MDS,1970-06-04,-65.571835347,-16.6345803631,Villa Tunari,168115096.14022857,80847.47823428582,74006.67933269191,32,2079.4105123854597
Cochabamba,Carrasco,Chimoré,Chimoré,1926-09-14,633,1984-09-13,-64.9112188058,-16.558197565,Chimoré,40203577.6942099,18610.586082912396,23187.636941390032,12,2160.2531760739903
Cochabamba,Tiraque,Tiraque,Tiraque,1986-10-15,888,1986-10-15,-65.5173096085,-17.3365544649,Tiraque,65236557.94037413,29374.635593972624,12728.76658570303,10,2220.8465440081923
Cochabamba,Tiraque,Shinahota,Shinahota,1986-10-15,4047,2009-07-04,-65.3182572206,-17.0591777002,Shinahota,38046227.107057765,15371.306326088634,30571.83087920334,5,2475.145983037537
Chuquisaca,Sur Cinti,Culpina,Culpina,1944-03-23,ML,1960-12-20,-64.5720022582,-20.8697761123,Culpina,29962611.304569345,14560.966583193822,15294.208902138984,15,2057.7350503057955
Chuquisaca,Nor Cinti,Incahuasi,Incahuasi,1984-10-03,643,1984-10-03,-64.5723537511,-20.5907602285,Incahuasi,26781348.98779788,13396.940206823157,14856.904515779883,6,1999.064605375931
Santa Cruz,Ichilo,San Juan,San Juan,1926-04-08,2233,2001-07-26,-63.9987648468,-16.8614961446,San Juan,34698142.236725256,15470.149601609537,13152.940887089284,8,2242.909288551108
Potosí,Tomás Frías,Tinguipaya,Tinguipaya,1993-11-10,1669,1995-10-31,-65.9040959582,-19.1700080476,Tinguipaya,32471023.124668516,16116.1367428322,51717.975087942614,8,2014.8143219937808
Santa Cruz,Obispo Santistéban,Montero,Montero,1941-12-02,CSL,1941-12-02,-63.2499004885,-17.3328692562,Montero,392389397.34069693,151263.48491344185,151291.5531360279,2,2594.078786200355
Beni,Iténez,Baures,Baures,1995-10-31,1669,1995-10-31,-62.8753745079,-13.6251416398,Baures,16268306.843797859,7160.219937121786,11721.050138429106,44,2272.040103049862
Santa Cruz,Guarayos,Ascención de Guarayos,Ascención de Guarayos,1990-03-06,1143,1990-03-06,-63.4308759118,-15.3439097857,Ascención de Guarayos,63759128.78687849,25444.289202982214,55115.659597863356,25,2505.8325771350515
