codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,ingresos_total,recursos_propios,recursos_especificos,recursos_especificos_gam_gaioc,otros_recursos_especificos,transferencias_tgn,coparticipacion,idh,regalias,otros_recursos,autonomia_fiscal_pct,autonomia_fiscal_aplica,autonomia_fiscal_base,dependencia_tgn_pct,coparticipacion_pct,idh_pct,regalias_pct,recursos_especificos_pct,recursos_especificos_gam_gaioc_pct,otros_recursos_especificos_pct
"1801","Gobierno Autónomo Municipal de Trinidad","Beni","municipal","GAM",233143669.0,85837207.0,85844125.0,85837207.0,6918.0,147299544.0,103387861.0,37103036.0,0.0,6808647.0,36.817301,True,"20/210 Recursos Específicos GAM/GAIOC",63.179731,44.345129,15.914237,0.0,36.820269,36.817301,0.002967
"3801","Gobierno Indígena Autónomo del Territorio Indígena Multiétnico","Beni","indigena_originario_campesino","GAIOC",4902464.0,300000.0,300000.0,300000.0,0.0,4602464.0,3368949.0,1233515.0,0.0,0.0,6.119372,True,"20/210 Recursos Específicos GAM/GAIOC",93.880628,68.719505,25.161123,0.0,6.119372,6.119372,0.0
"3101","Autonomía del Territorio Indígena Originario Campesino Guaraní Chaqueño de","Chuquisaca","indigena_originario_campesino","GAIOC",2840267.0,50000.0,50000.0,50000.0,0.0,2790267.0,2116692.0,604325.0,0.0,69250.0,1.760398,True,"20/210 Recursos Específicos GAM/GAIOC",98.239602,74.524402,21.277049,0.0,1.760398,1.760398,0.0
"901","Gobierno Autónomo Departamental de Chuquisaca","Chuquisaca","departamental","GAD",782262173.0,None,262977004.0,0.0,34319019.0,478245714.0,0.0,51863372.0,228657985.0,426382342.0,None,False,"No calculado para entidades no GAM/GAIOC",61.136244,0.0,6.629922,29.230352,33.617502,0.0,4.387151
"1119","Gobierno Autónomo Municipal de Camargo","Chuquisaca","municipal","GAM",18125225.0,2134011.0,2356179.0,2134011.0,213800.0,15769046.0,12231255.0,3492078.0,8368.0,45713.0,11.773708,True,"20/210 Recursos Específicos GAM/GAIOC",87.000553,67.481948,19.266398,0.046168,12.999447,11.773708,1.179572
"1123","Gobierno Autónomo Municipal de Camataqui (Villa Abecia)","Chuquisaca","municipal","GAM",6082776.0,330000.0,330000.0,330000.0,0.0,5752776.0,4465339.0,1274874.0,0.0,12563.0,5.425155,True,"20/210 Recursos Específicos GAM/GAIOC",94.574845,73.409558,20.958753,0.0,5.425155,5.425155,0.0
"1124","Gobierno Autónomo Municipal de Culpina","Chuquisaca","municipal","GAM",21907961.0,1882000.0,1885106.0,1882000.0,3106.0,20022855.0,12360950.0,3529106.0,0.0,4132799.0,8.590485,True,"20/210 Recursos Específicos GAM/GAIOC",91.395338,56.422184,16.108783,0.0,8.604662,8.590485,0.014177
"1114","Gobierno Autónomo Municipal de El Villar","Chuquisaca","municipal","GAM",8056284.0,555000.0,555000.0,555000.0,0.0,7501284.0,4685655.0,1337776.0,0.0,1477853.0,6.889032,True,"20/210 Recursos Específicos GAM/GAIOC",93.110968,58.161492,16.605373,0.0,6.889032,6.889032,0.0
"1109","Gobierno Autónomo Municipal de Icla","Chuquisaca","municipal","GAM",9947023.0,310924.0,310924.0,310924.0,0.0,9636099.0,7361034.0,2101607.0,0.0,173458.0,3.1258,True,"20/210 Recursos Específicos GAM/GAIOC",96.8742,74.002382,21.128,0.0,3.1258,3.1258,0.0
"1121","Gobierno Autónomo Municipal de Incahuasi","Chuquisaca","municipal","GAM",20133393.0,215920.0,215920.0,215920.0,0.0,19917473.0,13560631.0,3871620.0,0.0,2485222.0,1.072447,True,"20/210 Recursos Específicos GAM/GAIOC",98.927553,67.353928,19.229844,0.0,1.072447,1.072447,0.0
