DEPARTAMEN,PROVINCIA,MUNICIPIO,CAPITAL,F_LEY_PROV,LEY_MUN,F_LEY_MUN,X,Y,MUN_ALTERN,PIB_USD2017,POB_ESTIMADA,POP_WORLDPOP_PONDERADOR,CELDAS_INTERSECTADAS,PIBPC_USD2017,PIB_USD2017_RHZ_WORLDPOP,PIBPC_USD2017_RHZ_WORLDPOP,FACTOR_BENCHMARK_INE_2021,PART_INE_2021,POB_ESTIMADA_RHZ_WORLDPOP,POB_RETRO_2021,POB_2012_INE,POB_2024_CENSO,PIB_MUNICIPAL_BENCHMARK_USD2017_2021,PIBpc_RETRO_2021_USD2017,PIBpc_RETRO_2021_STATUS,PIBpc_RETRO_2021_FORMULA
Cochabamba,Quillacollo,Colcapirhua,Colcapirhua,1905-09-14,ML,1987-03-18,-66.2325649728,-17.3904980751,Colcapirhua,236618861.51994443,60699.29046242052,53537.472457742726,2,3898.21462025882,275053689.27206254,4531.415230337013,0.860264271117988,0.1718551800718803,60699.29046242052,62534.643408,51990,66505,236618861.51994443,3783.804442233257,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Cochabamba,Quillacollo,Sipe Sipe,Sipesipe,1905-09-14,ML,1905-09-14,-66.3916973204,-17.5028771621,Sipe Sipe,117092718.09361576,43111.05112584412,42138.32562210657,3,2716.0719823744053,136112497.08353415,3157.2530367263007,0.860264271117988,0.1718551800718803,43111.05112584412,51916.22253,41571,55908,117092718.09361576,2255.416753905632,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Cochabamba,Quillacollo,Vinto,Vinto,1905-09-14,ML,1960-12-10,-66.374089284,-17.3421997647,Vinto,146294478.74020344,54181.345931395546,54152.37511802266,1,2700.089416852833,170057601.66010508,3138.6743672892903,0.860264271117988,0.1718551800718803,54181.345931395546,55010.686019,51968,56064,146294478.74020344,2659.382918600488,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Cochabamba,Esteban Arze,Tarata,Tarata,1950-11-10,ML,1914-11-24,-66.0653599105,-17.6918290586,Tarata,25540686.681105096,8333.225527973373,8816.059190314394,3,3064.9220515356137,29689349.58546257,3562.768040514436,0.860264271117988,0.1718551800718803,8333.225527973373,10424.08113,8242,11273,25540686.681105096,2450.161924396028,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Cochabamba,Carrasco,Totora,Totora,1926-09-14,MDS,1876-06-24,-65.1443281518,-17.5863350567,Totora,57414093.96540805,30268.58966703473,15217.44705023639,10,1896.820915575636,66740065.690271504,2204.9281590069445,0.860264271117988,0.1718551800718803,30268.58966703473,6341.321583,5531,6637,57414093.96540805,9053.963469564313,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Santa Cruz,Ichilo,Buena Vista,Buena Vista,1926-04-08,CSL,1926-05-03,-63.755955197,-17.6977582315,Buena Vista,42155654.66542448,18152.94522666135,18006.00871155718,11,2322.248766746136,40684703.577815466,2241.2177787030155,1.0361548925825552,0.3110055708407956,18152.94522666135,13453.766496,12879,13651,42155654.66542448,3133.3719577390084,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Santa Cruz,Ichilo,San Carlos,San Carlos,1926-04-08,CSL,1991-11-11,-63.7536020036,-17.2907266939,San Carlos,62563408.97794844,27615.27275947028,27561.02530481982,8,2265.5365211445605,60380363.42424907,2186.484412091945,1.0361548925825552,0.3110055708407956,27615.27275947028,19223.416264,20093,18942,62563408.97794844,3254.541654706803,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Beni,Iténez,Magdalena,Magdalena,1995-10-31,CSDS,1856-07-09,-63.6875290685,-12.9948015999,Magdalena,33691649.56458154,14196.932950399036,22621.008523427205,29,2373.1639560666213,33707123.07313917,2374.2538751788466,0.9995409424730776,0.0355050251817614,14196.932950399036,12417.451969,11377,12785,33691649.56458154,2713.249839815314,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Santa Cruz,Sara,Portachuelo,Portachuelo,1883-09-25,CSL,1883-09-25,-63.4485751723,-17.3568644758,Portachuelo,65767498.04067281,25707.571530921632,24818.08907906477,6,2558.292912326091,63472651.15619073,2469.0255584758143,1.0361548925825552,0.3110055708407956,25707.571530921632,19988.30242,17885,20743,65767498.04067281,3290.299328997771,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Potosí,Sur Lipez,San Antonio de Esmoruco,San Antonio de Esmoruco,1885-12-04,639,1984-09-20,-66.6344764147,-22.0841476347,San Antonio de Esmoruco,2726490.699572779,870.7453634913206,4456.415686350432,9,3131.214720042498,2646014.679335969,3038.792728940375,1.0304140490471525,0.0627775447835225,870.7453634913206,2017.683487,2284,1936,2726490.699572779,1351.2975238854124,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Tarija,Avilés,Uriondo,Concepción,1957-12-26,CSDS,1945-10-25,-64.7084717376,-21.7429947196,Uriondo,76308392.58542399,19668.273410058297,16729.259282441235,6,3879.7707858992894,52648697.35360342,2676.833713663907,1.4493880460691253,0.0641616532053175,19668.273410058297,15629.483473,14781,15923,76308392.58542399,4882.336176935414,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Potosí,Sur Lipez,Mojinete,Mojinete,1885-12-04,1275,1991-10-10,-66.3510609938,-21.8140904551,Mojinete,3001273.8863061965,1009.3472475977048,2111.3700081825955,4,2973.4800322182214,2912687.2727342406,2885.713791429637,1.0304140490471525,0.0627775447835225,1009.3472475977048,1061.728318,1180,1025,3001273.8863061965,2826.7814234927605,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Tarija,Gran Chaco,Yacuiba,Yacuiba,1876-08-12,CSL,1957-02-25,-63.2849222463,-21.794026483,Yacuiba,499841404.92857325,97264.72267270045,102279.29890816596,10,5138.979387321741,344863755.6272038,3545.620098950816,1.4493880460691253,0.0641616532053175,97264.72267270045,96257.930568,92245,97634,499841404.92857325,5192.729596187854,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Tarija,Avilés,Yunchará,Yunchará,1957-12-26,CSL,1957-12-26,-65.1628324837,-21.790291271,Yunchará,33842692.357155345,11297.560957963746,6441.473208751966,8,2995.5751053770014,23349642.250010177,2066.7861263940176,1.4493880460691253,0.0641616532053175,11297.560957963746,4928.190295,5490,4754,33842692.357155345,6867.164279368678,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Tarija,Gran Chaco,Caraparí,Caraparí,1876-08-12,ML,1880-10-19,-63.8989283738,-21.8159613922,Caraparí,24510095.139744222,5463.413785072558,16919.753724958355,13,4486.223468321595,16910650.813091688,3095.2535316464414,1.4493880460691253,0.0641616532053175,5463.413785072558,15510.52392,15366,15559,24510095.139744222,1580.2235479769356,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Tarija,Méndez,San Lorenzo,Villa San Lorenzo,1880-10-19,CSL,1880-10-19,-64.6952451869,-21.2341634422,Villa San Lorenzo,75156933.68266019,20477.85944314854,27470.589301733235,9,3670.155754868516,51854252.48020553,2532.210586959316,1.4493880460691253,0.0641616532053175,20477.85944314854,28576.389084,23863,30346,75156933.68266019,2630.036057405492,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Tarija,Méndez,El Puente,El Puente,1880-10-19,CSL,1947-05-12,-65.0494109735,-21.2784640146,Tomayapo (El Puente),61207156.17792948,15523.939885772144,13005.720365607354,8,3942.759159614274,42229654.33165325,2720.292312543492,1.4493880460691253,0.0641616532053175,15523.939885772144,9951.01912,11354,9523,61207156.17792948,6150.842987715212,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Potosí,Enrique Baldivieso,San Agustín,San Agustín,1985-02-06,707,1985-02-06,-67.4139586623,-21.4952964406,San Agustín,5762994.141848233,1996.2512000640363,3355.512074323284,9,2886.9082917337087,5592891.660568298,2801.697331672932,1.0304140490471525,0.0627775447835225,1996.2512000640363,2005.663019,1684,2126,5762994.141848233,2873.3611215917895,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Tarija,Cercado,Tarija,Tarija,1880-10-19,CSL,1880-10-19,-64.5939866409,-21.5595060021,Tarija,1066260706.9199344,257498.1940327068,225689.8192390361,10,4140.847320989367,735662688.6855677,2856.962517539543,1.4493880460691253,0.0641616532053175,257498.1940327068,229928.637087,205375,238749,1066260706.9199344,4637.354965567208,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Potosí,Chárcas,Toro Toro,Toro Toro,1880-09-03,CSL,1883-11-21,-65.7008566699,-18.2095446631,Toro Toro,25307177.84081357,13525.389362915948,11301.483508565403,6,1871.0868250640567,24560202.63331589,1815.8591944609973,1.0304140490471525,0.0627775447835225,13525.389362915948,10752.788845,10870,10714,25307177.84081357,2353.545503908641,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Potosí,Chárcas,San Pedro,San Pedro,1880-09-03,CSL,1880-09-03,-65.9682190293,-18.3406283882,San Pedro de Buena Vista,54680477.16777571,26400.653711701736,31358.357372779225,10,2071.178909616898,53066509.73784762,2010.0452934741763,1.0304140490471525,0.0627775447835225,26400.653711701736,16130.295758,19103,15246,54680477.16777571,3389.924027919867,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Chuquisaca,Oropeza,Poroma,Poroma,1912-11-18,ML,1912-11-18,-65.3851521997,-18.6217942288,Poroma,34766136.969633035,13927.070947490516,13851.374212746974,7,2496.299264986329,31818525.76854498,2284.653096728733,1.092638207770204,0.0450991724414834,13927.070947490516,14318.811586,16532,13649,34766136.969633035,2428.0043605331366,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Potosí,Chayanta,Ravelo,Ravelo,1880-09-03,CSL,1913-11-14,-65.5633725064,-18.7526965756,Ravelo,32844125.481397644,14681.346199720874,19214.60427151881,6,2237.1330962839147,31874687.18207924,2171.101120324051,1.0304140490471525,0.0627775447835225,14681.346199720874,17895.299288,21213,16909,32844125.481397644,1835.3493257166226,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Potosí,Chayanta,Ocurí,Ocurí,1880-09-03,257,1963-11-16,-65.7684325587,-18.8898291284,Ocurí,42855376.94044768,22490.79534602676,28471.20436879772,6,1905.462936330464,41590443.16221914,1849.2206488182976,1.0304140490471525,0.0627775447835225,22490.79534602676,14913.233912,16118,14532,42855376.94044768,2873.647472719658,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Potosí,Daniel Campos,Tahua,Tahua,1949-12-26,129,1961-12-13,-67.943750749,-20.2873876632,Tahua,7915259.948290615,3012.7545341019804,3530.008818771559,10,2627.250198679043,7681630.462637847,2549.703394580578,1.0304140490471525,0.0627775447835225,3012.7545341019804,1583.140093,1700,1546,7915259.948290615,4999.721745032202,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Potosí,Sur Lipez,San Pablo,San Pablo de Lípez,1885-12-04,CSL,1885-12-04,-67.2322664177,-22.1753790097,San Pablo de Lipez,22547873.258326,7093.902345190024,6032.008067525458,35,3178.4865594625,21882342.61671464,3084.669276784142,1.0304140490471525,0.0627775447835225,7093.902345190024,3203.853162,3371,3150,22547873.258326,7037.736161875649,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Cochabamba,Ayopaya,Morochata,Morochata,1826-02-15,ML,1911-01-24,-66.5707802928,-17.2029918222,Morochata,16286873.56408622,8274.195326993684,14054.733782400384,4,1968.393652848879,18932407.297259964,2288.1267058676985,0.860264271117988,0.1718551800718803,8274.195326993684,14213.724716,12797,14720,16286873.56408622,1145.8554242406221,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Potosí,Antonio Quijarro,Tomave,Tomave,1967-01-27,323,1967-01-27,-66.3942821823,-20.1016061825,Tomave,52054597.15859894,22964.572826644835,28534.442194719013,21,2266.734833325624,50518136.08979324,2199.829122498597,1.0304140490471525,0.0627775447835225,22964.572826644835,13936.96124,14789,13664,52054597.15859894,3735.0033669784625,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Potosí,Antonio Quijarro,Porco,Porco,1967-01-27,322,1967-01-27,-65.9841479693,-19.8079684669,Porco,13194876.683837272,4330.98367617551,20855.19670119137,4,3046.6235087473374,12805412.2476677,2956.6983404046364,1.0304140490471525,0.0627775447835225,4330.98367617551,13598.298353,10866,14654,13194876.683837272,970.3329299726527,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Potosí,Tomás Frías,Yocalla,Villa de Yocalla,1993-11-10,266,1963-11-28,-65.9409900038,-19.4955687279,Yocalla,22705180.364755064,7573.495405318059,16418.5968558804,4,2997.9790241652004,22035006.59346703,2909.489662856888,1.0304140490471525,0.0627775447835225,7573.495405318059,11336.756485,8979,12253,22705180.364755064,2002.7933382351118,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Potosí,Tomás Frías,Urmiri,Belén de Urmiri,1993-11-10,1512,1993-11-10,-66.1807398914,-19.4728148854,Belen de Urmiri,13301353.956104793,5903.389924476974,5132.773726539686,5,2253.172181792356,12908746.700809116,2186.666790768153,1.0304140490471525,0.0627775447835225,5903.389924476974,3026.274035,2759,3121,13301353.956104793,4395.290645882801,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Oruro,Mejillones,Todos Santos,Todos Santos,1989-02-21,1464,1993-02-18,-68.7586127221,-19.0281324549,Todos Santos,3654121.999774625,1449.6727961766644,556.6749870171188,4,2520.652942796421,4030985.98972724,2780.61780586521,0.9065082362198644,0.0392454706498095,1449.6727961766644,1018.737379,727,1140,3654121.999774625,3586.9126590906517,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Santa Cruz,Ñuflo De Chávez,Concepción,Concepción,1915-09-16,CSL,1915-09-16,-62.1121246378,-15.2984533371,Concepción,92738797.89527862,37716.03477804306,26102.77997061108,63,2458.8692433083625,89502832.59690316,2373.0711121575414,1.0361548925825552,0.3110055708407956,37716.03477804306,26770.658809,18800,30118,92738797.89527862,3464.195579068662,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Santa Cruz,Sara,Santa Rosa,Santa Rosa,1883-09-25,CSL,1926-05-03,-63.8386898293,-16.6592552289,Santa Rosa del Sara,60699202.09892858,23060.05893244441,20249.262026730503,18,2632.2223319875247,58581204.92742102,2540.3753346440944,1.0361548925825552,0.3110055708407956,23060.05893244441,18296.0644,19217,17999,60699202.09892858,3317.609775158591,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Beni,Iténez,Huacaraje,Huacaraje,1995-10-31,1669,1995-10-31,-64.0627529978,-13.8239836757,Huacaraje,11883972.976400858,5280.105368813017,8117.050951051628,15,2250.707542048997,11889430.909150528,2251.741220805089,0.9995409424730776,0.0355050251817614,5280.105368813017,4494.409217,4111,4630,11883972.976400858,2644.167988195151,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Potosí,José María Linares,Ckochas,Ckochas,2006-08-15,3462,2006-08-15,-65.0221106723,-19.7420817829,Ckochas,39625487.31584025,16334.592242448209,13206.385971037407,10,2425.86326782414,38455888.050519936,2354.2606683860645,1.0304140490471525,0.0627775447835225,16334.592242448209,14693.089819,15812,14338,39625487.31584025,2696.879131864044,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Oruro,Sur Carangas,Santiago de Andamarca,Santiago de Andamarca,1980-03-31,1236,1991-02-13,-67.3810571756,-18.8925523702,Santiago de Andamarca,10999412.120694287,4819.6202512988975,4000.427763801177,9,2282.215516405037,12133824.802918272,2517.589388842032,0.9065082362198644,0.0392454706498095,4819.6202512988975,6017.388211,5216,6311,10999412.120694287,1827.9379252036063,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Oruro,Mejillones,La Rivera,La Rivera,1989-02-21,413,1968-10-18,-68.6602032728,-19.0621533263,La Rivera,2241135.7429262786,831.7751635007869,392.580248686616,3,2694.4008925365783,2472272.8965726835,2972.2850657951203,0.9065082362198644,0.0392454706498095,831.7751635007869,1005.712763,509,1262,2241135.7429262786,2228.405390100194,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Oruro,Mejillones,Carangas,Carangas,1989-02-21,1464,1993-02-18,-68.665416637,-18.9015713333,Carangas,2704006.511892877,1235.4140027807823,670.1741238938412,2,2188.745235043842,2982881.350497788,2414.4791493245552,0.9065082362198644,0.0392454706498095,1235.4140027807823,1048.552736,840,1129,2704006.511892877,2578.798774756832,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Pando,Nicolás Suárez,Bolpebra,Bolpebra,1951-09-08,CSL,1938-09-24,-69.2256664515,-11.169684333,Bolpebra (Mukden),11093738.67667014,4184.264304249404,1355.7227377435463,8,2651.299695720392,10836007.307000829,2589.7043109815336,1.023784717227239,0.0112280921377746,4184.264304249404,2368.135665,2173,2437,11093738.67667014,4684.587475753156,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Pando,Manuripi,Filadelfia,Filadelfia,1938-09-24,CSL,1938-09-24,-68.5320075511,-11.7561061655,Filadelfia,11833393.725460658,6038.864456806659,3629.7804264907454,28,1959.5395475589355,11558478.58083832,1914.015236392708,1.023784717227239,0.0112280921377746,6038.864456806659,7399.029053,5756,8045,11833393.725460658,1599.3171050144952,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Oruro,Cercado,Oruro,Oruro,1868-10-07,1669,1995-10-31,-67.0914949032,-17.959984464,Oruro,957017726.239944,328543.900498723,201194.47093672253,2,2912.9066915782346,1055718732.607112,3213.326228259153,0.9065082362198644,0.0392454706498095,328543.900498723,289622.730754,264943,298350,957017726.239944,3304.359860666915,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Oruro,Nor Carangas,Huayllamarca,Santiago de Huayllamarca,1990-09-26,1188,1990-09-26,-67.8201577086,-17.927490051,Santiago de Hayllamarca,10804427.176109854,5821.412948493593,4153.802642018594,7,1855.9802013196324,11918730.293245068,2047.3947474090933,0.9065082362198644,0.0392454706498095,5821.412948493593,5868.489943,5502,5996,10804427.176109854,1841.0915382527687,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
La Paz,Gualberto Villarroel,San Pedro de Curahuara,San Pedro de Curahuara,1962-12-31,235,1962-12-31,-67.966586437,-17.6335198375,San Pedro de Curahuara,18411825.7805611,10473.880104943017,7199.670420882161,5,1757.8801357361222,18746080.28550776,1789.7932855523884,0.9821693655497108,0.2591222906876548,10473.880104943017,9125.908491,8858,9217,18411825.7805611,2017.533465231252,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Cochabamba,Capinota,Sicaya,Sicaya,1908-10-01,631,1984-08-31,-66.3415889589,-17.7912178084,Sicaya,8125337.145729522,2820.4956259369783,3751.4767605149536,2,2880.818913885129,9445164.025201166,3348.7603874809947,0.860264271117988,0.1718551800718803,2820.4956259369783,3918.593417,3740,3980,8125337.145729522,2073.5341180245027,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Santa Cruz,Germán Busch,Puerto Quijarro,Puerto Quijarro,1984-11-30,1263,1991-09-30,-57.6849657212,-18.4262011227,Puerto Quijarro,70304806.78317973,11875.622848984896,23207.805288972595,11,5920.0942701872045,67851638.09625907,5713.522478701729,1.0361548925825552,0.3110055708407956,11875.622848984896,17635.825178,16659,17974,70304806.78317973,3986.476735467228,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Cochabamba,Capinota,Capinota,Capinota,1908-10-01,ML,1908-10-01,-66.2267897493,-17.7775537755,Capinota,65552408.38541485,23134.4095062428,20491.8894558958,4,2833.545778107092,76200314.93371661,3293.8085112202243,0.860264271117988,0.1718551800718803,23134.4095062428,19439.487954,19477,19427,65552408.38541485,3372.1262896220164,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
Cochabamba,Arque,Arque,Villa de Arque,1908-10-01,ML,1908-10-01,-66.4168229234,-17.8257790506,Arque,24825421.12240268,9318.97529700446,11378.653038835691,4,2663.964688304592,28857900.9449502,3096.681772965578,0.860264271117988,0.1718551800718803,9318.97529700446,10623.239178,10597,10632,24825421.12240268,2336.897504385972,ok,PIB_MUNICIPAL_BENCHMARK_USD2017_2021 / POB_RETRO_2021
