status,departamento,municipio,match_key,pib_col,pib_value,old_pop_col,old_pop_value,pob_2012,pob_2024,pob_retro_2021,pibpc_retro_2021
ok,Santa Cruz,Roboré,santa cruz|robore,PIB_USD2017,104679400.73455828,POB_ESTIMADA,37721.79426119848,15641,18763,17928.453862984945,5838.7299615768425
ok,Santa Cruz,Charagua,santa cruz|charagua,PIB_USD2017,241249057.32119584,POB_ESTIMADA,75607.38906403031,32186,38420,36756.55260178789,6563.429925946351
ok,Santa Cruz,Gutiérrez,santa cruz|gutierrez,PIB_USD2017,18970666.44616128,POB_ESTIMADA,7390.608063122125,12273,14389,13828.040504766239,1371.8983857201233
ok,Santa Cruz,Camiri,santa cruz|camiri,PIB_USD2017,48009839.62570449,POB_ESTIMADA,15361.817103072946,33838,32285,32666.436772232337,1469.6993112672333
ok,Santa Cruz,San José,santa cruz|san jose de chiquitos,PIB_USD2017,128035987.84476145,POB_ESTIMADA,49613.39496001918,28922,40974,37556.780226760115,3409.1311095281994
ok,Santa Cruz,Santa Cruz de la Sierra,santa cruz|santa cruz de la sierra,PIB_USD2017,7304597860.954088,POB_ESTIMADA,1908143.4147338087,1444425,1610982,1567623.4992710266,4659.663410475066
ok,Santa Cruz,Pailón,santa cruz|pailon,PIB_USD2017,83588901.42193899,POB_ESTIMADA,24274.07646031054,37866,54495,49754.21176993888,1680.0366933446783
ok,Potosí,Colquechaca,potosi|colquechaca,PIB_USD2017,87303821.58436093,POB_ESTIMADA,39594.27621853939,35199,37374,36817.96387707074,2371.2289434541885
ok,Potosí,Pocoata,potosi|pocoata,PIB_USD2017,53319153.77963285,POB_ESTIMADA,25452.71606181016,26330,32641,30933.94481138747,1723.6454679393132
ok,Potosí,Llica,potosi|llica,PIB_USD2017,10529716.467252906,POB_ESTIMADA,4141.209088309219,4150,4187,4177.71918810884,2520.4462035705833
ok,Cochabamba,Quillacollo,cochabamba|quillacollo,PIB_USD2017,404292893.8875956,POB_ESTIMADA,147691.178099336,137182,166741,158802.04246199006,2545.8922795930966
ok,Cochabamba,Sacaba,cochabamba|sacaba,PIB_USD2017,770195184.3953326,POB_ESTIMADA,211004.4775303943,172466,219092,206369.61912140835,3732.115161496822
ok,Cochabamba,Tiquipaya,cochabamba|tiquipaya,PIB_USD2017,266805201.3052588,POB_ESTIMADA,69788.98488332331,53904,61840,59752.67590773086,4465.159045215903
ok,Cochabamba,Colcapirhua,cochabamba|colcapirhua,PIB_USD2017,236618861.51994443,POB_ESTIMADA,60699.29046242052,51990,66505,62534.64340781008,3783.804442233257
ok,Cochabamba,Sipe Sipe,cochabamba|sipe sipe,PIB_USD2017,117092718.09361576,POB_ESTIMADA,43111.05112584412,41571,55908,51916.22252998258,2255.416753905632
ok,Cochabamba,Vinto,cochabamba|vinto,PIB_USD2017,146294478.74020344,POB_ESTIMADA,54181.345931395546,51968,56064,55010.68601929336,2659.382918600488
ok,Cochabamba,Tarata,cochabamba|tarata,PIB_USD2017,25540686.681105096,POB_ESTIMADA,8333.225527973373,8242,11273,10424.081129822041,2450.161924396028
ok,Cochabamba,Totora,cochabamba|totora,PIB_USD2017,57414093.96540805,POB_ESTIMADA,30268.58966703473,5531,6637,6341.321583460164,9053.963469564313
ok,Santa Cruz,Buena Vista,santa cruz|buena vista,PIB_USD2017,42155654.66542448,POB_ESTIMADA,18152.94522666135,12879,13651,13453.766496283873,3133.3719577390084
ok,Santa Cruz,San Carlos,santa cruz|san carlos,PIB_USD2017,62563408.97794844,POB_ESTIMADA,27615.27275947028,20093,18942,19223.41626430487,3254.541654706803
ok,Beni,Magdalena,beni|magdalena,PIB_USD2017,33691649.56458154,POB_ESTIMADA,14196.932950399036,11377,12785,12417.451968549594,2713.249839815314
ok,Santa Cruz,Portachuelo,santa cruz|portachuelo,PIB_USD2017,65767498.04067281,POB_ESTIMADA,25707.571530921632,17885,20743,19988.302420104028,3290.299328997771
ok,Potosí,San Antonio de Esmoruco,potosi|san antonio de esmoruco,PIB_USD2017,2726490.699572779,POB_ESTIMADA,870.7453634913206,2284,1936,2017.683486707832,1351.2975238854124
ok,Tarija,Uriondo,tarija|uriondo,PIB_USD2017,76308392.58542399,POB_ESTIMADA,19668.273410058297,14781,15923,15629.483472668588,4882.336176935414
ok,Potosí,Mojinete,potosi|mojinete,PIB_USD2017,3001273.8863061965,POB_ESTIMADA,1009.3472475977048,1180,1025,1061.728318066359,2826.7814234927605
ok,Tarija,Yacuiba,tarija|yacuiba,PIB_USD2017,499841404.92857325,POB_ESTIMADA,97264.72267270045,92245,97634,96257.93056806241,5192.729596187854
ok,Tarija,Yunchará,tarija|yunchara,PIB_USD2017,33842692.357155345,POB_ESTIMADA,11297.560957963746,5490,4754,4928.190295203863,6867.164279368678
ok,Tarija,Caraparí,tarija|carapari,PIB_USD2017,24510095.139744222,POB_ESTIMADA,5463.413785072558,15366,15559,15510.523919937157,1580.2235479769356
ok,Tarija,San Lorenzo,tarija|san lorenzo,PIB_USD2017,75156933.68266019,POB_ESTIMADA,20477.85944314854,23863,30346,28576.389084491053,2630.036057405492
ok,Tarija,El Puente,tarija|el puente,PIB_USD2017,61207156.17792948,POB_ESTIMADA,15523.939885772144,11354,9523,9951.019120497083,6150.842987715212
ok,Potosí,San Agustín,potosi|san agustin,PIB_USD2017,5762994.141848233,POB_ESTIMADA,1996.2512000640363,1684,2126,2005.6630190136489,2873.3611215917895
ok,Tarija,Tarija,tarija|tarija,PIB_USD2017,1066260706.9199344,POB_ESTIMADA,257498.1940327068,205375,238749,229928.6370866624,4637.354965567208
ok,Potosí,Toro Toro,potosi|toro toro,PIB_USD2017,25307177.84081357,POB_ESTIMADA,13525.389362915948,10870,10714,10752.788845078534,2353.545503908641
ok,Potosí,San Pedro,potosi|san pedro,PIB_USD2017,54680477.16777571,POB_ESTIMADA,26400.653711701736,19103,15246,16130.295758081893,3389.924027919867
ok,Chuquisaca,Poroma,chuquisaca|poroma,PIB_USD2017,34766136.969633035,POB_ESTIMADA,13927.070947490516,16532,13649,14318.811586482963,2428.0043605331366
ok,Potosí,Ravelo,potosi|ravelo,PIB_USD2017,32844125.481397644,POB_ESTIMADA,14681.346199720874,21213,16909,17895.299287820028,1835.3493257166226
ok,Potosí,Ocurí,potosi|ocuri,PIB_USD2017,42855376.94044768,POB_ESTIMADA,22490.79534602676,16118,14532,14913.23391170483,2873.647472719658
ok,Potosí,Tahua,potosi|tahua,PIB_USD2017,7915259.948290615,POB_ESTIMADA,3012.7545341019804,1700,1546,1583.1400929772412,4999.721745032202
ok,Potosí,San Pablo,potosi|san pablo,PIB_USD2017,22547873.258326,POB_ESTIMADA,7093.902345190024,3371,3150,3203.8531623948656,7037.736161875649
ok,Cochabamba,Morochata,cochabamba|morochata,PIB_USD2017,16286873.56408622,POB_ESTIMADA,8274.195326993684,12797,14720,14213.724715646222,1145.8554242406221
ok,Potosí,Tomave,potosi|tomave,PIB_USD2017,52054597.15859894,POB_ESTIMADA,22964.572826644835,14789,13664,13936.961240468703,3735.0033669784625
ok,Potosí,Porco,potosi|porco,PIB_USD2017,13194876.683837272,POB_ESTIMADA,4330.98367617551,10866,14654,13598.298353338529,970.3329299726527
ok,Potosí,Yocalla,potosi|yocalla,PIB_USD2017,22705180.364755064,POB_ESTIMADA,7573.495405318059,8979,12253,11336.756484702097,2002.7933382351118
ok,Potosí,Urmiri,potosi|urmiri,PIB_USD2017,13301353.956104793,POB_ESTIMADA,5903.389924476974,2759,3121,3026.2740345884895,4395.290645882801
ok,Oruro,Todos Santos,oruro|todos santos,PIB_USD2017,3654121.999774625,POB_ESTIMADA,1449.6727961766644,727,1140,1018.7373786517044,3586.9126590906517
ok,Santa Cruz,Concepción,santa cruz|concepcion,PIB_USD2017,92738797.89527862,POB_ESTIMADA,37716.03477804306,18800,30118,26770.65880911122,3464.195579068662
ok,Santa Cruz,Santa Rosa,santa cruz|santa rosa,PIB_USD2017,60699202.09892858,POB_ESTIMADA,23060.05893244441,19217,17999,18296.06439956519,3317.609775158591
ok,Beni,Huacaraje,beni|huacaraje,PIB_USD2017,11883972.976400858,POB_ESTIMADA,5280.105368813017,4111,4630,4494.409216606767,2644.167988195151
ok,Potosí,Ckochas,potosi|ckochas,PIB_USD2017,39625487.31584025,POB_ESTIMADA,16334.592242448209,15812,14338,14693.08981913909,2696.879131864044
ok,Oruro,Santiago de Andamarca,oruro|andamarca,PIB_USD2017,10999412.120694287,POB_ESTIMADA,4819.6202512988975,5216,6311,6017.38821052641,1827.9379252036063
ok,Oruro,La Rivera,oruro|la rivera,PIB_USD2017,2241135.7429262786,POB_ESTIMADA,831.7751635007869,509,1262,1005.7127634328295,2228.405390100194
ok,Oruro,Carangas,oruro|carangas,PIB_USD2017,2704006.511892877,POB_ESTIMADA,1235.4140027807823,840,1129,1048.5527363986946,2578.798774756832
ok,Pando,Bolpebra,pando|bolpebra,PIB_USD2017,11093738.67667014,POB_ESTIMADA,4184.264304249404,2173,2437,2368.1356648989813,4684.587475753156
ok,Pando,Filadelfia,pando|filadelfia,PIB_USD2017,11833393.725460658,POB_ESTIMADA,6038.864456806659,5756,8045,7399.02905331173,1599.3171050144952
