departamento,municipio,codigo_entidad,poblacion_retro_2021,pib_estimado_usd2017_2021,pibpc_usd2017_2021,nbi_pobre_pct,nbi_pobre_moderada_pct,nbi_pobre_indigente_pct,nbi_pobre_marginal_pct,nivel_pibpc,nivel_nbi,categoria_brecha,score_brecha_bienestar_producto,metodo
Tarija,Yunchará,1608,4928.190295,33842692.357155345,6867.164279368678,52.3,49.2,3.1,0.0,alto,medio,Producto alto con mejor bienestar relativo,73.765,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Tarija,Caraparí,1605,15510.52392,24510095.139744222,1580.2235479769356,28.0,26.4,1.5,0.0,bajo,bajo,"Bajo producto, menor pobreza relativa",16.4314,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Tarija,San Lorenzo,1609,28576.389084,75156933.68266019,2630.036057405492,30.6,27.2,3.4,0.1,medio,bajo,Bienestar relativo con producto medio,31.359,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Tarija,El Puente,1610,9951.01912,61207156.17792948,6150.842987715212,41.0,38.7,2.2,0.0,alto,medio,Producto alto con mejor bienestar relativo,67.55,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,San Agustín,1538,2005.663019,5762994.141848233,2873.361121591789,31.7,30.6,1.1,0.0,medio,bajo,Bienestar relativo con producto medio,35.0925,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Tarija,Tarija,1601,229928.637087,1066260706.9199344,4637.354965567208,13.3,12.9,0.5,0.0,alto,bajo,Producto alto con mejor bienestar relativo,47.6524,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Toro Toro,1516,10752.788845,25307177.84081357,2353.545503908641,76.4,51.5,23.7,1.1,bajo,alto,Rezago estructural,52.9942,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,San Pedro,1515,16130.295758,54680477.16777571,3389.924027919867,87.8,50.4,34.3,3.0,medio,alto,Producto medio con rezago social,72.589,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Chuquisaca,Poroma,1103,14318.811586,34766136.969633035,2428.0043605331366,88.2,60.4,26.8,1.0,bajo,alto,Rezago estructural,60.4415,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Ravelo,1512,17895.299288,32844125.481397644,1835.3493257166224,83.7,57.1,25.2,1.4,bajo,alto,Rezago estructural,50.3466,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Ocurí,1514,14913.233912,42855376.94044768,2873.647472719658,87.0,57.6,28.2,1.2,medio,alto,Producto medio con rezago social,65.5112,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Tahua,1536,1583.140093,7915259.948290615,4999.721745032202,38.3,31.3,6.9,0.1,alto,bajo,Producto alto con mejor bienestar relativo,66.0614,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,San Pablo,1523,3203.853162,22547873.258326,7037.736161875649,52.3,43.4,8.9,0.0,alto,medio,Producto alto con mejor bienestar relativo,73.765,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Cochabamba,Morochata,1311,14213.724716,16286873.56408622,1145.855424240622,85.0,63.9,20.5,0.7,bajo,alto,Rezago estructural,46.75,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Tomave,1531,13936.96124,52054597.15859894,3735.0033669784634,59.4,52.9,6.4,0.1,alto,medio,Producto alto con mejor bienestar relativo,61.4058,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Porco,1532,13598.298353,13194876.683837272,970.3329299726528,27.9,25.5,2.4,0.0,bajo,bajo,"Bajo producto, menor pobreza relativa",15.345,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Yocalla,1503,11336.756485,22705180.364755064,2002.793338235112,50.1,45.7,4.3,0.1,bajo,medio,"Bajo producto, menor pobreza relativa",34.0195,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Potosí,Urmiri,1504,3026.274035,13301353.956104793,4395.290645882801,86.8,62.4,23.8,0.6,alto,alto,Producto alto con rezago social,84.9652,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Oruro,Todos Santos,1429,1018.737379,3654121.999774625,3586.912659090652,36.3,33.4,2.9,0.0,alto,bajo,Producto alto con mejor bienestar relativo,46.7967,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Santa Cruz,Concepción,1737,26770.658809,92738797.89527862,3464.195579068662,60.5,53.6,6.7,0.2,medio,alto,Producto medio con rezago social,58.5289,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
Santa Cruz,Santa Rosa,1717,18296.0644,60699202.09892858,3317.609775158591,41.6,37.8,3.8,0.1,medio,medio,Situación intermedia,46.2493,Cruce PIBpc estimado 2021 en USD constantes de 2017 con pobreza NBI 2024
