gestion,codigo_entidad,nombre_entidad,total_general_ingresos,file
2026,1204,Gobierno Autónomo Municipal Ecológico Productivo de Achocalla,110473572,data\raw\sigep_2026\recursos_por_rubro\2026_1204_Gobierno_Autónomo_Municipal_Ecológico_Productivo_de_Achocalla_recursos_por_rubro.pdf
2026,1205,Gobierno Autónomo Municipal de El Alto de La Paz,1490573041,data\raw\sigep_2026\recursos_por_rubro\2026_1205_Gobierno_Autónomo_Municipal_de_El_Alto_de_La_Paz_recursos_por_rubro.pdf
2026,1206,Gobierno Autónomo Municipal de Viacha,185661872,data\raw\sigep_2026\recursos_por_rubro\2026_1206_Gobierno_Autónomo_Municipal_de_Viacha_recursos_por_rubro.pdf
2026,1207,Gobierno Autónomo Municipal de Guaqui,8793424,data\raw\sigep_2026\recursos_por_rubro\2026_1207_Gobierno_Autónomo_Municipal_de_Guaqui_recursos_por_rubro.pdf
2026,1208,Gobierno Autónomo Municipal de Tiahuanacu,13479705,data\raw\sigep_2026\recursos_por_rubro\2026_1208_Gobierno_Autónomo_Municipal_de_Tiahuanacu_recursos_por_rubro.pdf
2026,1209,Gobierno Autónomo Municipal de Desaguadero,13436897,data\raw\sigep_2026\recursos_por_rubro\2026_1209_Gobierno_Autónomo_Municipal_de_Desaguadero_recursos_por_rubro.pdf
2026,1210,Gobierno Autónomo Municipal de Caranavi,87897286,data\raw\sigep_2026\recursos_por_rubro\2026_1210_Gobierno_Autónomo_Municipal_de_Caranavi_recursos_por_rubro.pdf
2026,1211,Gobierno Autónomo Municipal de Sica Sica (Villa Aroma),38535569,data\raw\sigep_2026\recursos_por_rubro\2026_1211_Gobierno_Autónomo_Municipal_de_Sica_Sica_Villa_Aroma_recursos_por_rubro.pdf
2026,1212,Gobierno Autónomo Municipal de Umala,14643089,data\raw\sigep_2026\recursos_por_rubro\2026_1212_Gobierno_Autónomo_Municipal_de_Umala_recursos_por_rubro.pdf
2026,1213,Gobierno Autónomo Municipal de Ayo Ayo,11357460,data\raw\sigep_2026\recursos_por_rubro\2026_1213_Gobierno_Autónomo_Municipal_de_Ayo_Ayo_recursos_por_rubro.pdf
2026,1214,Gobierno Autónomo Municipal de Calamarca,37537262,data\raw\sigep_2026\recursos_por_rubro\2026_1214_Gobierno_Autónomo_Municipal_de_Calamarca_recursos_por_rubro.pdf
2026,1215,Gobierno Autónomo Municipal de Patacamaya,28743849,data\raw\sigep_2026\recursos_por_rubro\2026_1215_Gobierno_Autónomo_Municipal_de_Patacamaya_recursos_por_rubro.pdf
2026,1216,Gobierno Autónomo Municipal de Colquencha,12947346,data\raw\sigep_2026\recursos_por_rubro\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_recursos_por_rubro.pdf
