codigo_entidad,nombre_entidad,total_detalle,total_general_ingresos,total_diff
1262,Gobierno Autónomo Municipal de Laja,52102316,52102316,0
1263,Gobierno Autónomo Municipal de Batallas,30560704,30560704,0
1264,Gobierno Autónomo Municipal de Puerto Pérez,7948356,7948356,0
1265,Gobierno Autónomo Municipal de Coroico,27925251,27925251,0
1266,Gobierno Autónomo Municipal de Coripata,27291772,27291772,0
1267,Gobierno Autónomo Municipal de Ixiamas,23227708,23227708,0
1268,Gobierno Autónomo Municipal de San Buenaventura,10276537,10276537,0
1269,Gobierno Autónomo Municipal de General Juan José Pérez (Charazani),15766181,15766181,0
1270,Gobierno Autónomo Municipal de Curva,9161783,9161783,0
1271,Gobierno Autónomo Municipal de San Pedro de Curahuara,10385954,10385954,0
1272,Gobierno Autónomo Municipal de Papel Pampa,7269599,7269599,0
1273,Gobierno Autónomo Municipal de Chacarilla,2174255,2174255,0
1274,Gobierno Autónomo Municipal de Santiago de Machaca,11705478,11705478,0
1275,Gobierno Autónomo Municipal de Catacora,4890386,4890386,0
1276,Gobierno Autónomo Municipal de Mapiri,25040043,25040043,0
1277,Gobierno Autónomo Municipal de Teoponte,40897486,40897486,0
1278,Gobierno Autónomo Municipal de San Andrés de Machaca,7853726,7853726,0
1279,Gobierno Autónomo Municipal de Jesús de Machaca,25394213,25394213,0
1280,Gobierno Autónomo Municipal de Taraco,10836830,10836830,0
1281,Gobierno Autónomo Municipal de Huarina,10914396,10914396,0
1282,Gobierno Autónomo Municipal de Santiago de Huata,10133057,10133057,0
1283,Gobierno Autónomo Municipal de Escoma,8340439,8340439,0
1284,Gobierno Autónomo Municipal de Humanata,5501945,5501945,0
1285,Gobierno Autónomo Municipal de Alto Beni,10227654,10227654,0
1286,Gobierno Autónomo Municipal de Huatajata,6951578,6951578,0
1287,Gobierno Autónomo Municipal de Chua Cocani,7448504,7448504,0
1301,Gobierno Autónomo Municipal de Cochabamba,1632368430,1632368430,0
1302,Gobierno Autónomo Municipal de Quillacollo,315423173,315423173,0
1303,Gobierno Autónomo Municipal de Sipe Sipe,70839127,70839127,0
1304,Gobierno Autónomo Municipal de Tiquipaya,128326653,128326653,0
1305,Gobierno Autónomo Municipal de Vinto,81379151,81379151,0
1306,Gobierno Autónomo Municipal de Colcapirhua,136788496,136788496,0
1307,Gobierno Autónomo Municipal de Aiquile,25748151,25748151,0
1308,Gobierno Autónomo Municipal de Pasorapa,6595000,6595000,0
1309,Gobierno Autónomo Municipal de Omereque,8441040,8441040,0
1310,Gobierno Autónomo Municipal de Independencia,25066704,25066704,0
1311,Gobierno Autónomo Municipal de Morochata,24730065,24730065,0
1312,Gobierno Autónomo Municipal de Sacaba,330508349,330508349,0
1313,Gobierno Autónomo Municipal de Colomi,20489492,20489492,0
1314,Gobierno Autónomo Municipal de Villa Tunari,106261435,106261435,0
1315,Gobierno Autónomo Municipal de Punata,62651031,62651031,0
1316,Gobierno Autónomo Municipal de Villa Rivero,8682894,8682894,0
1317,Gobierno Autónomo Municipal de San Benito (Villa José Quintín Mendoza),25297045,25297045,0
1318,Gobierno Autónomo Municipal de Tacachi,1363498,1363498,0
1319,Gobierno Autónomo Municipal Villa Gualberto Villarroel,4771498,4771498,0
1320,Gobierno Autónomo Municipal de Tarata,11827815,11827815,0
1321,Gobierno Autónomo Municipal de Anzaldo,7446837,7446837,0
1322,Gobierno Autónomo Municipal de Arbieto,35523205,35523205,0
1323,Gobierno Autónomo Municipal de Sacabamba,4648017,4648017,0
1324,Gobierno Autónomo Municipal de Cliza,36582558,36582558,0
1325,Gobierno Autónomo Municipal de Toco,10016954,10016954,0
1326,Gobierno Autónomo Municipal de Tolata,15289728,15289728,0
1327,Gobierno Autónomo Municipal de Capinota,21527872,21527872,0
1328,Gobierno Autónomo Municipal de Santivañez,11361634,11361634,0
1329,Gobierno Autónomo Municipal de Sicaya,4373205,4373205,0
1330,Gobierno Autónomo Municipal de Tapacari,23450715,23450715,0
1331,Gobierno Autónomo Municipal de Totora,19686463,19686463,0
1332,Gobierno Autónomo Municipal de Pojo,14766564,14766564,0
1333,Gobierno Autónomo Municipal de Pocona,11603755,11603755,0
1334,Gobierno Autónomo Municipal de Chimoré,37932967,37932967,0
1335,Gobierno Autónomo Municipal de Puerto Villarroel,89805237,89805237,0
1336,Gobierno Autónomo Municipal de Arani,14051831,14051831,0
1337,Gobierno Autónomo Municipal de Vacas,9168031,9168031,0
1338,Gobierno Autónomo Municipal de Arque,13660801,13660801,0
1339,Gobierno Autónomo Municipal de Tacopaya,10749066,10749066,0
1340,Gobierno Autónomo Municipal de Bolivar,7855912,7855912,0
1341,Gobierno Autónomo Municipal de Tiraque,18867960,18867960,0
1342,Gobierno Autónomo Municipal de Mizque,26652742,26652742,0
1343,Gobierno Autónomo Municipal de Vila Vila,5177409,5177409,0
1344,Gobierno Autónomo Municipal de Alalay,3528141,3528141,0
1345,Gobierno Autónomo Municipal de Entre Rios,59456897,59456897,0
1346,Gobierno Autónomo Municipal de Cocapata,26506372,26506372,0
1347,Gobierno Autónomo Municipal de Shinahota,30585034,30585034,0
1401,Gobierno Autónomo Municipal de Oruro,577774709,577774709,0
1402,Gobierno Autónomo Municipal de Caracollo,32785074,32785074,0
1403,Gobierno Autónomo Municipal de El Choro,11860727,11860727,0
1404,Gobierno Autónomo Municipal de Challapata,47320012,47320012,0
1405,Gobierno Autónomo Municipal de Santuario de Quillacas,11289263,11289263,0
1406,Gobierno Autónomo Municipal de Huanuni,30838958,30838958,0
1407,Gobierno Autónomo Municipal de Machacamarca,8232802,8232802,0
1408,Gobierno Autónomo Municipal de Poopó (Villa Poopó),15738980,15738980,0
1409,Gobierno Autónomo Municipal de Pazña,7223015,7223015,0
1410,Gobierno Autónomo Municipal de Antequera,10684771,10684771,0
1411,Gobierno Autónomo Municipal de Eucaliptus,10377993,10377993,0
1412,Gobierno Autónomo Municipal de Santiago de Huari,17800567,17800567,0
1413,Gobierno Autónomo Municipal de Totora,9667747,9667747,0
1414,Gobierno Autónomo Municipal de Corque,17924466,17924466,0
1415,Gobierno Autónomo Municipal de Choquecota,3413990,3413990,0
1416,Gobierno Autónomo Municipal de Curahuara de Carangas,7523030,7523030,0
1417,Gobierno Autónomo Municipal de Turco,9552263,9552263,0
1418,Gobierno Autónomo Municipal de Huachacalla,4567457,4567457,0
1419,Gobierno Autónomo Municipal de Escara,6934522,6934522,0
1420,Gobierno Autónomo Municipal de Cruz de Machacamarca,3013700,3013700,0
1421,Gobierno Autónomo Municipal de Yunguyo de Litoral,1303623,1303623,0
1422,Gobierno Autónomo Municipal de Esmeralda,4910318,4910318,0
1423,Gobierno Autónomo Municipal de Toledo,13414809,13414809,0
1424,Gobierno Autónomo Municipal de Andamarca (Santiago de Andamarca),7118340,7118340,0
1425,Gobierno Autónomo Municipal de Belén de Andamarca,3363289,3363289,0
1427,Gobierno Autónomo Municipal de Pampa Aullagas,5151173,5151173,0
1428,Gobierno Autónomo Municipal de La Rivera,2918255,2918255,0
1429,Gobierno Autónomo Municipal de Todos Santos,1632674,1632674,0
1430,Gobierno Autónomo Municipal de Carangas,5366864,5366864,0
1431,Gobierno Autónomo Municipal de Sabaya,17685181,17685181,0
1432,Gobierno Autónomo Municipal de Coipasa,3541469,3541469,0
1434,Gobierno Autónomo Municipal de Huayllamarca (Santiago de Huayllamarca),11517896,11517896,0
1435,Gobierno Autónomo Municipal de Soracachi,27060543,27060543,0
1501,Gobierno Autónomo Municipal de Potosí,393195227,393195227,0
1502,Gobierno Autónomo Municipal de Tinguipaya,39168376,39168376,0
1503,Gobierno Autónomo Municipal de Yocalla,13179641,13179641,0
1504,Gobierno Autónomo Municipal de Urmiri,4488097,4488097,0
1505,Gobierno Autónomo Municipal de Uncía,42020650,42020650,0
1506,Gobierno Autónomo Municipal de Chayanta,18383004,18383004,0
1507,Gobierno Autónomo Municipal de Llallagua,60503562,60503562,0
1508,Gobierno Autónomo Municipal de Betanzos,33608920,33608920,0
1509,Gobierno Autónomo Municipal de Chaqui,9515621,9515621,0
1510,Gobierno Autónomo Municipal de Tacobamba,16412622,16412622,0
1511,Gobierno Autónomo Municipal de Colquechaca,29450067,29450067,0
1512,Gobierno Autónomo Municipal de Ravelo,18645113,18645113,0
1513,Gobierno Autónomo Municipal de Pocoata,37323341,37323341,0
1514,Gobierno Autónomo Municipal de Ocurí,14867447,14867447,0
1515,Gobierno Autónomo Municipal de San Pedro de Buena Vista,48207623,48207623,0
1516,Gobierno Autónomo Municipal de Toro Toro,14595571,14595571,0
1517,Gobierno Autónomo Municipal de Cotagaita,41484146,41484146,0
1518,Gobierno Autónomo Municipal de Vitichi,10592641,10592641,0
