gestion,codigo_entidad,nombre_entidad,monto_01_tgn,monto_02_tgn_p,monto_03_tgn_ct,monto_04_recon,monto_05_tgn_fcom,monto_06_tgn_pg_n,monto_07_tgn_iehd,monto_08_tgn_idh,monto_09_tgn_ipj,monto_10_tgn_ppet,monto_11_ot_gob,monto_12_total_tgn,monto_13_otros_ingresos,monto_14_recursos_especificos,monto_15_donaciones_internas,monto_16_credito_externo,monto_17_donaciones_externas,total,file
2026,1119,Gobierno Autónomo Municipal de Camargo,45713,0,12231255,0,0,0,3492078,0,0,0,15769046,0,2356179,0,0,0,0,18125225,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1119_Gobierno_Autónomo_Municipal_de_Camargo_objeto_gasto_fuente_total_gastos.pdf
2026,1120,Gobierno Autónomo Municipal de San Lucas,15028901,0,22019917,0,0,0,6286783,0,0,0,43335601,0,4406577,0,921827,0,0,48664005,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1120_Gobierno_Autónomo_Municipal_de_San_Lucas_objeto_gasto_fuente_total_gastos.pdf
2026,1121,Gobierno Autónomo Municipal de Incahuasi,2485222,0,13560631,0,0,0,3871620,0,0,0,19917473,0,215920,0,0,0,0,20133393,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1121_Gobierno_Autónomo_Municipal_de_Incahuasi_objeto_gasto_fuente_total_gastos.pdf
2026,1122,Gobierno Autónomo Municipal de Villa Serrano,2347076,0,7449992,0,0,0,2127006,0,0,0,11924074,0,1000109,0,0,0,0,12924183,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1122_Gobierno_Autónomo_Municipal_de_Villa_Serrano_objeto_gasto_fuente_total_gastos.pdf
2026,1123,Gobierno Autónomo Municipal de Camataqui (Villa Abecia),12563,0,4465339,0,0,0,1274874,0,0,0,5752776,0,330000,0,0,0,0,6082776,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1123_Gobierno_Autónomo_Municipal_de_Camataqui_Villa_Abecia_objeto_gasto_fuente_total_gastos.pdf
2026,1124,Gobierno Autónomo Municipal de Culpina,4132799,0,12360950,0,0,0,3529106,0,0,0,20022855,0,1885106,0,0,0,0,21907961,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1124_Gobierno_Autónomo_Municipal_de_Culpina_objeto_gasto_fuente_total_gastos.pdf
2026,1125,Gobierno Autónomo Municipal de Las Carreras,8119042,0,4162717,0,0,0,1188474,0,0,0,13470233,0,545116,0,0,0,0,14015349,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1125_Gobierno_Autónomo_Municipal_de_Las_Carreras_objeto_gasto_fuente_total_gastos.pdf
2026,1126,Gobierno Autónomo Municipal de Villa Vaca Guzmán,1343250,0,10970884,0,0,0,3132236,0,0,0,15446370,0,921865,0,0,0,0,16368235,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1126_Gobierno_Autónomo_Municipal_de_Villa_Vaca_Guzmán_objeto_gasto_fuente_total_gastos.pdf
2026,1128,Gobierno Autónomo Municipal de Machareti,748193,0,6023344,0,0,0,1719692,0,0,0,8491229,0,778177,0,0,0,0,9269406,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1128_Gobierno_Autónomo_Municipal_de_Machareti_objeto_gasto_fuente_total_gastos.pdf
2026,1129,Gobierno Autónomo Municipal de Villa Charcas,37800,0,12176128,0,0,0,3305035,0,0,0,15518963,0,1600000,0,0,0,0,17118963,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1129_Gobierno_Autónomo_Municipal_de_Villa_Charcas_objeto_gasto_fuente_total_gastos.pdf
2026,1201,Gobierno Autónomo Municipal de La Paz,1544620,0,643919065,0,0,0,68584714,0,0,0,714048399,0,983935706,9505508,16309525,379852,0,1724178990,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1201_Gobierno_Autónomo_Municipal_de_La_Paz_objeto_gasto_fuente_total_gastos.pdf
2026,1202,Gobierno Autónomo Municipal de Palca,3146385,0,17991884,0,0,0,1875037,0,0,0,23013306,0,13812043,0,1776593,0,0,38601942,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1202_Gobierno_Autónomo_Municipal_de_Palca_objeto_gasto_fuente_total_gastos.pdf
2026,1203,Gobierno Autónomo Municipal de Mecapaca,11430,0,17005868,0,0,0,1772278,0,0,0,18789576,0,8442191,0,0,0,0,27231767,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1203_Gobierno_Autónomo_Municipal_de_Mecapaca_objeto_gasto_fuente_total_gastos.pdf
2026,1204,Gobierno Autónomo Municipal Ecológico Productivo de Achocalla,6182122,0,38299991,0,0,0,3991459,0,0,0,48473572,0,62000000,0,0,0,0,110473572,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1204_Gobierno_Autónomo_Municipal_Ecológico_Productivo_de_Achocalla_objeto_gasto_fuente_total_gastos.pdf
2026,1205,Gobierno Autónomo Municipal de El Alto de La Paz,57090357,0,875554634,0,0,0,86201057,0,0,0,1018846048,0,471726993,0,0,0,0,1490573041,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1205_Gobierno_Autónomo_Municipal_de_El_Alto_de_La_Paz_objeto_gasto_fuente_total_gastos.pdf
2026,1206,Gobierno Autónomo Municipal de Viacha,5769461,0,104717499,0,0,0,9829884,0,0,0,120316844,0,65345028,0,0,0,0,185661872,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1206_Gobierno_Autónomo_Municipal_de_Viacha_objeto_gasto_fuente_total_gastos.pdf
2026,1207,Gobierno Autónomo Municipal de Guaqui,19350,0,7149032,0,0,0,745042,0,0,0,7913424,0,880000,0,0,0,0,8793424,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1207_Gobierno_Autónomo_Municipal_de_Guaqui_objeto_gasto_fuente_total_gastos.pdf
2026,1208,Gobierno Autónomo Municipal de Tiahuanacu,448007,0,11280157,0,0,0,1175570,0,0,0,12903734,0,575971,0,0,0,0,13479705,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1208_Gobierno_Autónomo_Municipal_de_Tiahuanacu_objeto_gasto_fuente_total_gastos.pdf
2026,1209,Gobierno Autónomo Municipal de Desaguadero,11663,0,6540463,0,0,0,681618,0,0,0,7233744,0,6203153,0,0,0,0,13436897,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1209_Gobierno_Autónomo_Municipal_de_Desaguadero_objeto_gasto_fuente_total_gastos.pdf
2026,1210,Gobierno Autónomo Municipal de Caranavi,24755913,0,49079657,0,0,0,5114870,0,0,0,78950440,0,8946846,0,0,0,0,87897286,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1210_Gobierno_Autónomo_Municipal_de_Caranavi_objeto_gasto_fuente_total_gastos.pdf
2026,1211,Gobierno Autónomo Municipal de Sica Sica (Villa Aroma),5127962,0,27889457,0,0,0,2906519,0,0,0,35923938,0,2611631,0,0,0,0,38535569,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1211_Gobierno_Autónomo_Municipal_de_Sica_Sica_Villa_Aroma_objeto_gasto_fuente_total_gastos.pdf
2026,1212,Gobierno Autónomo Municipal de Umala,5961610,0,7499874,0,0,0,781605,0,0,0,14243089,0,400000,0,0,0,0,14643089,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1212_Gobierno_Autónomo_Municipal_de_Umala_objeto_gasto_fuente_total_gastos.pdf
2026,1213,Gobierno Autónomo Municipal de Ayo Ayo,23802,0,9353851,0,0,0,974818,0,0,0,10352471,0,1004989,0,0,0,0,11357460,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1213_Gobierno_Autónomo_Municipal_de_Ayo_Ayo_objeto_gasto_fuente_total_gastos.pdf
2026,1214,Gobierno Autónomo Municipal de Calamarca,13510799,0,12702647,0,0,0,1323816,0,0,0,27537262,0,10000000,0,0,0,0,37537262,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1214_Gobierno_Autónomo_Municipal_de_Calamarca_objeto_gasto_fuente_total_gastos.pdf
2026,1215,Gobierno Autónomo Municipal de Patacamaya,748309,0,20825225,0,0,0,2170315,0,0,0,23743849,0,5000000,0,0,0,0,28743849,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1215_Gobierno_Autónomo_Municipal_de_Patacamaya_objeto_gasto_fuente_total_gastos.pdf
2026,1216,Gobierno Autónomo Municipal de Colquencha,1238448,0,10262549,0,0,0,1069519,0,0,0,12570516,0,376830,0,0,0,0,12947346,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf
2026,1217,Gobierno Autónomo Municipal de Collana,3417482,0,4593372,0,0,0,478702,0,0,0,8489556,0,343976,0,0,0,0,8833532,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf
2026,1218,Gobierno Autónomo Municipal de Inquisivi,2856682,0,15600005,0,0,0,1625765,0,0,0,20082452,0,2934238,0,269476,0,0,23286166,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf
2026,1219,Gobierno Autónomo Municipal de Quime,14813,0,9298148,0,0,0,969013,0,0,0,10281974,0,1957954,0,0,0,0,12239928,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1219_Gobierno_Autónomo_Municipal_de_Quime_objeto_gasto_fuente_total_gastos.pdf
2026,1220,Gobierno Autónomo Municipal de Cajuata,1748948,0,12873912,0,0,0,1341664,0,0,0,15964524,0,826375,0,0,0,0,16790899,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1220_Gobierno_Autónomo_Municipal_de_Cajuata_objeto_gasto_fuente_total_gastos.pdf
2026,1221,Gobierno Autónomo Municipal de Colquiri,5225,0,19500838,0,0,0,2032293,0,0,0,21538356,0,8292402,0,120338,0,0,29951096,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1221_Gobierno_Autónomo_Municipal_de_Colquiri_objeto_gasto_fuente_total_gastos.pdf
2026,1222,Gobierno Autónomo Municipal de Ichoca,198839,0,7928035,0,0,0,826226,0,0,0,8953100,0,521180,0,11870,0,0,9486150,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1222_Gobierno_Autónomo_Municipal_de_Ichoca_objeto_gasto_fuente_total_gastos.pdf
2026,1223,Gobierno Autónomo Municipal de Villa Libertad Licoma,11175,0,6689378,0,0,0,675034,0,0,0,7375587,0,100000,0,0,0,0,7475587,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1223_Gobierno_Autónomo_Municipal_de_Villa_Libertad_Licoma_objeto_gasto_fuente_total_gastos.pdf
2026,1224,Gobierno Autónomo Municipal de Achacachi,36902,0,39128045,0,0,0,4077756,0,0,0,43242703,0,1689700,0,135564,0,0,45067967,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1224_Gobierno_Autónomo_Municipal_de_Achacachi_objeto_gasto_fuente_total_gastos.pdf
2026,1225,Gobierno Autónomo Municipal de Ancoraimes,5267775,0,14050314,0,0,0,1464263,0,0,0,20782352,0,1682533,0,0,0,0,22464885,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1225_Gobierno_Autónomo_Municipal_de_Ancoraimes_objeto_gasto_fuente_total_gastos.pdf
2026,1226,Gobierno Autónomo Municipal de Sorata,3131183,0,25958013,0,0,0,3101016,0,0,0,32190212,0,6275517,0,0,0,0,38465729,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1226_Gobierno_Autónomo_Municipal_de_Sorata_objeto_gasto_fuente_total_gastos.pdf
2026,1227,Gobierno Autónomo Municipal de Guanay,104297,0,13612177,0,0,0,1418602,0,0,0,15135076,0,5475015,0,0,0,0,20610091,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1227_Gobierno_Autónomo_Municipal_de_Guanay_objeto_gasto_fuente_total_gastos.pdf
2026,1228,Gobierno Autónomo Municipal de Tacacoma,19313,0,8068538,0,0,0,840869,0,0,0,8928720,0,1694394,0,9202,0,0,10632316,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1228_Gobierno_Autónomo_Municipal_de_Tacacoma_objeto_gasto_fuente_total_gastos.pdf
2026,1229,Gobierno Autónomo Municipal de Tipuani,1616078,0,6351739,0,0,0,661951,0,0,0,8629768,0,4744710,0,0,0,0,13374478,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1229_Gobierno_Autónomo_Municipal_de_Tipuani_objeto_gasto_fuente_total_gastos.pdf
2026,1230,Gobierno Autónomo Municipal de Quiabaya,51000,0,3509253,0,0,0,365719,0,0,0,3925972,0,355455,0,0,0,0,4281427,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1230_Gobierno_Autónomo_Municipal_de_Quiabaya_objeto_gasto_fuente_total_gastos.pdf
2026,1231,Gobierno Autónomo Municipal de Combaya,32750,0,2911491,0,0,0,303423,0,0,0,3247664,0,231325,0,0,0,0,3478989,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1231_Gobierno_Autónomo_Municipal_de_Combaya_objeto_gasto_fuente_total_gastos.pdf
2026,1232,Gobierno Autónomo Municipal de Copacabana,444724,0,15496744,0,0,0,1510270,0,0,0,17451738,0,1800104,0,0,0,0,19251842,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1232_Gobierno_Autónomo_Municipal_de_Copacabana_objeto_gasto_fuente_total_gastos.pdf
2026,1233,Gobierno Autónomo Municipal de San Pedro de Tiquina,9075,0,7563059,0,0,0,788189,0,0,0,8360323,0,200000,0,0,0,0,8560323,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1233_Gobierno_Autónomo_Municipal_de_San_Pedro_de_Tiquina_objeto_gasto_fuente_total_gastos.pdf
2026,1234,Gobierno Autónomo Municipal de Tito Yupanqui,4500,0,6245323,0,0,0,650861,0,0,0,6900684,0,50000,0,0,0,0,6950684,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1234_Gobierno_Autónomo_Municipal_de_Tito_Yupanqui_objeto_gasto_fuente_total_gastos.pdf
2026,1235,Gobierno Autónomo Municipal de Chuma,10450,0,14691307,0,0,0,1531065,0,0,0,16232822,0,204697,0,0,0,0,16437519,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1235_Gobierno_Autónomo_Municipal_de_Chuma_objeto_gasto_fuente_total_gastos.pdf
2026,1236,Gobierno Autónomo Municipal de Ayata,1115671,0,7446666,0,0,0,776060,0,0,0,9338397,0,171596,0,0,0,0,9509993,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1236_Gobierno_Autónomo_Municipal_de_Ayata_objeto_gasto_fuente_total_gastos.pdf
2026,1237,Gobierno Autónomo Municipal de Aucapata,14063,0,5586870,0,0,0,582239,0,0,0,6183172,0,260488,0,0,0,0,6443660,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1237_Gobierno_Autónomo_Municipal_de_Aucapata_objeto_gasto_fuente_total_gastos.pdf
2026,1238,Gobierno Autónomo Municipal de Corocoro,2218904,0,11136328,0,0,0,1160581,0,0,0,14515813,0,968909,0,0,0,0,15484722,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1238_Gobierno_Autónomo_Municipal_de_Corocoro_objeto_gasto_fuente_total_gastos.pdf
2026,1239,Gobierno Autónomo Municipal de Caquiaviri,4572,0,12856453,0,0,0,1339844,0,0,0,14200869,0,32870,0,0,0,0,14233739,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1239_Gobierno_Autónomo_Municipal_de_Caquiaviri_objeto_gasto_fuente_total_gastos.pdf
2026,1240,Gobierno Autónomo Municipal de Calacoto,3150,0,10023943,0,0,0,1044652,0,0,0,11071745,0,185468,0,0,0,0,11257213,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1240_Gobierno_Autónomo_Municipal_de_Calacoto_objeto_gasto_fuente_total_gastos.pdf
2026,1241,Gobierno Autónomo Municipal de Comanche,493946,0,4324005,0,0,0,450629,0,0,0,5268580,0,81195,0,0,0,0,5349775,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1241_Gobierno_Autónomo_Municipal_de_Comanche_objeto_gasto_fuente_total_gastos.pdf
2026,1242,Gobierno Autónomo Municipal de Charaña,1014661,0,3428609,0,0,0,357315,0,0,0,4800585,0,300000,0,0,0,0,5100585,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1242_Gobierno_Autónomo_Municipal_de_Charaña_objeto_gasto_fuente_total_gastos.pdf
2026,1243,Gobierno Autónomo Municipal de Waldo Ballivián,2700,0,5451355,0,0,0,568117,0,0,0,6022172,0,341769,0,0,0,0,6363941,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1243_Gobierno_Autónomo_Municipal_de_Waldo_Ballivián_objeto_gasto_fuente_total_gastos.pdf
2026,1244,Gobierno Autónomo Municipal de Nazacara de Pacajes,9000,0,3317204,0,0,0,345705,0,0,0,3671909,0,40000,0,0,0,0,3711909,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1244_Gobierno_Autónomo_Municipal_de_Nazacara_de_Pacajes_objeto_gasto_fuente_total_gastos.pdf
2026,1245,Gobierno Autónomo Municipal de Santiago de Callapa,337022,0,6651938,0,0,0,710110,0,0,0,7699070,0,250884,0,0,0,0,7949954,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1245_Gobierno_Autónomo_Municipal_de_Santiago_de_Callapa_objeto_gasto_fuente_total_gastos.pdf
2026,1246,Gobierno Autónomo Municipal de Puerto Acosta,3697053,0,11589430,0,0,0,1207801,0,0,0,16494284,0,1400480,0,0,0,0,17894764,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1246_Gobierno_Autónomo_Municipal_de_Puerto_Acosta_objeto_gasto_fuente_total_gastos.pdf
