codigo_entidad,nombre_entidad,grupo_1_detalle,grupo_2_detalle,grupo_3_detalle,grupo_4_detalle,grupo_5_detalle,grupo_6_detalle,grupo_7_detalle,grupo_8_detalle,grupo_9_detalle,total_detalle,grupo_1_pdf,grupo_2_pdf,grupo_3_pdf,grupo_4_pdf,grupo_5_pdf,grupo_6_pdf,grupo_7_pdf,grupo_8_pdf,grupo_9_pdf,total_pdf,grupo_1_diff,grupo_2_diff,grupo_3_diff,grupo_4_diff,grupo_5_diff,grupo_6_diff,grupo_7_diff,grupo_8_diff,grupo_9_diff,total_diff
1126,Gobierno Autónomo Municipal de Villa Vaca Guzmán,1440021,554898,1255217,1296937,2796673,0,1298569,0,7725920,16368235,1440021,554898,1255217,1296937,2796673,0,1298569,0,7725920,16368235,0,0,0,0,0,0,0,0,0,0
1128,Gobierno Autónomo Municipal de Machareti,1276353,3136556,2072096,713504,0,1115639,712338,1920,241000,9269406,1276353,3136556,2072096,713504,0,1115639,712338,1920,241000,9269406,0,0,0,0,0,0,0,0,0,0
1129,Gobierno Autónomo Municipal de Villa Charcas,2532802,5702616,5955425,107400,0,917372,1296426,4000,602922,17118963,2532802,5702616,5955425,107400,0,917372,1296426,4000,602922,17118963,0,0,0,0,0,0,0,0,0,0
1201,Gobierno Autónomo Municipal de La Paz,555015291,412892079,182761340,165415650,0,341291247,64526379,1140857,1136147,1724178990,555015291,412892079,182761340,165415650,0,341291247,64526379,1140857,1136147,1724178990,0,0,0,0,0,0,0,0,0,0
1202,Gobierno Autónomo Municipal de Palca,6305675,6210852,9239693,5948118,0,2194408,630980,0,8072216,38601942,6305675,6210852,9239693,5948118,0,2194408,630980,0,8072216,38601942,0,0,0,0,0,0,0,0,0,0
1203,Gobierno Autónomo Municipal de Mecapaca,3705673,2642658,26992,0,0,0,567905,0,20288539,27231767,3705673,2642658,26992,0,0,0,567905,0,20288539,27231767,0,0,0,0,0,0,0,0,0,0
1204,Gobierno Autónomo Municipal Ecológico Productivo de Achocalla,0,6049521,60791,15200591,0,0,1117876,0,88044793,110473572,0,6049521,60791,15200591,0,0,1117876,0,88044793,110473572,0,0,0,0,0,0,0,0,0,0
1205,Gobierno Autónomo Municipal de El Alto de La Paz,282091793,353214219,220206372,361285480,2000000,149627144,38552614,1561020,82034399,1490573041,282091793,353214219,220206372,361285480,2000000,149627144,38552614,1561020,82034399,1490573041,0,0,0,0,0,0,0,0,0,0
1206,Gobierno Autónomo Municipal de Viacha,29022969,45338166,41253154,25604858,20888910,20251772,3296043,2000,4000,185661872,29022969,45338166,41253154,25604858,20888910,20251772,3296043,2000,4000,185661872,0,0,0,0,0,0,0,0,0,0
1207,Gobierno Autónomo Municipal de Guaqui,1445560,881698,4208066,60000,0,70000,279984,0,1848116,8793424,1445560,881698,4208066,60000,0,70000,279984,0,1848116,8793424,0,0,0,0,0,0,0,0,0,0
1208,Gobierno Autónomo Municipal de Tiahuanacu,1858723,2672362,7421916,718057,0,0,371232,0,437415,13479705,1858723,2672362,7421916,718057,0,0,371232,0,437415,13479705,0,0,0,0,0,0,0,0,0,0
1209,Gobierno Autónomo Municipal de Desaguadero,2139959,5949071,2006030,2357772,0,50000,215882,0,718183,13436897,2139959,5949071,2006030,2357772,0,50000,215882,0,718183,13436897,0,0,0,0,0,0,0,0,0,0
1210,Gobierno Autónomo Municipal de Caranavi,8704222,29361313,7667043,26150813,0,2115846,1945537,0,11952512,87897286,8704222,29361313,7667043,26150813,0,2115846,1945537,0,11952512,87897286,0,0,0,0,0,0,0,0,0,0
1211,Gobierno Autónomo Municipal de Sica Sica (Villa Aroma),3812741,4333933,44267,5114083,0,0,843511,0,24387034,38535569,3812741,4333933,44267,5114083,0,0,843511,0,24387034,38535569,0,0,0,0,0,0,0,0,0,0
