gestion,file,codigo_entidad,nombre_entidad,grupo_1,grupo_2,grupo_3,grupo_4,grupo_5,grupo_6,grupo_7,grupo_8,grupo_9,total
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1730_Gobierno_Autónomo_Municipal_de_Samaipata_categoria_programatica_grupo_gasto_total_gastos.pdf,1730,Gobierno Autónomo Municipal de Samaipata,2800285,6131055,6741551,1449236,0,925260,487424,0,1062272,19597083
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1731_Gobierno_Autónomo_Municipal_de_Pampa_Grande_categoria_programatica_grupo_gasto_total_gastos.pdf,1731,Gobierno Autónomo Municipal de Pampa Grande,1754426,4463101,2950272,856398,0,338535,339095,0,318257,11020084
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1732_Gobierno_Autónomo_Municipal_de_Mairana_categoria_programatica_grupo_gasto_total_gastos.pdf,1732,Gobierno Autónomo Municipal de Mairana,1849578,5859498,4881353,1761510,0,633410,458903,0,1697,15445949
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1733_Gobierno_Autónomo_Municipal_de_Quirusillas_categoria_programatica_grupo_gasto_total_gastos.pdf,1733,Gobierno Autónomo Municipal de Quirusillas,524799,1387473,898460,20000,0,167402,98280,0,0,3096414
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1734_Gobierno_Autónomo_Municipal_de_Montero_categoria_programatica_grupo_gasto_total_gastos.pdf,1734,Gobierno Autónomo Municipal de Montero,46358256,73560717,44524558,33793278,0,10704032,5538372,0,2410644,216889857
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1735_Gobierno_Autónomo_Municipal_de_General_Agustín_Saavedra_categoria_programatica_grupo_gasto_total_gastos.pdf,1735,Gobierno Autónomo Municipal de General Agustín Saavedra,3726364,10076071,5576477,8346436,0,442863,721634,0,34570,28924415
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1736_Gobierno_Autónomo_Municipal_de_Mineros_categoria_programatica_grupo_gasto_total_gastos.pdf,1736,Gobierno Autónomo Municipal de Mineros,5458026,11700112,7248971,7343148,864,317863,987479,0,917837,33974300
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1737_Gobierno_Autónomo_Municipal_de_Concepción_categoria_programatica_grupo_gasto_total_gastos.pdf,1737,Gobierno Autónomo Municipal de Concepción,3463758,18214503,7186100,5892810,682371,593475,944145,0,3301829,40278991
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1738_Gobierno_Autónomo_Municipal_de_San_Javier_categoria_programatica_grupo_gasto_total_gastos.pdf,1738,Gobierno Autónomo Municipal de San Javier,2824066,8676535,4220812,1891013,0,1279457,521748,0,0,19413631
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1739_Gobierno_Autónomo_Municipal_de_San_Julián_categoria_programatica_grupo_gasto_total_gastos.pdf,1739,Gobierno Autónomo Municipal de San Julián,7588686,26584627,12913196,20653197,0,3587901,34101318,500,463647,105893072
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1740_Gobierno_Autónomo_Municipal_de_San_Matías_categoria_programatica_grupo_gasto_total_gastos.pdf,1740,Gobierno Autónomo Municipal de San Matías,2173286,116139,1886256,2086,0,0,515270,0,10707023,15400060
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1741_Gobierno_Autónomo_Municipal_de_Comarapa_categoria_programatica_grupo_gasto_total_gastos.pdf,1741,Gobierno Autónomo Municipal de Comarapa,2983576,7780128,4313987,4834660,0,2654293,781847,0,802897,24151388
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1742_Gobierno_Autónomo_Municipal_de_Saipina_categoria_programatica_grupo_gasto_total_gastos.pdf,1742,Gobierno Autónomo Municipal de Saipina,2294918,2511790,1929316,64330,0,0,525239,4500,113656,7443749
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1743_Gobierno_Autónomo_Municipal_de_Puerto_Suárez_categoria_programatica_grupo_gasto_total_gastos.pdf,1743,Gobierno Autónomo Municipal de Puerto Suárez,5125384,5000,2296838,0,0,0,659509,0,17110274,25197005
2026,data\raw\sigep_2026\categoria_programatica_grupo_gasto_total_gastos\2026_1744_Gobierno_Autónomo_Municipal_de_Puerto_Quijarro_categoria_programatica_grupo_gasto_total_gastos.pdf,1744,Gobierno Autónomo Municipal de Puerto Quijarro,5247665,8076366,7709103,19858302,0,500000,701685,0,3604464,45697585
