gestion,codigo_entidad,nombre_entidad,objeto_gasto,objeto_padre,nivel_objeto,descripcion,entidad_transferencia,file,fuente_columna,monto
2026,1215,Gobierno Autónomo Municipal de Patacamaya,6.1.1,6.1,3,Amortización de la Deuda Pública Interna a Corto Plazo,0862,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1215_Gobierno_Autónomo_Municipal_de_Patacamaya_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,600789
2026,1215,Gobierno Autónomo Municipal de Patacamaya,6.1.2,6.1,3,Intereses de la Deuda Pública Interna a Corto Plazo,0862,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1215_Gobierno_Autónomo_Municipal_de_Patacamaya_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,290349
2026,1215,Gobierno Autónomo Municipal de Patacamaya,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1215_Gobierno_Autónomo_Municipal_de_Patacamaya_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,83301
2026,1215,Gobierno Autónomo Municipal de Patacamaya,9.9.1,9.9,3,Provisiones para Gastos de Capital,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1215_Gobierno_Autónomo_Municipal_de_Patacamaya_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,2450479
2026,1216,Gobierno Autónomo Municipal de Colquencha,1.1.4,1.1,3,Aguinaldos,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,30542
2026,1216,Gobierno Autónomo Municipal de Colquencha,1.1.6,1.1,3,Asignaciones Familiares,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,101808
2026,1216,Gobierno Autónomo Municipal de Colquencha,1.1.7,1.1,3,Sueldos,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,1314470
2026,1216,Gobierno Autónomo Municipal de Colquencha,1.3.1.10,1.3.1,4,Régimen de Corto Plazo (Salud),0418,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,131447
2026,1216,Gobierno Autónomo Municipal de Colquencha,1.3.1.20,1.3.1,4,PRIMA DE RIESGO PROFESIONAL RÉGIMEN DE LARGO PLAZO,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,22477
2026,1216,Gobierno Autónomo Municipal de Colquencha,1.3.1.31,1.3.1,4,Aporte Patronal Solidario 3.5%,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,46007
2026,1216,Gobierno Autónomo Municipal de Colquencha,1.3.2,1.3,3,Aporte Patronal para Vivienda,0342,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,26289
2026,1216,Gobierno Autónomo Municipal de Colquencha,1.5.4,1.5,3,Otras Previsiones,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,50000
2026,1216,Gobierno Autónomo Municipal de Colquencha,2.1.2,2.1,3,Energía Eléctrica,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,34255
2026,1216,Gobierno Autónomo Municipal de Colquencha,2.1.4,2.1,3,TELEFONÍA,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,41042
2026,1216,Gobierno Autónomo Municipal de Colquencha,2.1.6,2.1,3,INTERNET,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,10000
2026,1216,Gobierno Autónomo Municipal de Colquencha,2.5.2.10,2.5.2,4,Consultorías por Producto,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,48000
2026,1216,Gobierno Autónomo Municipal de Colquencha,2.5.2.20,2.5.2,4,CONSULTORES INDIVIDUALES DE LÍNEA,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,1470891
2026,1216,Gobierno Autónomo Municipal de Colquencha,2.5.9,2.5,3,Servicios Manuales,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,10000
2026,1216,Gobierno Autónomo Municipal de Colquencha,2.6.9.90,2.6.9,4,Otros,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,3852340
2026,1216,Gobierno Autónomo Municipal de Colquencha,3.9.9.90,3.9.9,4,Otros Materiales y Suministros,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,25000
2026,1216,Gobierno Autónomo Municipal de Colquencha,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,41050
2026,1216,Gobierno Autónomo Municipal de Colquencha,9.9.1,9.9,3,Provisiones para Gastos de Capital,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1216_Gobierno_Autónomo_Municipal_de_Colquencha_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,3006931
2026,1217,Gobierno Autónomo Municipal de Collana,1.1.4,1.1,3,Aguinaldos,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,54912
2026,1217,Gobierno Autónomo Municipal de Collana,1.1.6,1.1,3,Asignaciones Familiares,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,30000
2026,1217,Gobierno Autónomo Municipal de Collana,1.1.7,1.1,3,Sueldos,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,658944
2026,1217,Gobierno Autónomo Municipal de Collana,1.3.1.10,1.3.1,4,Régimen de Corto Plazo (Salud),0423,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,65894
2026,1217,Gobierno Autónomo Municipal de Collana,1.3.1.20,1.3.1,4,PRIMA DE RIESGO PROFESIONAL RÉGIMEN DE LARGO PLAZO,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,11267
2026,1217,Gobierno Autónomo Municipal de Collana,1.3.1.31,1.3.1,4,Aporte Patronal Solidario 3.5%,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,23063
2026,1217,Gobierno Autónomo Municipal de Collana,1.3.2,1.3,3,Aporte Patronal para Vivienda,0342,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,13178
2026,1217,Gobierno Autónomo Municipal de Collana,2.1.2,2.1,3,Energía Eléctrica,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,46000
2026,1217,Gobierno Autónomo Municipal de Collana,2.1.4,2.1,3,TELEFONÍA,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,12400
2026,1217,Gobierno Autónomo Municipal de Collana,2.1.6,2.1,3,INTERNET,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,12200
2026,1217,Gobierno Autónomo Municipal de Collana,2.2.1.10,2.2.1,4,Pasajes al Interior del País,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,10000
2026,1217,Gobierno Autónomo Municipal de Collana,2.2.2.10,2.2.2,4,Viáticos por Viajes al Interior del País,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,20000
2026,1217,Gobierno Autónomo Municipal de Collana,2.2.3,2.2,3,Fletes y Almacenamiento,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,109000
2026,1217,Gobierno Autónomo Municipal de Collana,2.2.5,2.2,3,Seguros,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,7000
2026,1217,Gobierno Autónomo Municipal de Collana,2.2.6,2.2,3,Transporte de Personal,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,2000
2026,1217,Gobierno Autónomo Municipal de Collana,2.4.1.10,2.4.1,4,Mantenimiento y Reparación de Inmuebles,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,1000
2026,1217,Gobierno Autónomo Municipal de Collana,2.4.1.20,2.4.1,4,"M Y A E N Q T U E IP N O IM S IENTO Y REPARACIÓN DE VEHÍCULOS, MAQUINARIA",0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,99000
2026,1217,Gobierno Autónomo Municipal de Collana,2.5.1.20,2.5.1,4,GASTOS ESPECIALIZADOS POR ATENCIÓN MÉDICA Y OTROS,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,30000
2026,1217,Gobierno Autónomo Municipal de Collana,2.5.2.10,2.5.2,4,Consultorías por Producto,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,10000
2026,1217,Gobierno Autónomo Municipal de Collana,2.5.2.20,2.5.2,4,CONSULTORES INDIVIDUALES DE LÍNEA,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,1024080
2026,1217,Gobierno Autónomo Municipal de Collana,2.5.2.30,2.5.2,4,AUDITORÍAS EXTERNAS,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,150000
2026,1217,Gobierno Autónomo Municipal de Collana,2.5.3,2.5,3,Comisiones y Gastos Bancarios,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,10000
2026,1217,Gobierno Autónomo Municipal de Collana,2.5.5,2.5,3,Publicidad,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,10000
2026,1217,Gobierno Autónomo Municipal de Collana,2.5.6,2.5,3,"Servicios de Imprenta, Fotocopiado y Fotográficos",0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,26700
2026,1217,Gobierno Autónomo Municipal de Collana,2.5.9,2.5,3,Servicios Manuales,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,80000
2026,1217,Gobierno Autónomo Municipal de Collana,2.6.9.30,2.6.9,4,Pago por Trabajos Dirigidos y Pasantías,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,8400
2026,1217,Gobierno Autónomo Municipal de Collana,2.6.9.90,2.6.9,4,Otros,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,450311
2026,1217,Gobierno Autónomo Municipal de Collana,3.1.1.10,3.1.1,4,EVENTUAL Y CONSULTORES INDIVIDUALES DE LÍNEA DE LAS,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,16039
2026,1217,Gobierno Autónomo Municipal de Collana,3.1.1.20,3.1.1,4,Gastos por Alimentación y Otros Similares,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,117400
2026,1217,Gobierno Autónomo Municipal de Collana,3.1.1.30,3.1.1,4,Alimentación Complementaria Escolar,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,216660
2026,1217,Gobierno Autónomo Municipal de Collana,3.1.3,3.1,3,"Productos Agrícolas, Pecuarios y Forestales",0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,20000
2026,1217,Gobierno Autónomo Municipal de Collana,3.2.1,3.2,3,Papel,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,28412
2026,1217,Gobierno Autónomo Municipal de Collana,3.2.2,3.2,3,Productos de Artes Gráficas,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,10000
2026,1217,Gobierno Autónomo Municipal de Collana,3.3.2,3.3,3,Confecciones Textiles,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,18000
2026,1217,Gobierno Autónomo Municipal de Collana,3.3.3,3.3,3,Prendas de Vestir,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,13200
2026,1217,Gobierno Autónomo Municipal de Collana,3.4.1.10,3.4.1,4,"Combustibles, Lubricantes y Derivados para Consumo",0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,66124
2026,1217,Gobierno Autónomo Municipal de Collana,3.4.2,3.4,3,Productos Químicos y Farmacéuticos,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,221500
2026,1217,Gobierno Autónomo Municipal de Collana,3.4.5,3.4,3,Productos de Minerales no Metálicos y Plásticos,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,45000
2026,1217,Gobierno Autónomo Municipal de Collana,3.9.1,3.9,3,MATERIAL DE LIMPIEZA E HIGIENE,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,45000
2026,1217,Gobierno Autónomo Municipal de Collana,3.9.2,3.9,3,Material Deportivo y Recreativo,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,84000
2026,1217,Gobierno Autónomo Municipal de Collana,3.9.4,3.9,3,Instrumental Menor Médico-Quirúrgico,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,20000
2026,1217,Gobierno Autónomo Municipal de Collana,3.9.5,3.9,3,ÚTILES DE ESCRITORIO Y OFICINA,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,110000
2026,1217,Gobierno Autónomo Municipal de Collana,3.9.7,3.9,3,ÚTILES Y MATERIALES ELÉCTRICOS,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,30000
2026,1217,Gobierno Autónomo Municipal de Collana,3.9.8,3.9,3,Otros Repuestos y Accesorios,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,5000
2026,1217,Gobierno Autónomo Municipal de Collana,3.9.9.90,3.9.9,4,Otros Materiales y Suministros,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,114922
2026,1217,Gobierno Autónomo Municipal de Collana,7.1.6.10,7.1.6,4,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,72135
2026,1217,Gobierno Autónomo Municipal de Collana,9.9.1,9.9,3,Provisiones para Gastos de Capital,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1217_Gobierno_Autónomo_Municipal_de_Collana_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,364631
2026,1218,Gobierno Autónomo Municipal de Inquisivi,1.1.4,1.1,3,Aguinaldos,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,165750
2026,1218,Gobierno Autónomo Municipal de Inquisivi,1.1.6,1.1,3,Asignaciones Familiares,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,15000
2026,1218,Gobierno Autónomo Municipal de Inquisivi,1.1.7,1.1,3,Sueldos,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,1989000
2026,1218,Gobierno Autónomo Municipal de Inquisivi,1.3.1.10,1.3.1,4,Régimen de Corto Plazo (Salud),0424,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,198900
2026,1218,Gobierno Autónomo Municipal de Inquisivi,1.3.1.20,1.3.1,4,PRIMA DE RIESGO PROFESIONAL RÉGIMEN DE LARGO PLAZO,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,34012
2026,1218,Gobierno Autónomo Municipal de Inquisivi,1.3.1.31,1.3.1,4,Aporte Patronal Solidario 3.5%,0999,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,69615
2026,1218,Gobierno Autónomo Municipal de Inquisivi,1.3.2,1.3,3,Aporte Patronal para Vivienda,0342,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,39780
2026,1218,Gobierno Autónomo Municipal de Inquisivi,1.5.4,1.5,3,Otras Previsiones,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,238024
2026,1218,Gobierno Autónomo Municipal de Inquisivi,2.1.2,2.1,3,Energía Eléctrica,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,119500
2026,1218,Gobierno Autónomo Municipal de Inquisivi,2.1.4,2.1,3,TELEFONÍA,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,65000
2026,1218,Gobierno Autónomo Municipal de Inquisivi,2.1.6,2.1,3,INTERNET,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,90000
2026,1218,Gobierno Autónomo Municipal de Inquisivi,2.2.1.10,2.2.1,4,Pasajes al Interior del País,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,15000
2026,1218,Gobierno Autónomo Municipal de Inquisivi,2.2.2.10,2.2.2,4,Viáticos por Viajes al Interior del País,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,25000
2026,1218,Gobierno Autónomo Municipal de Inquisivi,2.2.3,2.2,3,Fletes y Almacenamiento,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,64000
2026,1218,Gobierno Autónomo Municipal de Inquisivi,2.2.5,2.2,3,Seguros,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,20000
2026,1218,Gobierno Autónomo Municipal de Inquisivi,2.4.1.10,2.4.1,4,Mantenimiento y Reparación de Inmuebles,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,450000
2026,1218,Gobierno Autónomo Municipal de Inquisivi,2.4.1.20,2.4.1,4,"M Y A E N Q T U E IP N O IM S IENTO Y REPARACIÓN DE VEHÍCULOS, MAQUINARIA",0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,319348
2026,1218,Gobierno Autónomo Municipal de Inquisivi,2.4.3,2.4,3,"O Re tr p o a s r G ac a ió st n os por Concepto de Instalación, Mantenimiento y",0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,13000
2026,1218,Gobierno Autónomo Municipal de Inquisivi,2.5.2.20,2.5.2,4,CONSULTORES INDIVIDUALES DE LÍNEA,0000,data\raw\sigep_2026\objeto_gasto_fuente_total_gastos\2026_1218_Gobierno_Autónomo_Municipal_de_Inquisivi_objeto_gasto_fuente_total_gastos.pdf,monto_03_tgn_ct,1109700
