codigo_entidad,nombre_entidad,sigla,tipo,grupo_eta,departamento,fuente
1224,Gobierno Autónomo Municipal de Achacachi,AHÍ,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1225,Gobierno Autónomo Municipal de Ancoraimes,ANCO,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1226,Gobierno Autónomo Municipal de Sorata,SOR,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1227,Gobierno Autónomo Municipal de Guanay,GNY,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1228,Gobierno Autónomo Municipal de Tacacoma,TAT,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1229,Gobierno Autónomo Municipal de Tipuani,TIP,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1230,Gobierno Autónomo Municipal de Quiabaya,QBY,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1231,Gobierno Autónomo Municipal de Combaya,COM,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1232,Gobierno Autónomo Municipal de Copacabana,COP,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1233,Gobierno Autónomo Municipal de San Pedro de Tiquina,SPT,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1234,Gobierno Autónomo Municipal de Tito Yupanqui,YUP,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1235,Gobierno Autónomo Municipal de Chuma,CHU,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1236,Gobierno Autónomo Municipal de Ayata,AYA,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1237,Gobierno Autónomo Municipal de Aucapata,AUC,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1238,Gobierno Autónomo Municipal de Corocoro,COR,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1239,Gobierno Autónomo Municipal de Caquiaviri,CAQ,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1240,Gobierno Autónomo Municipal de Calacoto,CAC,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1241,Gobierno Autónomo Municipal de Comanche,CMC,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1242,Gobierno Autónomo Municipal de Charaña,CHA,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1243,Gobierno Autónomo Municipal de Waldo Ballivián,BAL,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1244,Gobierno Autónomo Municipal de Nazacara de Pacajes,NAZ,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1245,Gobierno Autónomo Municipal de Santiago de Callapa,SCA,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1246,Gobierno Autónomo Municipal de Puerto Acosta,ACO,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1247,Gobierno Autónomo Municipal de Mocomoco,MOC,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1248,Gobierno Autónomo Municipal de Carabuco,CCH,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1249,Gobierno Autónomo Municipal de Apolo,APO,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1250,Gobierno Autónomo Municipal de Pelechuco,PEL,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1251,Gobierno Autónomo Municipal de Luribay,LUR,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1252,Gobierno Autónomo Municipal de Sapahaqui,SAPA,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1253,Gobierno Autónomo Municipal de Yaco,YAC,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1254,Gobierno Autónomo Municipal de Malla,MAL,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1255,Gobierno Autónomo Municipal de Cairoma,CAI,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1256,Gobierno Autónomo Municipal de Chulumani (Villa de la Libertad),CHL,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1257,Gobierno Autónomo Municipal de Irupana (Villa de Lanza),IRU,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1258,Gobierno Autónomo Municipal de Yanacachi,YAN,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1259,Gobierno Autónomo Municipal de Palos Blancos,BLA,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1260,Gobierno Autónomo Municipal de La Asunta,ASU,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1261,Gobierno Autónomo Municipal de Pucarani,PUC,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1262,Gobierno Autónomo Municipal de Laja,LAJ,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1263,Gobierno Autónomo Municipal de Batallas,BAT,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1264,Gobierno Autónomo Municipal de Puerto Pérez,PER,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1265,Gobierno Autónomo Municipal de Coroico,COC,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1266,Gobierno Autónomo Municipal de Coripata,CRI,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1267,Gobierno Autónomo Municipal de Ixiamas,IXI,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1268,Gobierno Autónomo Municipal de San Buenaventura,SBV,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1269,Gobierno Autónomo Municipal de General Juan José Pérez (Charazani),CPE,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1270,Gobierno Autónomo Municipal de Curva,CUR,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1271,Gobierno Autónomo Municipal de San Pedro de Curahuara,PEC,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1272,Gobierno Autónomo Municipal de Papel Pampa,PAP,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1273,Gobierno Autónomo Municipal de Chacarilla,CLL,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1274,Gobierno Autónomo Municipal de Santiago de Machaca,SMA,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1275,Gobierno Autónomo Municipal de Catacora,CAT,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1276,Gobierno Autónomo Municipal de Mapiri,MAP,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1277,Gobierno Autónomo Municipal de Teoponte,TEO,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1278,Gobierno Autónomo Municipal de San Andrés de Machaca,AMA,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1279,Gobierno Autónomo Municipal de Jesús de Machaca,JMK,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1280,Gobierno Autónomo Municipal de Taraco,TCO,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1281,Gobierno Autónomo Municipal de Huarina,HUAR,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1282,Gobierno Autónomo Municipal de Santiago de Huata,SAH,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1283,Gobierno Autónomo Municipal de Escoma,ESC,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
1284,Gobierno Autónomo Municipal de Humanata,HUMA,municipal,GAM,La Paz,Clasificadores Presupuestarios 2026
