departamento_geo,provincia_geo,municipio_geo,capital_geo,municipio_alternativo,pibpc_2021,decil_pibpc_2021,has_presupuesto,codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,provincia_ine,municipio_ine,poblacion_2024,presupuesto_total,presupuesto_per_capita,ingresos_total,autonomia_fiscal_pct,autonomia_fiscal_aplica,dependencia_tgn_pct,coparticipacion_pct,idh_pct,regalias_pct,recursos_especificos_gam_gaioc_pct
Santa Cruz,Cordillera,Charagua,Charagua,Charagua,3.5528216812963365e-06,10.0,False,,,,,,,,,,,,,False,,,,,
Santa Cruz,Cordillera,Gutiérrez,Gutiérrez,Gutiérrez,2.6770517251861747e-06,8.0,False,,,,,,,,,,,,,False,,,,,
Oruro,Sur Carangas,Santiago de Andamarca,Santiago de Andamarca,Santiago de Andamarca,2.6999741749023087e-06,8.0,False,,,,,,,,,,,,,False,,,,,
Oruro,Sabaya,Chipaya,Chipaya,Chipaya,1.9646176951937377e-06,2.0,False,,,,,,,,,,,,,False,,,,,
Oruro,Ladislao Cabrera,Salinas de Garcí Mendoza,Salinas de Garcí Mendoza,Salinas de Garcí Mendoza,2.106251258737757e-06,4.0,False,,,,,,,,,,,,,False,,,,,
Cochabamba,Mizque,TIOC Raqaypampa,Raqaypampa,Raqaypampa,2.1932983145234175e-06,5.0,False,,,,,,,,,,,,,False,,,,,
