departamento_geo,provincia_geo,municipio_geo,capital_geo,municipio_alternativo,pibpc_2021,decil_pibpc_2021,has_presupuesto,codigo_entidad,nombre_entidad,departamento,tipo,grupo_eta,provincia_ine,municipio_ine,poblacion_2024,presupuesto_total,presupuesto_per_capita,ingresos_total,autonomia_fiscal_pct,autonomia_fiscal_aplica,dependencia_tgn_pct,coparticipacion_pct,idh_pct,regalias_pct,recursos_especificos_gam_gaioc_pct
Beni,Iténez,Magdalena,Magdalena,Magdalena,2.5394383555976674e-06,8.0,True,1817,Gobierno Autónomo Municipal de Magdalena,Beni,municipal,GAM,Iténez,Magdalena,12785.0,27504517.0,2151.3114587407,27504517.0,7.762361,True,64.879252,38.596878,13.85135,0.0,7.762361
Santa Cruz,Sara,Portachuelo,Portachuelo,Portachuelo,2.475260998835438e-06,7.0,True,1716,Gobierno Autónomo Municipal de Portachuelo,Santa Cruz,municipal,GAM,Sara,Portachuelo,20743.0,28807102.0,1388.7625705057,28807102.0,34.713662,True,65.285068,59.766644,5.436236,0.0,34.713662
Potosí,Sur Lipez,San Antonio de Esmoruco,San Antonio de Esmoruco,San Antonio de Esmoruco,3.336730060254922e-06,10.0,True,1525,Gobierno Autónomo Municipal de San Antonio de Esmoruco,Potosí,municipal,GAM,Sur Lípez,San Antonio de Esmoruco,1936.0,2254656.0,1164.5950413223,2254656.0,4.435266,True,88.253197,71.572249,14.319169,7.311537,4.435266
Tarija,Avilés,Uriondo,Concepción,Uriondo,2.5545100470480975e-06,8.0,True,1607,Gobierno Autónomo Municipal de Uriondo (Concepción),Tarija,municipal,GAM,Avilez,Uriondo,15923.0,33139396.0,2081.2281605225,33139396.0,14.667208,True,73.513745,40.646857,12.833933,0.0,14.667208
Potosí,Sur Lipez,Mojinete,Mojinete,Mojinete,2.5877143343677744e-06,8.0,True,1524,Gobierno Autónomo Municipal de Mojinete,Potosí,municipal,GAM,Sur Lípez,Mojinete,1025.0,1237707.0,1207.5190243902,1237707.0,1.373508,True,86.034902,70.846331,13.734268,12.591591,1.373508
Tarija,Gran Chaco,Yacuiba,Yacuiba,Yacuiba,2.447733550070552e-06,7.0,True,1604,Gobierno Autónomo Municipal de Yacuiba,Tarija,municipal,GAM,Gran Chaco,Yacuiba,97634.0,194028218.0,1987.3017391482,194028218.0,22.296407,True,57.926526,43.768643,14.000831,0.0,22.296407
Tarija,Avilés,Yunchará,Yunchará,Yunchará,2.8512913559097797e-06,9.0,True,1608,Gobierno Autónomo Municipal de Yunchara,Tarija,municipal,GAM,Avilez,Yunchará,4754.0,9529971.0,2004.6215818258,9529971.0,3.290083,True,60.795222,43.443784,14.935512,0.0,3.290083
Tarija,Gran Chaco,Caraparí,Caraparí,Caraparí,3.471406216704054e-06,10.0,True,1605,Gobierno Autónomo Municipal de Caraparí,Tarija,municipal,GAM,Gran Chaco,Caraparí,15559.0,51198627.0,3290.6116717013,51198627.0,11.272912,True,37.232196,27.56146,9.468871,0.0,11.272912
Tarija,Méndez,San Lorenzo,Villa San Lorenzo,Villa San Lorenzo,2.1050670966360485e-06,4.0,True,1609,Gobierno Autónomo Municipal de San Lorenzo,Tarija,municipal,GAM,Méndez,San Lorenzo,30346.0,44450081.0,1464.7756211692,44450081.0,14.594705,True,76.894528,58.265226,18.452223,0.0,14.594705
Tarija,Méndez,El Puente,El Puente,Tomayapo (El Puente),2.2257449927565176e-06,5.0,True,1610,Gobierno Autónomo Municipal de El Puente,Tarija,municipal,GAM,Méndez,El Puente,9523.0,22257153.0,2337.1997269768,22257153.0,9.884463,True,75.564364,36.803588,11.787752,0.560723,9.884463
Potosí,Enrique Baldivieso,San Agustín,San Agustín,San Agustín,4.995494691684144e-06,10.0,True,1538,Gobierno Autónomo Municipal de San Agustín,Potosí,municipal,GAM,Enrique Baldivieso,San Agustín,2126.0,2290357.0,1077.3080903104,2290357.0,3.187276,True,93.103302,76.917834,15.388649,3.687722,3.187276
Tarija,Cercado,Tarija,Tarija,Tarija,2.397044454482966e-06,7.0,True,1601,Gobierno Autónomo Municipal de Tarija,Tarija,municipal,GAM,Cercado,Tarija,238749.0,567296182.0,2376.1196151607,567296182.0,36.264225,True,55.907583,39.676324,12.947843,0.0,36.264225
Potosí,Chárcas,Toro Toro,Toro Toro,Toro Toro,2.1247637960186694e-06,4.0,True,1516,Gobierno Autónomo Municipal de Toro Toro,Potosí,municipal,GAM,Charcas,Toro Toro,10714.0,14595571.0,1362.2896210566,14595571.0,2.055418,True,96.221957,63.797141,12.215349,1.585597,2.055418
Potosí,Chárcas,San Pedro,San Pedro,San Pedro de Buena Vista,1.9160372630722122e-06,2.0,True,1515,Gobierno Autónomo Municipal de San Pedro de Buena Vista,Potosí,municipal,GAM,Charcas,San Pedro,28416.0,48207623.0,1696.4957418356,48207623.0,1.244616,True,98.274495,49.435339,9.647385,0.31494,1.244616
Chuquisaca,Oropeza,Poroma,Poroma,Poroma,2.4235960154328495e-06,7.0,True,1103,Gobierno Autónomo Municipal de Poroma,Chuquisaca,municipal,GAM,Oropeza,Poroma,13649.0,15293419.0,1120.4790827167,15293419.0,0.997161,True,96.272835,74.149646,21.170054,0.028679,0.997161
Potosí,Chayanta,Ravelo,Ravelo,Ravelo,2.302292614331236e-06,6.0,True,1512,Gobierno Autónomo Municipal de Ravelo,Potosí,municipal,GAM,Chayanta,Ravelo,16909.0,18645113.0,1102.6739014726,18645113.0,2.189222,True,97.810778,76.255832,16.576354,0.0,2.189222
Potosí,Chayanta,Ocurí,Ocurí,Ocurí,2.0711850083898753e-06,3.0,True,1514,Gobierno Autónomo Municipal de Ocurí,Potosí,municipal,GAM,Chayanta,Ocurí,14532.0,14867447.0,1023.0833333333,14867447.0,0.470827,True,98.239994,81.684697,16.073197,1.221918,0.470827
Potosí,Daniel Campos,Tahua,Tahua,Tahua,2.6117495508515276e-06,8.0,True,1536,Gobierno Autónomo Municipal de Tahua,Potosí,municipal,GAM,Daniel Campos,Tahua,1546.0,1620696.0,1048.3156532988,1620696.0,3.085094,True,96.836483,80.075659,16.020401,0.078423,3.085094
Potosí,Sur Lipez,San Pablo,San Pablo de Lípez,San Pablo de Lipez,3.1775582556292647e-06,9.0,True,1523,Gobierno Autónomo Municipal de San Pablo de Lípez,Potosí,municipal,GAM,Sur Lípez,San Pablo,3150.0,3842453.0,1219.8263492063,3842453.0,4.737338,True,84.002459,68.503271,14.71193,10.947902,4.737338
Cochabamba,Ayopaya,Morochata,Morochata,Morochata,2.0300130927353166e-06,3.0,True,1311,Gobierno Autónomo Municipal de Morochata,Cochabamba,municipal,GAM,Ayopaya,Morochata,14720.0,24730065.0,1680.0315896739,24730065.0,4.043661,True,95.9561,49.075803,5.547106,0.0,4.043661
Potosí,Antonio Quijarro,Tomave,Tomave,Tomave,2.3564173261547694e-06,6.0,True,1531,Gobierno Autónomo Municipal de Tomave,Potosí,municipal,GAM,Antonio Quijarro,Tomave,7845.0,8885091.0,1132.5801147228,8885091.0,0.787837,True,93.482194,78.715063,14.62236,4.829585,0.787837
Potosí,Antonio Quijarro,Porco,Porco,Porco,2.6404645723232534e-06,8.0,True,1532,Gobierno Autónomo Municipal de Porco,Potosí,municipal,GAM,Antonio Quijarro,Porco,14654.0,29845352.0,2036.6693053091,29845352.0,3.934583,True,51.228355,43.045493,8.151199,44.837062,3.934583
Potosí,Tomás Frías,Yocalla,Villa de Yocalla,Yocalla,2.280550461364328e-06,6.0,True,1503,Gobierno Autónomo Municipal de Yocalla,Potosí,municipal,GAM,Tomás Frías,Yocalla,12253.0,13179641.0,1075.6256426997,13179641.0,2.124489,True,88.060282,73.933038,14.032491,1.049126,2.124489
Potosí,Tomás Frías,Urmiri,Belén de Urmiri,Belen de Urmiri,2.1921475763519993e-06,5.0,True,1504,Gobierno Autónomo Municipal de Urmiri,Potosí,municipal,GAM,Tomás Frías,Urmiri,3121.0,4488097.0,1438.0317206024,4488097.0,4.117692,True,95.882308,80.866657,14.614591,0.0,4.117692
Oruro,Mejillones,Todos Santos,Todos Santos,Todos Santos,2.510835429347935e-06,7.0,True,1429,Gobierno Autónomo Municipal de Todos Santos,Oruro,municipal,GAM,Mejillones,Todos Santos,1140.0,1632674.0,1432.1701754386,1632674.0,24.499686,True,75.500314,57.642983,17.3214,0.0,24.499686
Santa Cruz,Ã‘uflo De ChÃ¡vez,Concepción,Concepción,Concepción,3.613616399888997e-06,10.0,True,1737,Gobierno Autónomo Municipal de Concepción,Santa Cruz,municipal,GAM,Ñuflo de Chávez,Concepción,30118.0,40278991.0,1337.3727007105,40278991.0,14.896103,True,81.263237,62.146554,5.652709,0.124978,14.896103
Santa Cruz,Sara,Santa Rosa,Santa Rosa,Santa Rosa del Sara,2.803456709443708e-06,8.0,True,1717,Gobierno Autónomo Municipal de Santa Rosa del Sara,Santa Cruz,municipal,GAM,Sara,Santa Rosa,17999.0,20610729.0,1145.1041168954,20610729.0,11.541246,True,88.371333,72.542456,6.598296,0.0,11.541246
Beni,Iténez,Huacaraje,Huacaraje,Huacaraje,2.6318396066926653e-06,8.0,True,1819,Gobierno Autónomo Municipal de Huacaraje,Beni,municipal,GAM,Iténez,Huacaraje,4630.0,5701760.0,1231.4816414687,5701760.0,6.31384,True,93.684757,67.481339,24.217189,0.0,6.31384
Potosí,José María Linares,Ckochas,Ckochas,Ckochas,2.0677316570072435e-06,3.0,True,1539,Gobierno Autónomo Municipal de Ckochas,Potosí,municipal,GAM,José María Linares,Ckochas,14338.0,14798435.0,1032.1129167248,14798435.0,0.307573,True,99.68773,82.671107,16.073977,0.004696,0.307573
Oruro,Mejillones,La Rivera,La Rivera,La Rivera,3.589931566239102e-06,10.0,True,1428,Gobierno Autónomo Municipal de La Rivera,Oruro,municipal,GAM,Mejillones,La Rivera,1262.0,2918255.0,2312.4049128368,2918255.0,51.40058,True,48.59942,37.752904,10.837949,0.0,51.40058
Oruro,Mejillones,Carangas,Carangas,Carangas,2.449378143865033e-06,7.0,True,1430,Gobierno Autónomo Municipal de Carangas,Oruro,municipal,GAM,Mejillones,Carangas,1129.0,5366864.0,4753.6439326838,5366864.0,32.570231,True,67.429769,17.504804,5.260111,0.0,32.570231
Pando,Nicolás Suárez,Bolpebra,Bolpebra,Bolpebra (Mukden),5.91363232160802e-06,10.0,True,1903,Gobierno Autónomo Municipal de Bolpebra,Pando,municipal,GAM,Nicolás Suárez,Bolpebra,2437.0,4903243.0,2011.9995896594,4903243.0,3.0592,True,95.969606,40.524139,53.100081,0.0,3.0592
Pando,Manuripi,Filadelfia,Filadelfia,Filadelfia,1.8982228766617482e-06,2.0,True,1907,Gobierno Autónomo Municipal de Filadelfia,Pando,municipal,GAM,Manuripi,Filadelfia,8045.0,15802755.0,1964.2952144189,15802755.0,0.672674,True,96.626759,41.777431,54.742303,0.349566,0.672674
Oruro,Cercado,Oruro,Oruro,Oruro,2.1329713035811437e-06,4.0,True,1401,Gobierno Autónomo Municipal de Oruro,Oruro,municipal,GAM,Cercado,Oruro,298350.0,577774709.0,1936.5668141445,577774709.0,36.903591,True,57.736208,42.807846,12.863535,0.433798,36.903591
Oruro,Nor Carangas,Huayllamarca,Santiago de Huayllamarca,Santiago de Hayllamarca,2.2342871943692444e-06,5.0,True,1434,Gobierno Autónomo Municipal de Huayllamarca (Santiago de Huayllamarca),Oruro,municipal,GAM,Nor Carangas,Santiago de Huayllamarca,5996.0,11517896.0,1920.9299533022,11517896.0,1.736428,True,98.263572,43.164559,12.970728,0.0,1.736428
La Paz,Gualberto Villarroel,San Pedro de Curahuara,San Pedro de Curahuara,San Pedro de Curahuara,2.1377290977397934e-06,4.0,True,1271,Gobierno Autónomo Municipal de San Pedro de Curahuara,La Paz,municipal,GAM,Gualberto Villarroel,San Pedro de Curahuara,9217.0,10385954.0,1126.825865249,10385954.0,0.0,True,100.0,72.395815,7.544786,0.0,0.0
Cochabamba,Capinota,Sicaya,Sicaya,Sicaya,4.03821240979596e-06,10.0,True,1329,Gobierno Autónomo Municipal de Sicaya,Cochabamba,municipal,GAM,Capinota,Sicaya,3980.0,4373205.0,1098.7952261307,4373205.0,10.404269,True,85.222691,75.98816,8.485653,4.258707,10.404269
Santa Cruz,Germán Busch,Puerto Quijarro,Puerto Quijarro,Puerto Quijarro,4.572361285681836e-05,10.0,True,1744,Gobierno Autónomo Municipal de Puerto Quijarro,Santa Cruz,municipal,GAM,Germán Busch,Puerto Quijarro,17974.0,45697585.0,2542.4271169467,45697585.0,26.259593,True,69.034983,32.430972,2.949847,0.0,26.259593
Cochabamba,Capinota,Capinota,Capinota,Capinota,3.720219410752179e-06,10.0,True,1327,Gobierno Autónomo Municipal de Capinota,Cochabamba,municipal,GAM,Capinota,Capinota,19427.0,21527872.0,1108.1418644155,21527872.0,14.228067,True,83.747827,74.49943,8.420777,0.04437,14.228067
