status,departamento_pob2021,municipio_pob2021,pob2021_key,poblacion_proyectada_2021,codigo_entidad,nombre_entidad,departamento_sigep,grupo_eta,tipo
match_exacto,La Paz,Waldo Ballivian,waldo ballivian,3151,1243,Gobierno Autónomo Municipal de Waldo Ballivián,La Paz,GAM,municipal
match_exacto,La Paz,Nazacara de Pacajes,nazacara de pacajes,635,1244,Gobierno Autónomo Municipal de Nazacara de Pacajes,La Paz,GAM,municipal
match_contiene,La Paz,Callapa,callapa,6618,1245,Gobierno Autónomo Municipal de Santiago de Callapa,La Paz,GAM,municipal
match_exacto,La Paz,Puerto Acosta,puerto acosta,10415,1246,Gobierno Autónomo Municipal de Puerto Acosta,La Paz,GAM,municipal
match_exacto,La Paz,Mocomoco,mocomoco,12766,1247,Gobierno Autónomo Municipal de Mocomoco,La Paz,GAM,municipal
match_exacto,La Paz,Pto. Carabuco,carabuco,9806,1248,Gobierno Autónomo Municipal de Carabuco,La Paz,GAM,municipal
match_exacto,La Paz,Humanata,humanata,5891,1284,Gobierno Autónomo Municipal de Humanata,La Paz,GAM,municipal
match_exacto,La Paz,Escoma,escoma,7398,1283,Gobierno Autónomo Municipal de Escoma,La Paz,GAM,municipal
match_exacto,La Paz,Chuma,chuma,9926,1235,Gobierno Autónomo Municipal de Chuma,La Paz,GAM,municipal
match_exacto,La Paz,Ayata,ayata,8452,1236,Gobierno Autónomo Municipal de Ayata,La Paz,GAM,municipal
match_exacto,La Paz,Aucapata,aucapata,6734,1237,Gobierno Autónomo Municipal de Aucapata,La Paz,GAM,municipal
match_exacto,La Paz,Sorata,sorata,18208,1226,Gobierno Autónomo Municipal de Sorata,La Paz,GAM,municipal
match_exacto,La Paz,Guanay,guanay,13723,1227,Gobierno Autónomo Municipal de Guanay,La Paz,GAM,municipal
match_exacto,La Paz,Tacacoma,tacacoma,8088,1228,Gobierno Autónomo Municipal de Tacacoma,La Paz,GAM,municipal
match_exacto,La Paz,Quiabaya,quiabaya,2491,1230,Gobierno Autónomo Municipal de Quiabaya,La Paz,GAM,municipal
match_exacto,La Paz,Combaya,combaya,1637,1231,Gobierno Autónomo Municipal de Combaya,La Paz,GAM,municipal
match_exacto,La Paz,Tipuani,tipuani,8278,1229,Gobierno Autónomo Municipal de Tipuani,La Paz,GAM,municipal
match_exacto,La Paz,Mapiri,mapiri,14643,1276,Gobierno Autónomo Municipal de Mapiri,La Paz,GAM,municipal
match_exacto,La Paz,Teoponte,teoponte,8688,1277,Gobierno Autónomo Municipal de Teoponte,La Paz,GAM,municipal
