status,departamento_nbi,provincia_nbi,municipio_nbi,nbi_key,codigo_entidad,nombre_entidad,departamento_sigep,grupo_eta,tipo,nbi_inadecuados_materiales_vivienda,nbi_insuficientes_espacios_vivienda,nbi_inadecuados_agua_saneamiento,nbi_inadecuados_insumos_energeticos,nbi_insuficiencia_educacion,nbi_inadecuada_atencion_salud,nbi_no_pobre_pct,nbi_necesidades_basicas_satisfechas_pct,nbi_umbral_pct,nbi_pobre_pct,nbi_pobre_moderada_pct,nbi_pobre_indigente_pct,nbi_pobre_marginal_pct
match_exacto,CHUQUISACA,Tomina,Sopachuy,sopachuy,1112,Gobierno Autónomo Municipal de Sopachuy,Chuquisaca,GAM,municipal,3427,3794,3888,4617,5106,574,35.2,13.5,21.7,64.8,53.8,10.9,0.1
match_contiene,CHUQUISACA,Tomina,Alcalá,alcala,1113,Gobierno Autónomo Municipal de Villa Alcalá,Chuquisaca,GAM,municipal,1442,2026,1413,2064,1942,140,58.2,24.7,33.4,41.8,38.9,2.9,0.0
match_exacto,CHUQUISACA,Tomina,El Villar,el villar,1114,Gobierno Autónomo Municipal de El Villar,Chuquisaca,GAM,municipal,2102,4132,2930,4292,3288,243,38.0,9.6,28.4,62.0,55.8,6.0,0.2
match_exacto,CHUQUISACA,Hernando Siles,Monteagudo,monteagudo,1115,Gobierno Autónomo Municipal de Monteagudo,Chuquisaca,GAM,municipal,4918,15147,6417,7728,11686,1600,64.0,20.0,44.0,36.0,32.3,3.7,0.1
match_contiene,CHUQUISACA,Hernando Siles,Huacareta,huacareta,1116,Gobierno Autónomo Municipal de San Pablo de Huacareta,Chuquisaca,GAM,municipal,2891,4282,3361,4019,3669,433,46.1,17.0,29.2,53.9,49.0,4.9,0.0
match_exacto,CHUQUISACA,Yamparáez,Tarabuco,tarabuco,1117,Gobierno Autónomo Municipal de Tarabuco,Chuquisaca,GAM,municipal,5512,6002,6644,7045,9555,3107,38.5,7.5,31.1,61.5,51.8,9.3,0.3
match_exacto,CHUQUISACA,Yamparáez,Yamparáez,yamparaez,1118,Gobierno Autónomo Municipal de Yamparáez,Chuquisaca,GAM,municipal,2920,4670,4299,3824,5572,1083,43.4,9.3,34.1,56.6,48.6,7.8,0.2
match_exacto,CHUQUISACA,Nor Cinti,Camargo,camargo,1119,Gobierno Autónomo Municipal de Camargo,Chuquisaca,GAM,municipal,4940,7849,5619,5597,7253,1440,55.8,19.6,36.2,44.2,38.7,5.3,0.2
match_exacto,CHUQUISACA,Nor Cinti,San Lucas,san lucas,1120,Gobierno Autónomo Municipal de San Lucas,Chuquisaca,GAM,municipal,16482,14530,16731,14848,16364,3981,34.5,9.4,25.2,65.5,51.0,14.1,0.4
match_exacto,CHUQUISACA,Nor Cinti,Incahuasi,incahuasi,1121,Gobierno Autónomo Municipal de Incahuasi,Chuquisaca,GAM,municipal,9824,11690,10792,10127,11266,2196,26.9,5.1,21.9,73.1,48.7,23.0,1.4
