status,departamento_pibpc,provincia_pibpc,municipio_pibpc,municipio_alt_pibpc,pibpc_key,pibpc_alt_key,pib_usd2017,poblacion_estimada_2021,pibpc_usd2017,codigo_entidad,nombre_entidad,departamento_sigep,grupo_eta,tipo,presupuesto_total_sigep
match_exacto,Tarija,Avilés,Yunchará,Yunchará,yunchara,yunchara,23349642.250010177,11297.560957963746,2066.7861263940176,1608,Gobierno Autónomo Municipal de Yunchara,Tarija,GAM,municipal,9529971.0
match_exacto,Tarija,Gran Chaco,Caraparí,Caraparí,carapari,carapari,16910650.813091688,5463.413785072558,3095.2535316464414,1605,Gobierno Autónomo Municipal de Caraparí,Tarija,GAM,municipal,51198627.0
match_exacto,Tarija,Méndez,San Lorenzo,Villa San Lorenzo,san lorenzo,villa san lorenzo,51854252.48020553,20477.85944314854,2532.210586959316,1609,Gobierno Autónomo Municipal de San Lorenzo,Tarija,GAM,municipal,44450081.0
match_exacto,Tarija,Méndez,El Puente,Tomayapo (El Puente),el puente,tomayapo el puente,42229654.33165325,15523.939885772144,2720.292312543492,1610,Gobierno Autónomo Municipal de El Puente,Tarija,GAM,municipal,22257153.0
match_exacto,Potosí,Enrique Baldivieso,San Agustín,San Agustín,san agustin,san agustin,5592891.660568298,1996.2512000640363,2801.697331672932,1538,Gobierno Autónomo Municipal de San Agustín,Potosí,GAM,municipal,2290357.0
match_exacto,Tarija,Cercado,Tarija,Tarija,tarija,tarija,735662688.6855677,257498.1940327068,2856.962517539543,1601,Gobierno Autónomo Municipal de Tarija,Tarija,GAM,municipal,567296182.0
match_exacto,Potosí,Chárcas,Toro Toro,Toro Toro,toro toro,toro toro,24560202.63331589,13525.389362915948,1815.8591944609973,1516,Gobierno Autónomo Municipal de Toro Toro,Potosí,GAM,municipal,14595571.0
match_exacto,Potosí,Chárcas,San Pedro,San Pedro de Buena Vista,san pedro,san pedro de buena vista,53066509.73784762,26400.653711701736,2010.0452934741763,1515,Gobierno Autónomo Municipal de San Pedro de Buena Vista,Potosí,GAM,municipal,48207623.0
match_exacto,Chuquisaca,Oropeza,Poroma,Poroma,poroma,poroma,31818525.76854498,13927.070947490516,2284.653096728733,1103,Gobierno Autónomo Municipal de Poroma,Chuquisaca,GAM,municipal,15293419.0
match_exacto,Potosí,Chayanta,Ravelo,Ravelo,ravelo,ravelo,31874687.18207924,14681.346199720874,2171.101120324051,1512,Gobierno Autónomo Municipal de Ravelo,Potosí,GAM,municipal,18645113.0
match_exacto,Potosí,Chayanta,Ocurí,Ocurí,ocuri,ocuri,41590443.16221914,22490.79534602676,1849.2206488182976,1514,Gobierno Autónomo Municipal de Ocurí,Potosí,GAM,municipal,14867447.0
match_exacto,Potosí,Daniel Campos,Tahua,Tahua,tahua,tahua,7681630.462637847,3012.7545341019804,2549.703394580578,1536,Gobierno Autónomo Municipal de Tahua,Potosí,GAM,municipal,1620696.0
match_exacto,Potosí,Sur Lipez,San Pablo,San Pablo de Lipez,san pablo,san pablo de lipez,21882342.61671464,7093.902345190024,3084.669276784142,1523,Gobierno Autónomo Municipal de San Pablo de Lípez,Potosí,GAM,municipal,3842453.0
match_exacto,Cochabamba,Ayopaya,Morochata,Morochata,morochata,morochata,18932407.297259964,8274.195326993684,2288.1267058676985,1311,Gobierno Autónomo Municipal de Morochata,Cochabamba,GAM,municipal,24730065.0
match_exacto,Potosí,Antonio Quijarro,Tomave,Tomave,tomave,tomave,50518136.08979324,22964.572826644835,2199.829122498597,1531,Gobierno Autónomo Municipal de Tomave,Potosí,GAM,municipal,8885091.0
match_exacto,Potosí,Antonio Quijarro,Porco,Porco,porco,porco,12805412.2476677,4330.98367617551,2956.6983404046364,1532,Gobierno Autónomo Municipal de Porco,Potosí,GAM,municipal,29845352.0
match_exacto,Potosí,Tomás Frías,Yocalla,Yocalla,yocalla,yocalla,22035006.59346703,7573.495405318059,2909.489662856888,1503,Gobierno Autónomo Municipal de Yocalla,Potosí,GAM,municipal,13179641.0
match_exacto,Potosí,Tomás Frías,Urmiri,Belen de Urmiri,urmiri,belen de urmiri,12908746.700809116,5903.389924476974,2186.666790768153,1504,Gobierno Autónomo Municipal de Urmiri,Potosí,GAM,municipal,4488097.0
match_exacto,Oruro,Mejillones,Todos Santos,Todos Santos,todos santos,todos santos,4030985.98972724,1449.6727961766644,2780.61780586521,1429,Gobierno Autónomo Municipal de Todos Santos,Oruro,GAM,municipal,1632674.0
match_exacto,Santa Cruz,Ñuflo De Chávez,Concepción,Concepción,concepcion,concepcion,89502832.59690316,37716.03477804306,2373.0711121575414,1737,Gobierno Autónomo Municipal de Concepción,Santa Cruz,GAM,municipal,40278991.0
match_exacto,Santa Cruz,Sara,Santa Rosa,Santa Rosa del Sara,santa rosa,santa rosa del sara,58581204.92742102,23060.05893244441,2540.3753346440944,1717,Gobierno Autónomo Municipal de Santa Rosa del Sara,Santa Cruz,GAM,municipal,20610729.0
