objeto_gasto,descripcion,filas,entidades,total_bs
6.2.6,Amortización de la Deuda Pública Externa a Largo Plazo,9,9,50458385.0
6.2.7,Intereses de la Deuda Pública Externa a Largo Plazo,8,8,31884835.0
6.2.8,C Pl o a m zo isiones y Otros Gastos de la Deuda Pública Externa a Largo,8,8,2253692.0
6.3.3,D Jo is rn m a in le u s ción de Cuentas por Pagar a Corto Plazo por Sueldos y,1,1,5617.0
6.3.4,D Pa is t m ro i n n a u l c e i s ón de Cuentas por Pagar a Corto Plazo por Aportes,1,1,4000.0
6.6.1,Gastos Devengados No Pagados por Servicios Personales,37,37,38332021.0
6.6.2.10,Gastos Devengados No Pagados por Servicios No Personales,42,42,231965553.0
6.6.2.20,Gastos Devengados No Pagados por Materiales y Suministros,41,41,143353823.0
6.6.2.30,Gastos Devengados No Pagados por Activos Reales,20,20,233525729.0
6.6.2.50,Gastos Devengados No Pagados por Servicio de la Deuda,3,3,43590286.0
6.6.3,Gastos Devengados No Pagados por Transferencias,5,5,18899483.0
6.6.4,Gastos Devengados No Pagados por Retenciones,36,36,18310814.0
6.6.9,Otros Gastos No Pagados,25,25,18065923.0
6.7.1,Obligaciones por Afectaciones al Tesoro General de la Nación,2,2,17289306.0
6.8.2,Pago de Beneficios Sociales,9,9,24507468.0
7.1.2.30,Becas de Estudios Otorgadas a Particulares,2,2,631201.0
7.1.3,"Donaciones, Ayudas Sociales y Premios a Personas",12,12,11899927.0
7.1.6.10,A LU P C E R R O SONAS E INSTITUCIONES PRIVADAS SIN FINES DE,344,344,268040954.0
7.1.6.30,Otros de Carácter Social Establecidos por Norma Legal,5,5,73433528.0
7.3.1,T E R S A TA N D S O FE P R L E U N R C IN IA A S C C IO O N R A R L I E P N O T R E S S U A B L S Ó ID R IO G S A N O O S E U J B E V C E U N T C IV IO O N D E E S L,722,352,712468397.0
7.3.2,"JUDICIAL Y ELECTORAL, ENTIDADES DE CONTROL Y DEFENSA,",43,33,176044067.0
7.3.4.10,Gobierno Autónomo Departamental,1,1,17903224.0
7.3.4.20,Gobierno Autónomo Municipal,1,1,1095000.0
7.3.8.20,Empresas Públicas Municipales,2,2,209600.0
7.5.1.2,En Especie,1,1,281708.0
7.5.2.11,En Efectivo,4,4,2087076.0
7.5.2.21,En Efectivo,2,2,30248600.0
7.5.2.22,En Especie,3,3,62446.0
7.7.1,T P r lu a r n in sf a e c r i e o n n c a i l a s p o d r e S C u a b p s i i t d a i l o a s l o Ó S rg u a b n v o e n E c je io c n u e ti s vo del Estado,10,10,109997134.0
7.7.2,"Y ELECTORAL, ENTIDADES DE CONTROL Y DEFENSA,",40,37,72009287.0
7.7.4.10,Al Gobierno Autónomo Departamental,4,4,7172581.0
7.7.4.40,Al Gobierno Autónomo Regional,1,1,16290285.0
7.7.5.30,Otras,11,2,109572675.0
7.7.8.20,A Empresas Públicas Municipales,2,2,30540553.0
7.8.1,T B r a a n n c s a fe ri r a e s ncias de Capital a Instituciones Públicas Financieras No,1,1,464000.0
7.9.1,T In r t a e n rn sf a e c r i e o n n c a i l a e s s C p o o r r r C ie u n o te ta s s a R G e o g b u i l e a r r n e o s s Extranjeros y Organismos,1,1,129000.0
8.1.2,Impuesto a las Transacciones,2,2,35000.0
8.1.3,Impuesto al Valor Agregado Mercado Interno,2,2,238245.0
8.1.4,Impuesto al Valor Agregado Importaciones,1,1,168000.0
8.2.1,Gravamen Arancelario,1,1,2000.0
8.5.1,Tasas,102,95,4966537.0
8.5.2,Derechos,16,16,278450.0
8.5.4,Multas,15,15,1078847.0
8.5.5,Intereses Penales,1,1,30000.0
8.5.9,Otros,22,22,104718.0
9.4.1,Indemnización,5,5,4696846.0
9.4.2,Desahucio,2,2,95000.0
9.4.3,Otros Beneficios Sociales,3,3,1658798.0
9.6.1,Pérdidas en Operaciones Cambiarias,2,2,1080147.0
9.6.2,Devoluciones,4,4,1208000.0
9.6.9,Otras Pérdidas,1,1,81000.0
9.9.1,Provisiones para Gastos de Capital,228,228,2078670395.0
